## [BeGaze]
Participant	Sample Rate	BeGaze Version	Recorded On	Converted From	Calibration Area [px]	Stimulus Dimension [mm]	System ID	iViewX Version
42bw-aud	60	3.7.42	19.07.2017 12:38:58	C:\Users\ap2mitarbeiter\Desktop\PupilsMemory\eyeTracker\iViewXSDK_Matlab_PupilsMemory_Data_VP42bw-aud_2017_07_19-12_52_29.idf	1920x1200	518x324	EXP-4022-1	4.4.0.0
## [Data]
RecordingTime [ms],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Content
1931666.7720,Information,Separator,Separator,1,1,-,-,-,-,-,-,startrecording.jpg
1931674.7630,Information,User Event,User Event,2,2,-,-,-,-,-,-,begin:phase1_stimType:aud
1931698.8030,Eye,Saccade,Saccade,1,1,3.8880,3.7682,924.9770,632.3936,924.5236,615.3584,-
1931735.2990,Eye,Saccade,Saccade,1,1,3.8689,3.7556,915.8813,636.3766,920.5575,618.5173,-
1931771.7940,Eye,Fixation,Fixation,1,1,3.8454,3.7315,789.9255,629.3256,799.6651,621.6564,-
1931808.2900,Eye,Fixation,Fixation,1,1,3.8202,3.7087,737.8299,635.3851,743.1183,627.3972,-
1931844.7860,Eye,Fixation,Fixation,1,1,3.7872,3.6745,747.7590,629.7941,755.2545,628.2300,-
1931881.2820,Eye,Fixation,Fixation,1,1,3.7606,3.6400,749.0495,628.9109,749.2283,629.7699,-
1931917.7780,Eye,Fixation,Fixation,1,1,3.7237,3.6066,748.4448,630.8061,749.7620,633.7680,-
1931954.2740,Eye,Fixation,Fixation,1,1,3.6885,3.5758,752.9228,632.6940,750.4961,632.0559,-
1931990.7690,Eye,Fixation,Fixation,1,1,3.6525,3.5383,752.7495,637.5787,751.6157,636.4466,-
1932027.2650,Eye,Fixation,Fixation,1,1,3.6061,3.5019,749.3122,637.7628,748.8702,638.4495,-
1932063.7610,Eye,Saccade,Saccade,2,2,3.5668,3.4536,759.9135,646.0887,752.1873,639.2168,-
1932100.2570,Eye,Fixation,Fixation,2,2,3.5119,3.4322,921.7519,645.9892,928.9283,639.3333,-
1932136.7530,Eye,Fixation,Fixation,2,2,3.4685,3.4050,922.9273,652.4040,931.1368,644.3849,-
1932173.2490,Eye,Fixation,Fixation,2,2,3.4343,3.3828,928.3711,657.5894,931.1036,645.3049,-
1932209.7440,Eye,Fixation,Fixation,2,2,3.3998,3.3655,930.2844,661.3346,930.3207,646.6339,-
1932246.2400,Eye,Fixation,Fixation,2,2,3.3783,3.3440,930.6902,661.5361,928.3618,648.2853,-
1932282.7360,Eye,Fixation,Saccade,2,3,3.3462,3.3201,938.7416,665.2973,947.3329,651.4085,-
1932319.2320,Eye,Saccade,Fixation,3,3,3.3122,3.3023,971.1664,667.7968,1022.2545,691.1055,-
1932355.7280,Eye,Fixation,Fixation,3,3,3.2827,3.2958,984.6785,669.6886,1020.9133,660.0947,-
1932392.2240,Eye,Fixation,Fixation,3,3,3.2692,3.2891,979.4278,671.4945,1013.5116,660.6707,-
1932428.7190,Eye,Fixation,Fixation,3,3,3.2583,3.2868,983.2338,673.8323,1011.8441,651.4621,-
1932465.2150,Eye,Fixation,Fixation,3,3,3.2496,3.2875,1018.6127,678.4062,1029.1737,647.4161,-
1932501.7110,Eye,-,-,-,-,3.2334,3.2845,1065.5923,677.4587,1122.6565,648.2112,-
1932538.2070,Eye,-,-,-,-,3.2285,3.2819,1085.4552,678.6106,1121.3058,644.4676,-
1932574.7030,Eye,Blink,Blink,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-
1932611.1990,Eye,Blink,Blink,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-
1932647.6940,Eye,Blink,Blink,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-
