memory_score,subj_idx,word,emotional,trialnr_enc,pupil_baseline_enc,pupil_dilation_enc,recalled_d1,recalled_d2,trialnr_recog,target_oldnew,recog_oldnew,rt_recog,confidence_recog,rt_confidence_recog,pupil_baseline_recog,pupil_dilation_recog
NaN,46,163,0,NaN,NaN,NaN,NaN,NaN,212,0,0,981.274557561846,NaN,NaN,0.602884213411595,-0.789349515005392
2,46,164,0,73,-0.373924889425842,0.434167072392171,0,0,227,1,1,833.765174407745,2,167.947177102178,-0.226379534539499,-0.487080570527337
4,46,165,0,87,0.537725826638406,0.680597837196838,1,1,232,1,1,1156.35478985132,4,332.498264364403,0.370206281780957,-0.945764137769469
4,46,166,0,95,-0.645375658257933,-0.175874986331183,0,0,76,1,1,1849.74042892645,4,352.560025428829,2.1389066901524,-1.12073472333593
NaN,46,167,0,NaN,NaN,NaN,NaN,NaN,196,0,1,1616.91219178101,2,415.28714711967,-1.86072861163052,0.326987345566552
1,46,168,0,74,-1.63567181827152,1.78455783005952,0,0,133,1,1,814.089901090483,1,632.572803580842,0.41568151808207,1.74921762493187
NaN,46,169,0,NaN,NaN,NaN,NaN,NaN,84,0,1,742.673380202177,2,158.196460095496,-0.461617241049914,0.925514464819992
NaN,46,170,0,NaN,NaN,NaN,NaN,NaN,239,0,1,1159.40371310353,2,412.910808761808,-0.315881094956115,-0.313645725525183
NaN,46,171,0,NaN,NaN,NaN,NaN,NaN,22,0,1,792.767644721607,1,592.748849550844,1.00570477823079,0.924095750475384
2,46,172,0,25,-0.90203779273051,1.36158226582084,0,0,175,1,1,859.053661049984,2,282.703247205063,-1.16443097042368,0.913479303468796
NaN,46,173,0,NaN,NaN,NaN,NaN,NaN,167,0,1,630.054699595348,2,199.572138371877,0.330387350408633,0.207266766142747
4,46,174,0,77,2.3269422104156,-0.157034466750544,0,0,98,1,1,526.380403887742,4,232.29915101183,-0.918115331047881,0.286583608908444
NaN,46,175,0,NaN,NaN,NaN,NaN,NaN,14,0,1,2159.3062091415,2,926.182252740546,-0.482520833461157,0.628329060884823
NaN,46,176,0,NaN,NaN,NaN,NaN,NaN,104,0,1,453.634429290105,2,162.227799919492,0.719247682917772,-0.230056814300494
NaN,46,177,0,NaN,NaN,NaN,NaN,NaN,144,0,1,651.229096340103,2,437.033738169703,-0.239888750539926,1.11832202319714
NaN,46,178,0,NaN,NaN,NaN,NaN,NaN,80,0,1,680.274051435845,4,144.492983756209,-0.878105151374985,0.961289278769513
2,46,179,0,84,1.38190551448356,0.131643090944318,0,0,148,1,1,641.0482713909,2,255.96342690551,-0.847363690975016,0.016546978946153
NaN,46,180,0,NaN,NaN,NaN,NaN,NaN,207,0,0,931.246685540827,NaN,NaN,0.206502496670344,-1.10828043642933
2,46,181,0,75,0.15956414806158,-0.893288235586853,0,0,19,1,1,841.853192261624,2,358.734207278758,0.0480090355266025,0.173428973954076
2,46,182,0,117,-0.939516439640866,1.25474793545547,0,0,141,1,1,557.848524898873,2,435.333512818033,-1.35017918402478,-0.106549051035882
2,46,183,0,53,0.420519427002217,0.134973895927905,0,0,127,1,1,886.971868058026,2,262.23094314264,-0.24421231906671,0.136418694234834
2,46,184,0,51,0.704813261849829,-1.0979966130815,0,0,34,1,1,716.290219137591,2,282.902745442698,0.85089672198799,-0.704010386440485
NaN,46,185,0,NaN,NaN,NaN,NaN,NaN,68,0,1,813.941079253709,2,553.735076475277,1.35868439772178,0.0218176780969233
NaN,46,186,0,NaN,NaN,NaN,NaN,NaN,11,0,1,897.612308723183,2,761.320371595502,0.124464696083313,0.621637885979192
NaN,46,187,0,NaN,NaN,NaN,NaN,NaN,10,0,1,1002.94641695655,2,297.646691698901,1.55722848300786,-0.304633829244333
2,46,188,0,61,1.60154516990254,1.93426610929861,0,0,72,1,1,861.073981646769,2,282.374812803027,-1.40160914776472,0.586454488576797
NaN,46,189,0,NaN,NaN,NaN,NaN,NaN,18,0,1,1013.80816595702,2,347.509063572943,0.323663765971988,-0.0796165174408611
4,46,190,0,22,0.412618714939087,0.743078692960385,0,0,95,1,1,609.625694989518,4,178.450983927178,-2.17681416499726,1.62805381162413
NaN,46,191,0,81,1.65712287436816,0.091093512595529,0,0,178,1,0,1117.21047692845,NaN,NaN,0.288316021047286,-1.0340565154923
2,46,192,0,102,-1.42767344128445,0.399114329530105,1,1,128,1,1,676.225071092631,2,119.698431662982,-0.32921097110943,0.118160142596096
NaN,46,193,0,NaN,NaN,NaN,NaN,NaN,168,0,1,769.997262064862,2,290.274558203237,0.69191425257243,0.321084927863638
NaN,46,194,0,NaN,NaN,NaN,NaN,NaN,36,0,1,1504.16714090898,2,393.076129297697,0.783338442563729,-0.587527213916046
4,46,195,0,106,-0.434660990428608,-0.336349642932469,1,1,194,1,1,1710.85982574004,4,1784.17735316543,0.556128383449048,-0.387910058755627
NaN,46,196,0,NaN,NaN,NaN,NaN,NaN,115,0,0,1163.65219169165,NaN,NaN,-0.81998811423166,0.41284608660344
NaN,46,197,0,NaN,NaN,NaN,NaN,NaN,91,0,1,688.739255674591,2,434.121448757651,1.49390357119547,-0.209602616258618
2,46,198,0,92,-0.235851898309247,0.294666294607967,0,0,185,1,1,867.927163129934,2,289.153262630862,2.37326313719358,-0.792984620888233
2,46,199,0,59,0.276296634474384,1.88189058875188,0,0,186,1,1,679.644765994453,2,288.625009256066,1.25541895945461,-0.654253578397309
NaN,46,200,0,NaN,NaN,NaN,NaN,NaN,188,0,1,994.827608377818,2,239.243100986641,0.801252773334127,-0.817165599159579
NaN,46,201,0,80,1.68915613375328,0.733246673376363,0,0,205,1,0,2424.34892165329,NaN,NaN,-0.131907743110834,0.0791056349998416
2,46,202,0,57,0.845369363057164,0.228685853214493,0,0,4,1,1,1889.19585646727,2,521.932427058346,-0.1392836628275,-0.0117389066446005
NaN,46,203,0,NaN,NaN,NaN,NaN,NaN,99,0,1,726.513381330733,2,189.770424229209,0.22733326022755,-0.255141333901873
NaN,46,204,0,36,-1.17916062461983,0.406089241638475,0,0,165,1,0,2625.10284538803,NaN,NaN,1.87251220108161,0.151441896355144
2,46,205,0,88,0.844301843652494,-0.344585563821184,0,0,147,1,1,804.034804936236,2,278.557404370076,-0.338917667052138,-0.296980628186091
2,46,206,0,17,0.0254453429443965,-1.13473915470701,0,0,29,1,1,960.703145850857,2,625.142296001286,0.797772954971796,-0.135406041385492
NaN,46,207,0,18,-1.29133365140458,1.04270203957119,0,0,223,1,0,1719.82954883424,NaN,NaN,-0.59637549519634,-0.140793059095991
NaN,46,208,0,NaN,NaN,NaN,NaN,NaN,54,0,0,1029.86809497088,NaN,NaN,-0.113486285438614,-0.417570490936019
NaN,46,209,0,NaN,NaN,NaN,NaN,NaN,180,0,1,962.805895782367,1,457.67058016645,-0.101803942761653,0.486680263622635
2,46,210,0,50,0.0383589783885227,0.565651898850201,0,0,46,1,1,975.928838659456,2,565.669048330165,0.216312916749898,0.383971129022283
NaN,46,211,0,NaN,NaN,NaN,NaN,NaN,43,0,1,896.835484389158,2,305.980073142564,1.15739117309232,-0.778758769681316
NaN,46,212,0,NaN,NaN,NaN,NaN,NaN,177,0,1,881.632563887251,2,355.760657152132,1.80579943786028,-1.05852127072605
2,46,213,0,93,-0.725980057396114,0.278449131356855,0,0,58,1,1,843.951131144422,2,327.165054197394,0.351089408334181,-0.591867137801218
NaN,46,214,0,NaN,NaN,NaN,NaN,NaN,184,0,0,1112.58603307215,NaN,NaN,-1.34745891107821,1.36444225244564
2,46,215,0,83,-0.773838667662957,1.68592740123397,0,0,106,1,1,1829.20012867908,2,676.679234285984,2.28344107725236,-2.36480596327936
NaN,46,216,0,11,0.651149621030072,0.864122799041174,0,0,13,1,0,1043.03048846486,NaN,NaN,0.642404930269075,-0.722296555369884
NaN,46,217,0,69,1.2841150914392,-0.54760693347923,0,0,215,1,0,1678.76690959383,NaN,NaN,-0.219793015651243,-0.685219335556719
NaN,46,219,0,NaN,NaN,NaN,NaN,NaN,216,0,0,901.35081592598,NaN,NaN,0.309751375276342,-0.404298611540729
2,46,220,0,31,-0.988116379153449,0.389576549851168,0,0,155,1,1,630.539653517189,2,288.204202675843,0.368287275034095,0.275326139427017
NaN,46,221,0,NaN,NaN,NaN,NaN,NaN,234,0,1,1568.45560894726,2,291.935974411899,-1.03206746124589,0.0441196112874636
2,46,222,0,47,1.37044227314432,-0.43773551419449,0,0,44,1,1,705.503201788815,2,227.571491766867,0.462391238852077,0.593919798795304
NaN,46,223,0,NaN,NaN,NaN,NaN,NaN,31,0,1,796.015104006074,2,405.338214819494,1.386669138257,-0.388784575050007
NaN,46,224,0,NaN,NaN,NaN,NaN,NaN,27,0,1,1383.92102038051,2,630.751660486567,-0.451911559061412,-0.0687345432386182
NaN,46,225,0,NaN,NaN,NaN,NaN,NaN,15,0,0,1583.54402644181,NaN,NaN,-1.21909976068744,0.890142016670787
2,46,226,0,56,0.59572386298419,-1.05973216039591,0,0,110,1,1,1098.61480340987,2,218.919618760992,-1.07578146943637,0.789501517931037
2,46,227,0,65,-0.196052303972176,0.197396395598259,0,0,42,1,1,714.037043682765,2,611.165872716811,-0.716974325606714,0.737880739017225
NaN,46,228,0,NaN,NaN,NaN,NaN,NaN,225,0,0,1183.29442912727,NaN,NaN,-0.0636215378383672,0.337335868549459
3,46,229,0,103,-0.547520173019777,0.398963013126843,0,0,190,1,1,906.575296347,3,266.221870140726,-0.894531500178006,0.134592438739339
NaN,46,230,0,NaN,NaN,NaN,NaN,NaN,62,0,1,1247.25285908062,2,309.466160546435,-0.807339784559592,0.27401706933903
NaN,46,231,0,6,-0.426140418712419,1.29844053898907,0,0,213,1,0,947.352800641966,NaN,NaN,-0.78005730268651,0.279576795391866
NaN,46,232,0,42,-0.453299479315891,0.384544174429889,0,0,143,1,0,1015.72527693861,NaN,NaN,0.275145765101389,-0.768261022657549
2,46,233,0,29,-0.565041603780077,-0.055481734231516,0,0,125,1,1,593.987534761254,2,183.045216694154,0.29575671637107,-0.544722374286084
2,46,234,0,67,-0.391817380953903,-0.477360244096862,0,0,113,1,1,932.342001437064,2,181.395667746983,-1.67620678544142,1.04461531984312
NaN,46,235,0,NaN,NaN,NaN,NaN,NaN,139,0,1,859.085413983848,2,166.826523003692,-0.655802524410681,-0.0970435898901728
NaN,46,236,0,NaN,NaN,NaN,NaN,NaN,94,0,1,1044.06358143751,4,409.293860779144,0.193360139591812,-0.569173102387868
NaN,46,237,0,21,0.211529553468024,0.379830788888297,0,0,219,1,0,1127.52601129978,NaN,NaN,0.626228494639065,-0.888180606001793
2,46,238,0,28,-0.89592313519612,0.0717888678907477,0,0,17,1,1,1111.60945159645,2,601.31187848674,-0.548006437763752,0.889980145755027
2,46,239,0,4,-0.240149704429985,-0.184292064841421,0,0,21,1,1,739.387432513468,2,1174.40136210644,-0.0270172158465805,0.0352610882803211
2,46,240,0,27,-1.52356455056896,0.251635678053395,0,0,236,1,1,782.310665461409,2,213.729457165755,-1.31701830922951,-0.00890392667135065
NaN,47,1,1,42,-1.09590947796893,1.30629009330172,0,0,150,1,0,2549.10617338101,NaN,NaN,-1.50727938673675,0.934631804154091
NaN,47,2,1,NaN,NaN,NaN,NaN,NaN,54,0,0,1457.31773901935,NaN,NaN,0.103178607218828,-0.117763313929315
NaN,47,3,1,NaN,NaN,NaN,NaN,NaN,31,0,1,2201.81437801875,4,504.529863377684,0.0604442723412479,0.0193575112045756
NaN,47,4,1,27,0.0240743941289127,-0.578025625102413,0,0,184,1,0,1418.12274969561,NaN,NaN,-0.3078102786604,-1.28973921856773
NaN,47,5,1,NaN,NaN,NaN,NaN,NaN,105,0,0,5252.92777115101,NaN,NaN,1.38302067302928,-0.856145796390377
NaN,47,6,1,NaN,NaN,NaN,NaN,NaN,6,0,0,4515.06125356173,NaN,NaN,0.820551715917188,0.439955476040543
NaN,47,7,1,NaN,NaN,NaN,NaN,NaN,35,0,0,1965.39260666759,NaN,NaN,-0.0877680604197887,-0.256033916245104
NaN,47,8,1,NaN,NaN,NaN,NaN,NaN,136,0,0,1433.25222148633,NaN,NaN,0.673993964535239,-0.804920878767457
NaN,47,9,1,NaN,NaN,NaN,NaN,NaN,160,0,1,1708.41642265077,4,306.402773381706,-2.15609053249475,1.7174502993286
