memory_score,subj_idx,image,emotional,trialnr_enc,emotion_score,rt_emotion,pupil_baseline_enc,pupil_dilation_enc,recalled_d1,recalled_d2,target_oldnew,recog_oldnew,rt_recog,confidence_recog,rt_confidence_recog,pupil_baseline_recog,pupil_dilation_recog
NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1362.86730339725,NaN,NaN,0.82087646357649,-0.307295868258107
NaN,1,2,0,142,0,929.001760866413,0.859818009295074,-2.17916342611012,0,0,1,0,1707.66207028919,NaN,NaN,1.15937193437244,-1.57841740557755
4,1,3,1,76,2,2106.77408196079,-0.2237987815262,0.162955395226373,1,1,1,1,932.8834259004,4,326.3193282055,-0.0946871624709152,0.150405131747887
NaN,1,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1724.48804798387,NaN,NaN,-1.06233539354331,0.518956063770835
4,1,5,1,74,3,1697.29938034925,0.00801089498546486,-0.388013381211546,0,0,1,1,942.30575527763,4,388.272274620249,0.843857817520602,0.674813792611776
2,1,6,0,117,0,861.650006591844,0.020190151757323,-0.782687509704861,0,0,1,1,2913.80652098451,2,743.92904045726,0.309491351987839,-1.59916316240563
NaN,1,7,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1798.01512936137,NaN,NaN,-0.317688501202192,0.625748766120322
NaN,1,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1293.72467025223,NaN,NaN,0.0520755643140084,-0.157449250397582
NaN,1,9,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,2288.13247782909,NaN,NaN,0.98230076220139,-0.108367169325296
NaN,1,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,3308.82965257388,NaN,NaN,-0.389906497710739,0.440759257144286
3,1,11,1,143,3,2209.33567251177,0.158953769855787,0.585440349416301,1,1,1,1,1408.07992090868,3,539.549211485792,-0.000973987236489736,0.619408918439267
NaN,1,12,0,96,0,783.402350662982,1.81487963894968,-1.35060986307289,0,0,1,0,1217.52964506777,NaN,NaN,0.855348007247707,-1.02850001193851
NaN,1,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1394.00112017029,NaN,NaN,0.0534295534776694,-1.13735098902441
NaN,1,14,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1092.88659522645,NaN,NaN,-0.0691352398551355,-0.219682622463556
4,1,15,0,125,0,858.032491235463,0.438832451789633,-1.04280368092245,0,0,1,1,1062.92427427888,4,387.778270355739,-0.880708964220188,1.76837710598429
NaN,1,16,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1952.67599543422,NaN,NaN,0.387118526253371,-0.382643612212659
NaN,1,17,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,3562.76131702816,2,691.844631167442,-0.615847135835639,-0.336178521894428
NaN,1,18,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1076.1026399714,NaN,NaN,0.929683150928611,-0.725754211791561
NaN,1,19,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,3319.79077315464,2,398.891441600426,-0.0608496486992882,-0.718125877037652
NaN,1,20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,2979.05678546977,2,494.058796772151,-0.445043946381844,0.149596325018753
4,1,21,0,141,0,733.970031433273,-1.11875210420228,2.72276164031795,1,1,1,1,772.672069063447,4,387.782761304152,-0.0225169319975195,0.754832431698508
3,1,22,1,110,3,1020.13291489857,-3.63142351693389,2.1663095487923,1,0,1,1,1661.20706413312,3,697.43586124514,-0.371898967636109,0.055926032153211
NaN,1,23,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1172.22464234419,NaN,NaN,-0.249589596068373,-0.290038758645699
4,1,24,0,8,0,1974.09708876148,0.127801775315687,-0.499867504814282,0,0,1,1,895.204052631016,4,389.743060041837,0.370371874182862,0.727632201387955
NaN,1,25,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1127.73987916808,NaN,NaN,0.21947208373136,-0.128945320225918
