Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1, , , , ,1, , ,0,1,2,2792.865543,2,638.7607329, ,1.20595314609922,1.03188749569914,.220594234177209,.0430115328483327
2,-.479458384060719,-1.12181599985311,-.0135657583531183,0,1, , ,1,0,3,1603.096147, , , ,-1.5687698911917,-1.60028797664021,.823312504184997,.981444976811859
3, , , , ,1, , ,0,0,0,3730.885184, , ,0,2.09420389377723,1.66858851983273,-.95677854231883,-.419688290217031
4,3.88408668478895,3.28295778003823,-.0249936543459697,-.0950635527645871,1, , ,1,1,1,2054.950223,3,399.6129335,3,-.375080973114515,-.45657221680966,-.726720946024571,-.764432242895276
5, , , , ,1, , ,1,1,1,3897.271159,2,895.2023774,2,.283764823932452,-.0935809471654407,-1.13234022573204,-.658506215643103
6,.881674365902995,1.28028560179792,-.402675542239592,-.327603627988668,1,1,1,1,1,1,1554.071897,4,244.2223929,4,-.345385595436821,-.655989323651911,1.10656072203382,1.33661596775638
7, , , , ,1, , ,0,1,2,1473.619748,2,279.4003389, ,1.04736024993042,.983988288663496,1.25438496475909,1.25319966162629
8,-.763146124860895,-.0018535970267771,-.752189978410099,-.358153966313006,1, , ,1,1,1,1367.532756,4,326.595759,4,-.912534676797703,-.967497091856468,.0313269918358005,.0521351913313022
9, , , , ,1, , ,0,0,0,1796.900453, , ,0,-.436103342628031,-.506752338466044,-1.14278255634397,-.838724890542402
10,.882104580320201,-.311582027059715,.345715926241327,.164776824791917,1, , ,1,1,1,1683.15661,1,527.1325066,1,1.38053586101758,.980729839205288,-.968199841425639,-.747162460766775
11, , , , ,1, , ,0,0,0,2342.188129, , ,0,-.80125859121424,-.810765672916728,.893145590152332,1.03211039945136
12, , , , ,1, , ,0,0,0,1901.947972, , ,0,-.324174611381318,-.082828063953355,.27052162741552,.313462837879476
13,-.32757969400344,-1.12181599985311,-.013565758353118,0,1, , ,1,1,1,2094.643944,2,1049.039969,2,-.319932414570218,-.217076181631469,.537127380851568,.237540965503262
14, , , , ,1, , ,0,0,0,1757.581329, , ,0,.597687387953846,1.03644932494062,.169035226780747,-.122517699628572
15, , , , ,1, , ,0,1,2,2795.591305,1,283.2933879, ,-.871418000013196,-.601247372754038,.417693224477515,.323889876145747
16,.407191658002943,.938056811845471,.299527127478712,.340603771956479,1, , ,1,1,1,1667.100055,4,322.5005715,4,-.896871180879793,-1.08610465213519,.306090816062422,.300429040046649
17,-.995428420408955,-.219606008487502,.3126190416599,.324353591996721,1, , ,1,1,1,1686.428678,4,278.0943985,4,-2.45669431603802,-2.24709019409422,1.51870645837372,1.47770682929671
18, , , , ,1, , ,0,1,2,2502.556125,3,273.2161291, ,1.84880912439669,1.53890223139608,-1.03705395889813,-.569576965294511
19, , , , ,1, , ,0,1,2,2139.096922,4,331.5670578, ,1.25947009048543,.781638577308856,-.718889198065628,-.331058464953788
20, , , , ,1, , ,0,1,2,2940.982149,1,334.7576456, ,.699500111420229,.490333195745185,-1.06674933657579,-1.16326645657978
21, , , , ,1, , ,0,0,0,1150.027877, , ,0,.482169105559274,.121476717076198,-1.12940332024743,-.853713758050148
22, , , , ,1, , ,0,1,2,2621.198065,3,1968.723749, ,.574844789740228,.764042950234544,-.242131541064312,-.059955470031001
23,-1.07397990549609,-.136080083494359,.0906515875879278,.103838649942839,1, , ,1,1,1,3262.168727,1,282.2701356,1,.687099843818545,.833773768640174,-.964610290277766,-.981444976811845
24,2.40509710698675,2.0511941390887,-.791465720953676,-.407554513390635,1,1,1,1,1,1,917.2964536,4,276.7063357,4,-1.08842268304254,-.789585751438383,.314248886853005,-.00553936407895783
25, , , , ,1, , ,0,0,0,1104.438657, , ,0,-.160034227074913,-.198503019719693,-.704857316305832,-.894770221223558
26, , , , ,1, , ,0,0,0,1644.133662, , ,0,-1.02511605370766,-.483943192258598,.414756318992909,-.0944950342879967
27, , , , ,1, , ,0,0,0,2197.668876, , ,0,.263532808371823,-.337964656530939,-.0561275270391659,.417733220542092
28,-.418987471764495,.330300081350619,-.297146779445768,-.194677155917864,1, , ,1,1,1,932.1275195,4,172.8386864,4,-.558800727318312,-.633180177444462,-.882703259540374,-.770949141811694
29,-.216398279005514,-1.12181599985311,-.0135657583531181,0,1,1,1,1,1,1,767.9009423,4,224.9323822,4,.0592547157757853,-.145064448605106,-.0509063617331982,.032910339527888
30, , , , ,1, , ,0,0,0,3229.592717, , ,0,.657404466140858,1.30885569964669,.239194635579709,-.254810747631756
31,-.699834218825087,-1.12181599985311,.0837273485886471,.25464031996936,1, , ,1,1,1,1553.218593,3,842.5580006,3,.313786524441766,.376613309653776,.146192628567144,.272732219651899
32, , , , ,1, , ,0,1,2,1235.259491,4,239.1818032, ,-.273594572479743,-.624708208853128,-.876503125739553,-.507666425588598
33,-.179117128354962,-.634310601060463,-.010205296473902,0,1, , ,1,0,3,1680.089526, , , ,-.676276946702611,-.753091117506485,.693109694367396,.663094464745071
34,-.184443782964681,-1.12181599985311,-.0135657583531181,0,1,1,1,1,1,1,673.1960476,4,232.7271666,4,.625751151473423,.483816296828775,-1.57026546577019,-1.39135791865423
35, , , , ,1, , ,0,0,0,3684.434101, , ,0,-.688350891472657,-.848237841686105,.28651144616505,-.0553936407895166
36,-.351839099420534,-1.12181599985311,-.0135657583531179,0,1, , ,1,1,1,1412.002525,3,234.4664956,3,.706026568052696,.649345529305665,-.444451696670612,-.209844145108499
37,-.0746304563320157,-.253901274648022,-.493723854499678,-.32512178232209,1, , ,1,0,3,2031.790072, , , ,-.188424313426122,-.176345563403889,-.763921748829595,-.485508969272794
38,-.196062540742387,-.634310601060463,-.0102052964739022,0,1, , ,1,1,1,1275.001331,4,329.8700732,4,-.894586921058437,-.62470820885313,.347207492846937,-.203327246192093
39,.375541966889409,-.0654098813333867,-.047425090803324,.00971286025609618,1,1,1,1,1,1,828.6417643,4,237.9012053,4,-.053000338302551,-.465695875292644,-.423893358278364,.0273709754489397
40,-.790916851911902,-.0358164731426662,-.253110340836315,-.101888628347667,1, , ,1,1,1,1055.0625,4,274.8999613,4,-.98367305409153,-.467650944967566,.403008697054485,.116652490603799
41,-.186308451544277,.491176862952203,.197370524398224,.174201929168575,1, , ,1,1,1,1476.92967,3,487.7608593,3,1.2490277598735,.967370196426642,-.766206008650985,-.606723289118073
42,-.643335273869411,-.606035287930489,-.293677333745945,-.29266574107519,1, , ,1,1,1,1367.144068,4,273.1808421,4,-.64299201787705,-.691180577800546,-.366786862744327,-.0840679960217301
43, , , , ,1, , ,0,1,2,6771.779627,1,321.9154928, ,-.877944456645655,-.480684742800393,-.551485585442973,-.742274786579468
44,-.714745714857712,-.67038600057112,0,.0360753995106571,1, , ,1,1,1,1515.446159,2,389.7547039,2,-.302310981662573,-.554325700555866,-.308048753052187,-.12186600973693
45, , , , ,1, , ,0,0,0,1233.761076, , ,0,-.616886191347218,-.514572617165744,.682667363755465,.63995947359179
46, , , , ,1, , ,0,1,2,1372.857356,2,741.8248006, ,.657730788972489,.831818698965245,-.499273932383292,-.45292447469072
47, , , , ,1, , ,0,0,0,1436.298597, , ,0,-.547705751043116,-.233042583976684,.449672861976584,-.0182473169659536
48, , , , ,1, , ,0,0,0,2254.123288, , ,0,-.0549582752922894,.626536383098216,.395176949095526,-.00293260451238275
49, , , , ,1, , ,0,1,2,2047.927145,2,831.9869733, ,-.207677360491882,-.0948843269487238,.24800535203353,-.00488767418730959
50, , , , ,1, , ,0,0,0,2723.489988, , ,0,-.513768176554321,-.622753139178205,-.320122697822227,.134573962623938
51,-.275592673310665,-1.12181599985311,-.013565758353118,0,1, , ,1,0,3,1251.665183, , , ,.142793360671289,-.195244570261483,.804059457119226,.8719610750161
52, , , , ,1, , ,0,0,0,2492.113031, , ,0,.547433671883887,-.29886326303246,-.431398783405689,.0638656093808539
53,-.434658096314706,.124247799460927,-.297543504117925,-.177126961561336,1,1,1,1,1,1,1287.677069,4,278.5961223,4,-.82181692960649,-.518156911569767,.5899916795745,.100686088258588
54, , , , ,1, , ,0,0,0,3455.308909, , ,0,1.36519868793129,1.6764087985324,-.315227855347877,-.220271183374773
55, , , , ,1, , ,0,0,0,1164.044841, , ,0,1.70261649582956,1.98856825662863,-.36776583123921,-.535037401037566
56, , , , ,1, , ,0,0,0,4933.385695, , ,0,-.527473735482487,-.478729673125471,.178063491788982,.197679267131213
57,-.663766594485508,-.457183639499123,-.126356808082079,.24180267780116,1,1,1,1,1,1,902.5241123,4,277.3963572,4,.634235545095625,.212061612014344,-.978968494869198,-.325844945820666
58, , , , ,1, , ,0,0,0,2246.757605, , ,0,-.308184792631787,-.269537217908593,-.937199172421434,-1.07919846055807
59,-.72942452772753,-.193768222351491,-.0789482097592895,-.0713382900233259,1,1,1,1,1,1,999.3545882,4,168.2369388,4,.932494613199101,1.06023600598553,.52994827855585,.353867611161248
60,3.53239026292151,3.0304299834636,-.38383112031212,-.273490528722688,1, , ,1,0,3,3788.588436, , , ,1.04148643896122,1.1781918763726,1.56700223745398,.776162660944813
61, , , , ,1, , ,0,0,0,1397.768706, , ,0,-.901439700522518,-.584303435571368,.161203478821786,.0394272384443037
62, , , , ,1, , ,0,1,2,2893.80822,1,279.8510503, ,.567665687444518,.649345529305666,-.45685196427229,-.560127461865714
63, , , , ,1, , ,0,0,0,1452.864568, , ,0,-1.19121437500379,-1.48559055571133,-.261384588130077,.365598029210803
64,-1.04085339537096,-.233256159653695,.1233813730409,.0958760617625572,1, , ,1,1,1,1964.462447,3,598.8350794,3,.683183969839087,.242039347029846,-.191877824994362,.0387755485526577
65, , , , ,1, , ,0,1,2,3896.371982,2,386.720983, ,.427999515509844,.227050479522098,-.571717601003606,-.601509769984952
66, , , , ,1, , ,0,0,0,4614.385854, , ,0,-1.06721169898704,-1.12064421639216,-.206888675249032,-.142068396377833
67, , , , ,1, , ,0,1,2,1077.013269,4,283.1192695, ,-.541179294410654,-.657292703435199,-.806670039772211,-.41838491043373
68,-.240104306217642,-.634310601060463,-.0102052964739024,0,1, , ,1,1,1,2053.430636,3,294.8233307,3,1.25751215349568,1.18536046518066,-.486873664781615,-.731196058421565
69, , , , ,1, , ,0,1,2,6331.743747,4,587.7976219, ,.345766161940837,1.21892249460019,-.12008680203729,-.455857079203099
70, , , , ,1, , ,0,1,2,2954.05205,2,705.1955959, ,.393409295357797,.492288265420114,.352428658152913,.213428439512531
71, , , , ,1, , ,0,1,2,861.9546312,4,182.0489181, ,-.478525310739027,-.617539620045074,-.458157255598792,-.238844345286549
72, , , , ,1,1,1,1,1,1,2567.472622,4,322.2108662,4,-.939293148990792,-1.3070275254016,-.137708234944937,.110787281579039
73,-.229806795348489,.0585681192191277,-.0474250908033236,.00971286025609625,1, , ,1,1,1,759.7269829,4,234.969496,4,-.489620287014217,-.652079184302064,-.0646119206613661,-.14532684583602
74, , , , ,1, , ,0,1,2,873.553579,4,177.8094609, ,.900514975700043,.720379727494572,-.0169687872443977,-.101011933204399
75,2.07264183171899,2.2179209854758,1.34727698664599,.970460747196651,1,1,1,1,1,1,1504.798392,4,1304.189146,4,-.0673585428939651,.246601176271333,1.40906198694839,1.36398694320529
76, , , , ,1, , ,0,1,2,1967.045136,3,992.4906024, ,1.67292111815183,1.79045452956963,-1.06283346259631,-1.06355790315866
77,-1.33006568137358,-.389257887267345,.383037670967809,.160876781601577,1, , ,1,1,1,1323.96816,4,279.7250413,4,-1.37917632601869,-1.11086886801756,.300869650756464,.0149888675077594
78,-.846061581341757,-.380157786489882,.00218198569686578,-.204996020192319,1, , ,1,1,1,1663.195708,2,437.5429459,2,.0807920226629076,.337186071209483,.0574328183656583,.190945138250898
79, , , , ,1, , ,0,0,0,1654.094459, , ,0,-.967356912510369,-.882125716051451,-.533864152535331,-.358755285348544
80,-1.16562330476441,-.0749794068456776,.103743501769116,.0481005326808769,1, , ,1,0,3,5812.717055, , , ,-.332332682171894,-.384886328729113,-.520811239270411,-.474430241114893
81, , , , ,1, , ,0,1,2,2736.790775,1,222.7150745, ,.723648000960345,.310466785652188,-.486873664781612,-.388407175418238
82, , , , ,1, , ,0,1,2,3011.797091,1,231.8985633, ,-1.4614096795877,-1.2959487972437,-.106381243109097,-.0306294249071464
83,-.335172554062408,-.634310601060463,-.0102052964739021,0,1,1,1,1,1,1,1016.813621,4,167.9713238,4,.212626446638626,.286354259661459,.25975297397196,-.0684274386223425
84,.525018885633641,.944556883829381,.510187928394203,.289903210482037,1, , ,1,1,1,1053.337606,4,227.9143385,4,.222416131587317,.475344328237436,.0417693224477533,-.215057664241634
85,-.311174480063858,-.634310601060463,-.0102052964739023,0,1,1,1,1,1,1,1329.843479,4,680.0295384,4,1.10348777696959,1.04752805309852,-.614139569114609,.301080729938297
86,-.0260872974370079,.0168454997968022,-.0474250908033237,.00971286025609621,1,1,1,1,1,1,3733.358804,4,239.3829392,4,-.00144133090610435,.562670773717375,.119760479205664,-.259372576873246
87, , , , ,1, , ,0,0,0,1613.238918, , ,0,-.930808755368588,-.554977390447506,.108991825762082,-.304013334450688
88,-.553675497961876,-.394620446654063,.224546164440994,.295753275267545,1, , ,1,1,1,1374.6432,4,283.5664522,4,.048486062332222,-.0525244839920376,-.549201325621629,-.538947540387382
89,-.0910945302265413,.38620070041219,-.367367046417598,-.201989736899769,1, , ,1,1,1,1292.471932,4,232.8602949,4,.309544327630678,-.0277602681096656,-.430093492079203,-.365598029210786
90, , , , ,1, , ,0,1,2,4176.312212,2,226.8518786, ,-.176676691487692,-.445819333597582,-.0336112516571748,-.0798320117260613
91, , , , ,1, , ,0,1,2,3474.906762,2,484.0297386, ,1.77603913294471,2.51578537896647,-.990389793975998,-1.16847997571294
92,-.401785554481939,-.634310601060463,-.0102052964739018,0,1, , ,1,1,1,927.4402735,4,231.3990916,4,-.187445344931253,-.102052915756778,.199709572953317,.336271984086927
93, , , , ,1, , ,0,0,0,2499.106962, , ,0,1.07281343079703,.898291067912665,-.0822333535690237,.231349911532674
94,-.0563003535151298,.43566595678076,1.34402242137105,1.05814700968836,1, , ,1,1,1,1917.647164,3,378.0403773,3,.840471574681396,.509883892494426,-.868345054948971,-.664723689474152
95,-.292233939010259,.0455969284557088,-.184476972553114,-.0393254355026081,1, , ,1,1,1,1311.928551,2,593.3338338,2,-1.18860379235081,-.658596083218477,.403008697054475,.19681034727568
96,-.645318897230197,-.0623042664770681,.104338588777352,.12902642888046,1, , ,1,1,1,2694.535709,1,335.3446932,1,-2.13950852370041,-2.01899873201974,.543653837484029,.440216521803679
97, , , , ,1, , ,0,0,0,1809.253154, , ,0,-.0014413309061068,-.314503820431854,-1.03933821871947,-.710341981889046
99,.692109184195749,-.130244193535531,-.0474250908033238,.00971286025609608,1, , ,1,1,1,1779.314367,4,184.8205527,4,-.879249747972145,-.933609217491114,.420303807130492,.402744353034343
100,.237195135983568,.51263483868001,.0667757526150665,-1.02581195541189,1, , ,1,1,1,1013.436333,4,285.2268666,4,.940979006821319,.610895825698824,-.0277374406879775,.228743151966123
101, , , , ,1, , ,0,0,0,4743.545524, , ,0,-.741541513027214,-.938822736624236,.390282106621179,.2352600508825
102,.0386217761431664,.377913108632708,.81476273372995,-.236164381822351,1,1, ,1,1,1,2192.839046,4,279.2778672,4,-.67823488369234,-.685315368775776,-.30282758774621,-.082764616238442
103,-1.18486445136403,-.279081667140206,.128340431442865,.135201497265167,1, , ,1,1,1,1414.120067,3,233.4807047,3,-.432840114311808,-.337964656530936,-.251921226013002,-.512554099775913
104, , , , ,1, , ,0,0,0,1659.893485, , ,0,.251132540770147,.241713502084025,.347207492846944,.335946139141094
105, , , , ,1, , ,0,1,2,1740.083868,4,179.7223688, ,-1.42029300280318,-1.34287046944188,-.163814061474779,-.0729892678638056
106,-.438426980700199,-.288929276195813,-.0991811680393085,.021385236827035,1,1,1,1,1,1,874.9149102,4,229.2664728,4,.219805548934334,.112353058593219,.239847281242952,-.044966602523251
107, , , , ,1, , ,0,1,2,4431.480958,1,286.8019507, ,-.413913390077674,-.191986120803282,.0323059603306944,-.15184374475243
108,2.29917161952076,2.23400866363595,-.018050972583155,-.149014150230946,1, , ,1,1,1,1236.77587,4,276.8978479,4,-.756552363281878,-.594078783945984,-.508410971668725,-.6275773656506
109, , , , ,1, , ,0,1,2,1416.113367,3,233.7482445, ,-.675624301039362,-.740057319673639,-.850397299209704,-.624318916192392
110, , , , ,1, , ,0,0,0,1798.246171, , ,0,.412336019591944,.251163005512829,.433683043227052,.31932804690424
111, , , , ,1, , ,0,1,2,4057.132885,1,1146.117113, ,1.57404530017005,.96085329751022,-.450978153303071,-.0143371776160968
112, , , , ,1, , ,0,0,0,2217.018029, , ,0,-1.29041651581721,-.964890332289903,.571064955340361,.759870413653795
113,.0628346425704648,.368975509654842,.331463463587368,-.0936010365681904,1, , ,1,0,3,1258.319352, , , ,2.42085304823193,2.14888396997237,-1.51903278120538,-.816567434226595
114,-.527363032732449,-1.12181599985311,-.0135657583531181,0,1, , ,1,1,1,2987.472789,2,483.0599873,2,.873103857843708,.415388858206437,-.684625300745191,-.239170190232359
115, , , , ,1, , ,0,0,0,1704.028558, , ,0,1.27709152339307,1.395530455235,-.123350030353522,-.180518099984648
116,-.647142718004787,-1.12181599985311,-.0135657583531181,0,1, , ,1,1,1,1778.43622,3,544.0677074,3,1.98390677668864,2.26032294144307,-.730636820004062,-.775510971053231
117,-.504891923023689,-1.12181599985311,-.0135657583531178,0,1, , ,1,0,3,2469.90117, , , ,.504359058109636,.561367393934085,-.323712248970071,-.357777750511078
118,-.136242570758304,-.146805202267798,-.366099159018377,.033150367117902,1, , ,1,0,3,1424.89223, , , ,-.871418000013196,-1.05352015755313,-.259752973971953,-.0117304180495328
119,1.41169852790506,1.65436474447151,.059111976151426,.0130001439677896,1, , ,1,0,3,3173.731769, , , ,.163351699063542,-.117041783264529,-.80764900826709,-.686881145789966
120,.728141917778145,1.36543654478706,-.472102359867108,-.434367310324277,1, , ,1,1,1,3347.432131,3,848.2783465,3,1.81878742388732,1.8973316717988,-.618055443094049,-.556543167461683
121, , , , ,0, , ,0,1,2,4102.179326,2,271.5399959, ,.295512445870886,.415388858206435,-.396155917590404,-.419036600325372
