Bildnummer,Antwort_Emotionsrating,RT_Emotionsrating,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Bildes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1, , , , , , ,1,0,0,0,0,0,1376.662975, , ,0,.624773241986846,1.40316529914082,.0767184603921565,-.236107464371347
2,0,2783.735345,.447489108728364,.397689947068088,-.148090737011684,-.109295480811216,0,0,0,1,1,1,2127.264778,1,182.8105312,1,.610314937082217,.442327345199926,-.784781279963694,-.426792984643906
3,0,2062.246337,.837914120698257,1.41947473666722,-.70134146011064,-1.09106330601679,1,1,1,1,1,1,897.9967947,4,182.1343058,4,-.0765600206046154,.363166826832626,-.0329749769619141,-.267503797887844
4, , , , , , ,0,0,0,0,0,0,1333.370117, , ,0,.945043000884778,.886336986792205,-1.08946750553651,-.979968771469251
5,3,2153.558308,-1.03775055055854,-1.34063467375887,.0479395563902504,.342210543944806,1,0,0,1,1,1,954.0173175,4,190.0125878,4,-.888293813838137,-1.27498165618758,-.106970053936629,.324945908530308
6, , , , , , ,0,0,0,0,0,0,1383.284402, , ,0,-.192640548882644,-.905529160771961,.320724297189084,.397124530793895
7, , , , , , ,1,0,0,0,0,0,2222.804064, , ,0,-.0113460882311387,.109012464499615,.266311410333264,.147334884297823
8,0,1491.355028,.694192023484211,.796957734157245,.66428936972002,.89543463776168,0,0,0,1,1,1,1347.234983,3,126.6665041,3,-.181977380779296,-.0677668380266672,.975712151774482,.879118238699175
9,2,1908.747695,-.902606112300723,-1.14960908580338,.781521843006015,1.2805654229205,1,1,1,1,1,1,957.2447859,4,131.6996995,4,-.666517524235724,-.896443954965225,.695460959689074,.827171027737521
10,0,2547.131947,1.90731284672719,1.16435991329367,-1.01061385572848,-.500755520717794,0,0,0,1,1,1,2036.503658,4,227.9902762,4,-.521211960729605,-.141882718351164,-.144820468754,-.784228559376586
11, , , , , , ,1,0,0,0,0,0,1132.246646, , ,0,.317332718724269,.400933087964519,-.425172733574673,-.500833597914933
12, , , , , , ,0,0,0,0,0,0,1027.334838, , ,0,-.834773421143534,-1.33605797901521,-.731891661122117,-.542384338750049
13,0,1621.738388,-.835545667218633,-.764089046871753,-.522841418655455,-.16051715627844,0,0,0,1,1,1,2826.30183,2,642.8375288,2,.904084956059241,.865202214634564,-.735430588182866,-.660019241113735
14, , , , , , ,1,0,0,0,1,2,3918.490465,3,443.7943813, ,-.768507213814633,-.924381243673909,.550040946531707,-.137537774624192
15, , , , , , ,0,0,0,0,0,0,1254.534046, , ,0,-1.24035167187304,-1.47664301849138,.255232940508085,.397747135673311
16,0,1774.592888,1.1287246029491,1.54956083327571,-.0324344356956157,-.322598092801177,1,0,0,1,1,1,1866.673895,4,176.7841699,4,-1.47280033189909,-1.51156112522969,.854642251023928,.744881640806318
17,0,2651.849792,1.04515984567647,.382285653171687,-.911578758711004,-.459284673738999,0,0,0,1,1,1,913.6141358,4,138.6775239,4,-.820959778152213,-.472101030651833,-.499107789432172,-.880135169557605
18, , , , , , ,1,0,0,0,0,0,1468.547501, , ,0,-.481133121474151,-.500248046409345,.27565994165086,.269083492425186
19, , , , , , ,0,0,0,0,0,0,1486.738862, , ,0,.773696122878323,.888906470754153,-.212905263931851,-.235672877747479
20,2,2092.627523,-.702310239731786,-.428474114841701,-.0290703317212229,-.0174348349408671,1,0,0,1,1,1,833.6889825,4,188.9847766,4,.730610708601642,.872519443870037,.682469128173272,.359602303818013
21,0,2488.874753,2.31321141550916,2.18747409465124,.593597190354235,.174656106035534,0,1,1,1,1,1,905.0400603,4,189.1775714,4,.144693368763435,.329210530679003,.606642222109579,.329876053650435
22, , , , , , ,1,0,0,0,1,2,813.7249367,4,344.182024, ,.714057319440533,.753009374628428,.37716881677569,-.0993199075032205
23, , , , , , ,0,0,0,0,1,2,1013.917796,1,1921.462584, ,-.517020809600319,-.439622859528476,.254915608305965,-.0624950282917947
24,0,2518.69071,-.618245661545444,-.518529612269363,1.14472820846836,.754602530219551,0,0,0,1,0,3,1356.604297, , , ,-1.12973630034291,-1.35289768965015,.239797476008635,.159336269032501
25,2,1630.368868,.00739630083545804,-.0361154185016777,-.0363607571355338,-.064182985988465,1,1,1,1,1,1,769.3920773,4,188.9478857,4,-.565184305730665,-.190625812176409,-.209788097036915,-.419163126704586
26, , , , , , ,0,0,0,0,0,0,1491.384863, , ,0,1.35181563594658,.862379416563396,-.328817010336282,.172497016250907
27,2,1622.924983,-.129662654449857,.12402847573622,.0612828804781065,-.335821148448319,1,1,1,1,1,1,1074.283098,4,134.5566554,4,1.83340281467147,1.02587632864783,-.227515076102051,.284287694369714
28, , , , , , ,0,0,0,0,1,2,2136.195892,2,121.4360229, ,.0735475312394171,.249806628783183,.743266412761994,.521459848951176
29, , ,-1.05089140227954,-1.25923732035144,1.89479960980459,1.63692844319706,1,0,0,1,1,1,2387.021606,3,77.10155955,3,1.48851487561188,1.13035277321608,-.636125543343307,-.015724564584547
30,0,1308.032787,.821377815621925,.79399429113267,-1.56693383372288,-1.72746992339942,0,1,0,1,1,1,961.5558829,4,77.54424977,4,-.938049059156683,-.687782064244145,.182757206370857,.561908809395065
31,2,1554.313892,-.0105884264135164,.0822761427112469,.492014372311732,.610455180498866,1,0,0,1,1,1,983.0048657,4,129.022386,4,-.669461184414769,-.864179384880957,-.0931865394767875,-.0331220203339256
32, , , , , , ,0,0,0,0,1,2,1469.956732,1,285.0190421, ,1.18628410819273,1.19487296327495,-1.09175249229377,-.722818298982736
33, , , , , , ,1,0,0,0,0,0,1468.258469, , ,0,-1.14175342549614,-1.15243637102798,.805453214872981,.982620554951406
34, , , , , , ,0,0,0,0,0,0,1563.187934, , ,0,-.20457901513541,-.323700077159092,-.656588958831382,-.688204581406351
35,1,2794.630587,-.272438605517401,-.646384797970895,-.440001204977123,.090051114817471,1,0,0,1,1,1,848.022522,4,127.7870237,4,-.457647284282625,-.335090880586499,.632161245688762,.80366822260217
36, , , , , , ,0,0,0,0,0,0,1056.765076, , ,0,.305567837566861,.206857823606047,.329413640064985,.574320410335115
37, , , , , , ,1,0,0,0,0,0,2331.80787, , ,0,-.493123988759879,-.637473938757714,-.738683997653069,-.36932601079537
38,0,1911.430766,.287447682220769,.754475970387694,-1.0144115581172,-1.43982973646232,0,0,0,1,1,1,1371.400094,4,344.3360032,4,-.508936384999931,-.551156445719814,1.03616130677617,1.15948781347849
39,3,2246.712886,-.015223094938847,-.655661741300727,.0592267780829073,.462809573609017,1,0,0,1,1,1,1189.27862,4,182.8647447,4,-.817330497291397,-1.01527242770332,.647046173201273,.885417696837087
40,0,2390.583754,-.531245101025856,-.656286463887779,1.02846828667706,.931199534235352,0,0,0,1,1,1,1705.011446,4,184.7731245,4,.0748865942963063,.454824965627516,.320757032944501,.293321173562901
41,2,1968.112715,-.609215631805332,-.350497450174072,.457421660013632,.59016050467483,1,0,0,1,1,1,986.5184788,4,72.4699933,4,1.37331913178847,.975836468703411,-.29143326399938,.0604976030951944
42, , , , , , ,0,0,0,0,0,0,2206.687253, , ,0,-.122344315195886,.133505378232917,.482593143834487,.22738126452082
43,2,1996.214702,-.111636331047204,-.535146359974268,-.164167096994539,.203731478285887,1,0,0,1,1,1,2027.961341,1,176.9121651,1,-1.00238505817115,-.67951794894797,.572100146140898,.304914703843175
44,0,1836.339437,2.17868125462953,1.92856970150696,-1.88246308185854,-1.64137346017954,0,0,0,1,1,1,1176.228882,4,77.4855452,4,.475114724534479,.363916475749757,-.096156403227655,-.0144951041850658
45, , , , , , ,1,0,0,0,0,0,1812.590302, , ,0,-.860651571303735,-.93112779925074,.30237451384469,.35513197900937
46,0,2212.473175,.550828233840291,.729272195981535,-1.02418266450173,-.774402643649507,0,0,0,1,1,1,738.6032931,4,131.5842151,4,.503446716943985,.61503283364127,.464148114543992,.508414486476601
47,2,2249.746257,.136448464151044,.0146352075292824,-.218170024234054,-.297547904534432,1,0,0,1,1,1,1503.241262,4,72.73047479,4,-1.00894198343744,-.800225717956968,.209987451861959,.0860497217620804
48, , , , , , ,1,0,0,0,0,0,1168.300878, , ,0,1.31265905265603,1.37069176014379,-.312281144330363,-.562445283219164
49,0,2520.120783,-.888859079008469,-1.00868544346403,-.134023238302781,.0111076443738403,0,0,0,1,1,1,977.9626883,4,236.0196503,4,1.24984515413465,1.11397586106222,-.401005867152569,-.409065315741378
50, , , , , , ,1,0,0,0,1,2,1813.506479,4,134.7337315, ,-1.61254748550884,-2.07085442557878,.029632746604046,.742285165955267
51, , , , , , ,0,0,0,0,0,0,986.9377513, , ,0,-.704466955992761,-.431729131646194,-.100709086971061,-.867750724279467
52,1,2301.887773,1.76063315498129,1.68481483889582,-.534223571613995,-.639442630013873,1,0,0,1,1,1,1539.429263,4,81.99649441,4,.259915991402487,.401193405503444,-.276123952927594,-.00514556459618309
53, , , , , , ,0,0,0,0,0,0,1771.417866, , ,0,-.146081957283757,-.00214228578148976,.247322984567666,.271444764245638
54, , , , , , ,1,0,0,0,0,0,1046.094959, , ,0,-.357488866423522,-.20541613208262,.0186558476192914,.0273523858592578
55,0,1381.081338,.543180371717276,.79025446376827,-.736312731331224,-1.13309156385099,0,1,0,1,1,1,978.0085612,4,132.1423897,4,.49103220531905,.290241262413691,-.20876608279695,-.0356768169223493
56,2,2078.545252,-.445408876475809,.0723675377860124,.750366289623779,.192086005604561,1,0,0,1,1,1,1113.364946,4,144.2461178,4,1.35518183350715,1.5157147173318,.230235146330322,.19119546993537
57,0,1656.72224,-1.28026164769924,-1.07691516849254,.140360064313243,.158843924096289,0,0,0,1,1,1,1125.259519,4,84.23560872,4,.632951168942871,.502253267321833,-.19671314485283,-.15129086971017
58,2,1608.91906,-.468411991640194,-.608686180262951,-.0147626448260444,.159801762797362,1,0,0,1,1,1,1260.498174,4,177.6958551,4,-.803938079537578,-1.11029334323566,.452368586177656,.51137616206352
59,0,653.985606,1.26536420325157,1.28455445869734,-.840993328109273,-.822055446013622,0,0,0,1,1,1,1394.784403,4,386.1400749,4,-1.42634508012109,-1.76521633064623,.301615359590767,.399213184580178
60,1,2547.871304,1.07890861855312,1.32117701033724,-.53266162446025,-1.13208908234914,1,0,0,1,1,1,822.6496357,4,126.6523894,4,-1.89307981564991,-2.12526615961198,.435603312423582,.461185670201553
61,0,1899.275468,.239997404020198,.170810495657967,-.0601274846751935,-.269642689205517,0,0,0,1,0,3,1122.016332, , , ,.475780770190813,.879742397671878,.0252065684403355,-.113352728492444
