Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1,-1.02461967145599,-1.11846722257076,.26533215504849,.28152719705462,1,0,0,1,1,1,863.7691108,3,795.1285662,3,-.907564188384131,-1.04709880414685,.742456508939609,.606948351006976
2,.811226530032975,.630327848983997,.163325879615756,.368441707291869,1,0,0,1,0,3,1099.130206, , , ,-1.11231467802576,-1.17591582899689,-.271573550171448,-.168039857569275
3, , , , ,1,0,0,0,0,0,2742.676887, , ,0,-.932385663802115,-.536209937723278,.876451339688192,.266352497011212
4, , , , ,1,0,0,0,0,0,926.9744509, , ,0,-.809253550365175,-.774664175628442,-.509637265921562,-.495122223544997
5,-.773469615110097,-1.06960928871795,-.270506226937145,-.436012594468943,1,0,0,1,1,1,1984.620465,2,558.2003516,2,2.35550336204682,2.17525262649165,.284484882892396,1.07267705750094
6, , , , ,1,0,0,0,0,0,906.4636585, , ,0,-1.18785764131022,-1.37355579108067,-.0486715761386245,.0138580344862971
7,-1.04057369888298,-.962475869298069,-.378785276770172,-.223145665383223,1,0,0,1,1,1,1130.744904,3,628.9718709,3,.589694103117493,.444844965409926,.311475963450671,.368352643691826
8,.760645534161749,.649459443071128,.934175895227745,1.1031696731505,1,0,0,1,0,3,899.821201, , , ,.407141772262358,-.160569688693267,.343742196279941,.508431581386612
9, , , , ,1,0,0,0,0,0,744.2096876, , ,0,.175270570207824,.262958131137021,.653942150174891,.469858876080011
10,2.85952761337308,2.90859472541889,-.0922553438207174,.0729765295425775,1,0,0,1,1,1,1042.324205,2,848.6954472,2,.253556975642393,-.541274753225171,-.326121770386541,-.0667528501104591
11, , , , ,1,0,0,0,0,0,667.8868571, , ,0,-.447295917979092,-.364103448938193,.289312805264924,.520208646487322
12, , , , ,1,0,0,0,0,0,1450.020026, , ,0,-1.08111747589099,-.526415901647393,.21182233941777,.204027674537354
13, , , , ,1,0,0,0,0,0,1823.909234, , ,0,-1.03140171516334,-.727981903138793,-.113121293463294,-.108054019409885
14, , , , ,1,0,0,0,0,0,981.1292423, , ,0,.452156433781927,.104802702628917,.0760420459247775,.402674596925206
15,-.194037251647441,-.352202734607515,-.0513252459489142,-.032949922120386,1,0,0,1,0,3,1243.525556, , , ,-.428488496403481,-.271024300063902,.494063294906555,.037477458261556
16,1.13694347515481,1.43051736258762,.0418425596432173,-.0390689467524672,1,1,0,1,1,1,889.3748061,4,714.8946722,4,-.0365478802543077,-.143912455509154,.248019442185543,.372147042829612
17,-1.30892786936788,-1.35294913429998,.568370980027563,.604453751957901,1,0,0,1,0,3,3714.282065, , , ,1.22580582379449,.706085607462822,-.139505912995,-.261380707300002
18, , , , ,1,0,0,0,0,0,1277.433521, , ,0,-.565356401156803,-.527381088105839,-.591642377159226,-.569016119493222
19, , , , ,1,0,0,0,0,0,1047.046319, , ,0,-.582978555474931,-.348393323615468,-.445206345215813,-.374147623890416
20, , , , ,1,0,0,0,1,2,1181.691686,2,388.6659779, ,-1.09449159433296,-1.15681587896568,.523340604573647,.559234049063935
21,.513469479798781,.607618089443978,-.0927061504700172,-.264422261850133,1,0,0,1,0,3,3106.9379, , , ,-.636218358170646,-1.39356511209591,.0700413873740481,.0303604587130808
22,-.591211707420478,-.329872220050403,.0615756902312592,-.252231070166951,1,0,0,1,0,3,932.618455, , , ,.865619826754984,.301000062875639,-.284425252239266,.00242323408716238
23, , , , ,1,0,0,0,0,0,1759.318312, , ,0,-.721128519270523,-.636293753115782,.263213591866489,.358032397577313
24,-.509631295342988,-.624085216587445,.201516712231287,.158373691337281,1,0,0,1,1,1,752.768547,4,530.5364888,4,-.19106948307705,-.470009976746134,.430301706676869,.434756559327036
25, , , , ,1,0,0,0,0,0,2902.634704, , ,0,1.27364084236458,1.61477451937971,.342454087751121,.513286123497487
26, , , , ,1,0,0,0,0,0,817.3799969, , ,0,-.112230845941766,-.236781330992424,-.289528858355971,-.185223827353097
27, , , , ,1,0,0,0,0,0,1594.849333, , ,0,-1.97841510512741E-005,.290481127713852,.543614639231921,.332684800339631
28, , , , ,1,0,0,0,0,0,1147.953391, , ,0,1.00460915680929,.858588227263758,-.485639168833555,-.701886962572805
29, , , , ,1,0,0,0,0,0,911.1525086, , ,0,.966194701168109,.160411414056043,-.256030690801553,-.148283812433196
30, , , , ,1,0,0,0,1,2,13524.29848,2,852.1244435, ,2.34776325402507,2.33728113922844,-.755633364874449,-.452599133470479
31,-1.33658173285357,-1.13064244274764,.382366765911304,.490737214295816,1,0,0,1,1,1,1041.145818,2,1035.471023,2,.776503760131702,.503174242413686,-.214396179891409,.260055879624361
32, , , , ,1,0,0,0,0,0,1484.872881, , ,0,-.438112365291063,-.6635366191984,-.66410010230354,-.341979305471573
33,-.0886861856549924,-.0455530236237899,.345613463943779,.10033632996829,1,0,0,1,0,3,622.9016078, , , ,-.860853510099845,-.63022531219665,.394132690810932,.136717371764225
34, , , , ,1,0,0,0,0,0,1110.099402, , ,0,-.7127821723103,-.62245695659302,.093400399418738,.210755545448191
35, , , , ,1,0,0,0,1,2,2244.617985,2,838.2923517, ,-.753469074363113,-.612839318478718,-.375947934243719,-.382605598987633
36, , , , ,1,0,0,0,0,0,1939.968566, , ,0,2.86378986404316,2.79221002601525,-1.3472897915196,-1.36741277637227
37, , , , ,1,0,0,0,0,0,1062.656988, , ,0,-.0429892871107723,.0767029461498396,-.258371842096134,-.509238272960174
38, , , , ,1,0,0,0,0,0,1178.664894, , ,0,-.315971935542027,-.628025340007131,.126464948419426,.0363358738415281
39,-.450487422233851,-.793642250585413,-.950670437608108,-.560318020988354,1,1,0,1,1,1,1833.181412,4,304.6467491,4,2.50393010717114,2.91139923257012,-.415290770017128,-.394201527077047
40, , , , ,1,0,0,0,1,2,1131.32255,3,539.190607, ,-.533137051848289,-1.03154225913893,-.201626145892006,-.192952515355416
41, , , , ,1,0,0,0,1,2,1658.981923,3,917.686557, ,2.47055588207328,3.11821463847512,.0431631585469971,-.286716837207511
42, , , , ,1,0,0,0,0,0,843.0703666, , ,0,.122176387295475,-.494491907569367,.614534930580347,.0341657401131732
43,.303374510161648,.154405092455454,.200258664510922,.517915095694409,1,0,0,1,1,1,855.3824871,4,532.1385687,4,3.28019020234406,3.0397576676206,.123104076780006,.334788317968646
44, , , , ,1,0,0,0,1,2,1274.002601,3,422.9014153, ,-.0402324496690173,-1.15322297720092,-.631680039673444,.0549212192402986
45, , , , ,1,0,0,0,0,0,2027.934673, , ,0,1.35799833965756,1.09167715881108,.0929832008999276,.216242487415364
46, , , , ,1,0,0,0,0,0,1182.867507, , ,0,-.346916355560274,-.382070766087725,-.0130176308417425,-.0705834064423603
47, , , , ,1,0,0,0,0,0,3116.896133, , ,0,-.0652846697882397,-.180612358576872,-.185564110944325,-.176812189630863
48, , , , ,1,0,0,0,0,0,938.263742, , ,0,.0349224822639227,-.140021169132768,-.414551436339569,-.202129948407382
49,-1.42444168350897,-1.4482303259412,.0606483786425263,.234490954420283,1,0,0,1,1,1,1098.639158,3,453.8977326,3,.0404728861729111,-.0198894182458647,.816475865826008,.52624935518961
50,.852022237920413,-.0441363353567174,-.401110778428548,-.227421214131991,1,0,0,1,1,1,1570.11123,3,1303.965825,3,.162921839735961,.511124612630411,.476411325261862,.191592057046739
51, , , , ,1,0,0,0,0,0,1320.609495, , ,0,-.05905067389918,-.356979077534606,.0778867072161336,.0943944984505034
52,.636366274717251,.471204984392911,.0794692026837266,.161473690247414,1,0,0,1,0,3,4093.707831, , , ,-.702403197869511,.127185409949147,.341485305690868,-.265773279823928
53, , , , ,1,0,0,0,0,0,1340.268731, , ,0,-1.15903572685842,-.991174156072114,.285033657743654,-.118092204306227
54,.888738074918269,.833615079733008,-.0405536265449634,-.20837155230634,1,0,0,1,1,1,1430.459065,3,898.6303056,3,.0585785673088021,.0141653929999257,.793426025754606,.961195125464492
55, , , , ,1,0,0,0,0,0,845.9893915, , ,0,.299735299110339,-.223781240024747,.430013491853413,.463983507556639
56,.61450082764319,.468505658903302,-.357706794126376,-.193570530373013,1,0,0,1,1,1,854.3298292,4,802.6645962,4,-.684267701407055,-.786146366524717,-.226682038913776,-.342542725826475
57,-.0105080834644588,.219197104282736,.769642109739936,.718041871663088,1,0,0,1,0,3,2128.130579, , , ,-.717854882834985,.0258659312237708,.732415009427034,.778801388392534
58,.0944866961444733,.167531688874746,.0702386010817619,-.0780803491072401,1,0,0,1,0,3,1110.685067, , , ,.490170975151584,.322930278708348,-.109462434366419,-.0460561913663033
59,-.0298140705267312,-.136914345698187,.363698207318986,.468218212476865,1,0,0,1,1,1,1259.053383,3,1973.977776,3,.442538182274712,.584936891611336,-.290510603601686,-.235812305449713
60, , , , ,1,0,0,0,0,0,779.1507458, , ,0,.783626382384237,.438220827031721,-1.05199620458832,-.75292968736054
61,-.0278354056696533,-.333163759598579,-.419951109024203,-.306907290668647,1,0,0,1,1,1,834.9278235,4,1328.413981,4,-.501434933639742,-.0789885275476322,.0134791202442178,.0684202935283964
62,-.957329727828074,-.842776945589043,-.0903573612463481,.191437880190233,1,0,0,1,0,3,1364.377548, , , ,-.383785815547384,-.709436948485216,-.305992535999907,-.15323559282339
63,.201092183638831,.189914815452608,-.645920037517578,-.464537015150008,1,0,0,1,0,3,1912.644897, , , ,-.700166616270996,-1.06827358035105,.431964019159382,.0841476198463803
64, , , , ,1,0,0,0,0,0,1159.271227, , ,0,1.75349043651736,2.08667399516256,-1.01416314781514,-1.09902564735046
65, , , , ,1,0,0,0,0,0,1185.747723, , ,0,-.914791596385823,-.934144431812186,-.246079285427944,-.0789308037129142
66,1.73532904047266,1.53565221027136,-.574844155098418,-.313399942854336,1,0,0,1,1,1,900.8761041,4,1357.523725,4,-.886059127913712,-.514013281984417,-.124765474805253,.171433543725677
67,-1.19488288210503,-1.17234028769319,-.668290220856245,-.501223212806472,1,0,0,1,0,3,1121.208118, , , ,-.502108155071443,-.691538084275999,-.468406126132401,-.375308515550021
68,.973258975037912,.982126072336709,.12679060328863,.223816468647787,1,0,0,1,1,1,969.5804753,3,483.7852631,3,-.296943275601185,-.517076814344067,-.708079005304631,-.529067510086283
69,-1.03859003234527,-1.00399935863319,.873440487342263,.325514956715808,1,0,0,1,1,1,1502.165725,2,382.3394461,2,-1.22455469093068,-.768249959600537,-.153168445694049,-.418466730760647
70, , , , ,1,0,0,0,0,0,918.5749977, , ,0,-1.03137551100987,-1.25250571767138,-.0537275888458431,.00956445544528894
71, , , , ,1,0,0,0,0,0,1256.268747, , ,0,.185654181480337,-.218092314628163,.205564910078066,-.119220759714932
72, , , , ,1,0,0,0,0,0,1331.414474, , ,0,-1.25416476705862,-.896461965770404,.353378164140623,.3470500886657
