Bildnummer,Antwort_Emotionsrating,RT_Emotionsrating,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Bildes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
251,0,2832.677387,.0233364063166251,-.119748112985637,-.520233671201801,.752078762850658,0,0,0,1,1,1,1276.578026,4,232.4136703,4,1.47550557156088,1.22177797838651,-.886024023603891,-.505992640536238
252,0,2387.719926,-.693974366736517,-.873633726169703,-.306179866470597,-.332345886301962,0,0,0,1,1,1,1832.104425,3,476.561734,3,-.152757151013418,-.705164090391072,.15951489643812,.494891779964902
253, , , , , , ,0,0,0,0,0,0,3706.653142, , ,0,-.00141199824788218,.22538699260061,-.00869414848901738,-.394964340378294
254, , , , , , ,0,0,0,0,1,2,3288.110892,3,1091.844293, ,.657088001659944,.392580426823326,-.94235446226621,-.903370754649055
255,0,2256.95876,1.28838521990067,1.05545917479605,-1.68744971278795,-1.02568264285109,0,0,0,1,1,1,1237.335613,4,1147.45875,4,.905733209814377,.887069498737026,-.142976412918868,.624100066429179
256, , , , , , ,0,0,0,0,0,0,1672.92322, , ,0,-.957089583078926,-.841985635958553,.310093729843887,.108078983342137
257, , , , , , ,0,0,0,0,0,0,1777.791109, , ,0,.673018615424247,.50807733057837,-.410252863189122,-.440467767092624
258,2,2933.294069,.763701122012711,.503874743137057,-.751877796485342,-.551242179348917,1,1,1,1,0,3,4359.063153, , , ,-.151382973890366,-.203095736135042,.474039108166085,1.05457260093845
259,3,1732.501971,.64598527817309,-.140055231630201,-.69752589955892,-.469640523750129,1,0,0,1,1,1,1664.033055,4,390.2443328,4,.259790159320738,.0212185847816257,-1.24627968642678,-.626616933303839
260, , , , , , ,1,0,0,0,1,2,5595.103079,2,793.8696261, ,-.313048612559072,-.566254443583217,-.0763410293905036,.0226154457801763
261, , , , , , ,1,0,0,0,0,0,8189.024674, , ,0,.669978874220454,.633145412317721,-.864019174676162,-.794752618263498
262, , , , , , ,1,0,0,0,0,0,2964.932373, , ,0,.561730358160664,.45757605950836,-.378663342645715,-.606218752665756
263, , , , , , ,1,0,0,0,0,0,2377.80362, , ,0,1.18154356870216,1.36271490203743,-.724796520120525,-.390165158776711
264, , , , , , ,1,0,0,0,1,2,5227.974202,2,537.5449312, ,.417360320554627,-.161557178310965,.477151861974732,.599774393246041
265, , , , , , ,1,0,0,0,1,2,1848.031207,4,427.327481, ,-.411736422658728,-.645856358680054,.515873800811825,1.08421277468972
266,3,1219.850293,-.479278499580349,-.471989092931321,1.23461334947652,1.55035103088882,1,1,0,1,1,1,2582.446792,4,376.6391372,4,.242944710246168,.1578006228525,-.756290187963554,-.379608493838797
267,3,1106.429487,-.160182736352093,-.180414731051966,.366671800351645,.0704462297777929,1,1,1,1,1,1,3168.756586,4,2088.670899,4,.470486337305885,.839386052128143,1.0221556672981,.853124935219887
268,3,1912.631917,.86576292117127,.842586118652762,.209905784640242,.22586810687136,1,1,0,1,1,1,1702.317897,4,634.4609778,4,-.205657316637181,-.114714499443026,.292935657396461,.758227693945523
269,3,1369.995817,-.306722853550491,-.523315712683183,-.531239018266911,-.342396754892556,1,0,0,1,1,1,1787.999737,4,1147.653472,4,.432215141480858,.286428950929081,-.657212819939808,-.484164346310909
270, , ,1.1330802314076,.530677915190707,-.859097776733455,-.405935705829205,1,0,0,1,1,1,3368.53171,4,3928.383054,4,.103521307291696,.430030234246064,-.703897127477338,-.273181101023627
271,3,2509.527494,.503245846368684,.356878637368668,-1.10834203803052,-1.02444790579634,1,0,0,1,1,1,1429.24615,4,284.8461712,4,-.613268759807912,-1.07782536689072,-.720066457176248,-.167972780285245
272, , , , , , ,1,0,0,0,1,2,3785.066194,2,1774.085938, ,.0178643589364357,-.447337443549738,-.389920788987747,-.0225019722611576
273, , , , , , ,1,0,0,0,0,0,3563.996644, , ,0,.903341242625888,.727244029441984,-.548260586686535,-.518591094420825
274, , , , , , ,1,0,0,0,0,0,1661.419866, , ,0,-.520942043859635,-.661996268159085,-.0778907863572899,-.409137684865479
275, , , , , , ,1,0,0,0,0,0,6192.791911, , ,0,.992788486663419,.625217067401084,.409262210279923,1.941417482599
276,2,2447.898081,2.08916873418042,1.956769079795,-.31079022998598,-.382219008026425,1,0,0,1,1,1,1132.101564,4,322.7194351,4,.604920164421308,.83492821952329,.137514184489569,.151703418160158
277, , , , , , ,1,0,0,0,0,0,2907.088425, , ,0,-.445767472252837,-.657335357008623,-.255660117543141,-.0448356083632527
278,3,1983.606294,-.763719346556311,-.52595309595363,-.801874994992532,-.834866937030036,1,0,0,1,1,1,1473.382917,4,384.1412264,4,-2.29832673151163,-1.89221423620667,.309017103378423,.0708341599108335
279, , , , , , ,1,0,0,0,0,0,5071.719432, , ,0,-.129253264029074,.391521442853369,1.38237067508708,.78524942824512
280, , , , , , ,1,0,0,0,0,0,1499.059711, , ,0,.359573533906177,.0897337323777128,-.444120609031592,-.254064449941159
281, , , , , , ,1,0,0,0,0,0,3632.926689, , ,0,-.219026210540508,-.087331318116599,.988690697356775,.623507115315196
282, , , , , , ,1,0,0,0,1,2,1549.041227,4,494.1848062, ,.428450602516423,.608430997037878,-.949479056176729,-.681994603196574
