Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;2;1813,102419;,371476320978354;,193207288399296;-,560129160263622;-,448959981957398;1;0;0;1;1;1;869,1183616;4;284,9124641;4;,57840382431383;,664047279434254;-1,14575160861611;-,829347287237053
2; ; ; ; ; ; ;0;0;0;0;0;0;1147,311921; ; ;0;-,329873853048174;-,605533497630969;-,447025646419817;-,0717400586481047
3; ; ; ; ; ; ;1;0;0;0;0;0;1091,717984; ; ;0;-,274473513345966;-,20712402118153;-,37681767195639;-,0372014084587046
4; ; ; ; ; ; ;0;0;0;0;0;0;1169,495676; ; ;0;-,100612329483884;-,0500856768994403;,113962517701408;-,268459385152679
5;2;2076,796842;,676675375889209;,867957975963583;-,0242482274037776;-,382913279859765;1;0;0;1;1;1;937,5953305;4;225,5412107;4;-1,16573216537442;-1,49207235826125;,815744165496042;,908524739752544
6; ; ; ; ; ; ;0;0;0;0;0;0;1367,336028; ; ;0;1,26280682169959;1,07940879956332;,417484359559625;,415124127963745
7; ; ; ; ; ; ;1;0;0;0;0;0;1594,464773; ; ;0;-1,48574618505906;-1,90451725706256;,955157958838677;1,50490183593786
8; ; ; ; ; ; ;0;0;0;0;0;0;878,335052; ; ;0;,538168751365641;,213454518895696;-,505961539630556;-,0824688304232333
9;2;1594,501944;,264705844072329;-,0553166265334946;,586671456387624;,790035958723533;1;1;1;1;1;1;846,5125169;4;280,3759639;4;1,11313747246086;,902465028757428;,0135163933161533;,286884381795099
10;0;1330,244624;,0128688299822477;,024188861912946;,165457969877919;-,0665522507929747;0;0;0;1;1;1;1056,982839;4;195,979228;4;1,53760073215837;1,28441095354197;-,797302996238014;-,473212308511565
11;3;1937,992005;1,95252943415422;1,3898743121107;,409478592866241;1,07676100813244;1;1;1;1;1;1;908,2286765;4;341,9824315;4;,0705334806047138;,307458668187297;,599698056392218;,386360766468845
12;0;2314,215062;-,927726436167787;-,834561270416762;1,05468965485492;1,13476142075985;0;0;0;1;1;1;985,0361401;4;293,4408534;4;-1,0087386565561;-1,12382325822945;,211159480106656;,110607658940809
13;0;1013,584361;-,461075734373731;-,616073259246414;,0446325521001411;,0745334242148868;0;0;0;1;1;1;992,0852918;4;375,0330675;4;-,706228273673231;-,737588964588164;-,425625530923925;-,549232632151226
14; ; ; ; ; ; ;1;0;0;0;0;0;1119,594495; ; ;0;,713533861036482;,757148623599271;-,372428504057857;-,103395301792403
15;0;1861,391246;-,61143483442858;-,725042437570839;,141698356162421;,145393448298425;0;1;1;1;1;1;725,3638433;4;319,8852752;4;1,77224694715585;1,39590676359849;-,542640557455976;-,246379421471456
16;0;1874,7343;-,247875270208835;,15026578306311;,537662484193205;,273283348295703;1;0;0;1;1;1;1232,760994;4;232,6978091;4;-,431008774592978;-,468153841559118;1,60382055107147;1,79830297536317
17; ; ; ; ; ; ;0;0;0;0;1;2;1947,061875;1;239,064433; ;,0739122221291325;-,16667231750611;,662781838103651;1,09029551269539
18; ; ; ; ; ; ;1;0;0;0;0;0;919,9990726; ; ;0;,367204152715362;,103441007950211;-,211457284533941;,414606351351191
19;0;1252,54341;,584876361303903;,33389715793175;-,460064688492568;-,0811977311321473;0;0;0;1;1;1;1721,344691;1;404,7608711;1;-1,05614032602945;-,971233251163232;-,714333309215145;-,702300027117952
20; ; ; ; ; ; ;1;0;0;0;0;0;2743,496694; ; ;0;,712417538316099;1,2436673548999;-,443440745944006;-,254123639903996
21; ; ; ; ; ; ;0;0;0;0;0;0;1125,058566; ; ;0;1,73247813855578;1,40551834244959;-,24420228745744;-,30223070927795
22;2;2095,478914;-1,07016853658357;-1,0007853373567;1,2775659733121;1,41350539356816;1;1;1;1;1;1;1212,540148;4;323,4659799;4;,328790448416217;,648072842860639;-,712900863431788;-,600475070650745
23;0;1135,646635;-,276880029207835;-,0133778937085904;,0152490798111026;-,0759575744155818;0;0;0;1;0;3;1857,064434; ; ; ;-,727449704173453;-,600309000764218;-,268848475079584;-,225552464731083
24; ; ; ; ; ; ;0;0;0;0;0;0;1169,518769; ; ;0;-,437536812215619;-,466972797341755;,330456807988726;,346476904750362
25;2;2998,46249;2,44275883889944;2,09355680546396;-,717485630238853;-,508429754637347;1;0;0;1;1;1;812,5667047;4;226,3642211;4;,207656627933392;,143692999194796;-,010565143371175;,197226158642087
26;0;1168,825457;-,516201828704941;-,514149282834419;,141387505523708;,145758755064254;0;1;1;1;1;1;778,8877455;4;259,8308526;4;-,352264289753518;-,398653904054283;,56820897361968;1,10620750355066
27;0;2013,959946;,549103411356981;,339531286214389;-,263972495854564;,0711697554230261;1;0;0;1;1;1;1825,439794;4;352,7078674;4;-1,45097898432899;-1,44973617595891;1,0390328137068;1,08377997310955
28;0;853,1835405;-,21944643581393;-,195035862530979;-,176745509352441;-,0565222418365484;0;0;0;1;0;3;1205,14428; ; ; ;-1,16709103594633;-1,36583891858168;,12102158560743;,31616897961708
29;1;2866,23376;2,27631949991501;2,25380109207938;-,634723980856332;-,454617831458598;1;0;0;1;1;1;1056,994385;4;362,6686669;4;-1,27030041955047;-1,41449808170737;,31938731219249;,474768753731975
30;0;1413,292553;,0928895377051773;,0576337468357631;-,367399610562632;-,323662472274218;0;0;0;1;1;1;924,2866811;4;287,8609967;4;-1,07583479211424;-,859618299096719;,174860178273924;,177618355016716
31;2;1677,234907;,146635110608574;,381168124529754;,745729246470275;,794076602046716;1;0;1;1;1;1;872,1031375;4;290,0500248;4;,181260623568119;,156006861040664;,783359225321676;,494299711249588
32; ; ; ; ; ; ;0;0;0;0;0;0;1005,614287; ; ;0;,174208375302776;,0650632309662316;-,0716603861065658;-,0101145262417822
33; ; ; ; ; ; ;1;0;0;0;0;0;1767,678639; ; ;0;1,34569039404408;1,71152058201005;-,599935331464363;-,572277741407475
34; ; ; ; ; ; ;0;0;0;0;0;0;1278,480089; ; ;0;,479677056437759;,669083607183085;,0370528752663227;-,138369226247614
35;2;1606,374089;-,42683169023306;-,61149495979517;,426274357062441;,751617549801866;1;1;1;1;1;1;800,5150225;4;269,9667744;4;-1,7870312923823;-2,11111074854838;2,05431636998405;2,32404468698705
36; ; ; ; ; ; ;0;0;0;0;0;0;1156,64536; ; ;0;-1,30943348160803;-1,00309372074357;,950277624894441;,736840358100166
37; ; ; ; ; ; ;1;0;0;0;0;0;1987,805702; ; ;0;,0612812592994135;,00209760718967926;-,182592583693828;-,0328485956845697
38; ; ; ; ; ; ;0;0;0;0;0;0;889,4713516; ; ;0;-,444323672411356;-,293425107886355;-,696410057604092;-1,04130718127376
39;2;1776,120597;-,429384763021998;-,45724207950809;,891829764564754;,742144077127048;1;1;1;1;1;1;1580,384752;4;477,4580937;4;-,133044011771388;-,285762512481787;1,33916920837918;1,54305655151715
40; ; ; ; ; ; ;0;0;0;0;0;0;901,7426414; ; ;0;,0211599277350151;,239941503010852;-,795495424034268;-,739091140151131
41; ; ; ; ; ; ;1;0;0;0;1;2;2020,953521;1;464,1811972; ;,498193551115516;,557863820037954;,459016536235546;,668343060718006
42;0;1167,549559;1,13431096737609;1,18079345847229;-,0750370469055188;-,196316127056522;0;0;0;1;1;1;821,8420899;4;689,595605;4;-1,6009292973833;-1,58711645510731;1,05018850836865;,950419160781358
43; ; ; ; ; ; ;1;0;0;0;0;0;1445,307445; ; ;0;-,282818251657083;-,167429527679524;-,0848162343011863;-,198375267568325
44;0;891,7578309;,990845141762147;,937692310923702;,0986107245576784;,102489896911936;0;0;0;1;1;1;1012,796865;4;234,4182408;4;-1,84026903928409;-1,84571690001877;1,58606785614976;1,31351141225749
45; ; ; ; ; ; ;1;0;0;0;0;0;1389,67951; ; ;0;1,59921541898821;1,16185678088663;-,333473165681791;,00885827930287331
46; ; ; ; ; ; ;0;0;0;0;0;0;1659,711923; ; ;0;-,671954454442386;-,786684281298438;-,146599838384771;,181625567998115
47;0;2139,872047;,320234064881398;,335015443949596;-,00650417271762221;,141890163191609;1;1;1;1;1;1;790,3518381;4;248,2798404;4;-,434419509598302;-,444719932536041;,221280472520786;,347196322547741
48; ; ; ; ; ; ;1;0;0;0;0;0;891,1937078; ; ;0;,666256614597838;1,29146667238742;,073762166184788;-,621082081369177
49; ; ; ; ; ; ;0;0;0;0;0;0;1294,008878; ; ;0;,04490325328776;-,072626094150673;-,645756537539648;-,46203369213871
