Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1,-.315976724611882,-.484516205411743,.275366002761672,.517996174863594,1,0,0,1,0,3,1046.041634, , , ,.173052976935203,-.0510188116835643,-.265261450138003,-.123977507494504
2,-1.0545039417073,-1.1610542307547,.196265877233726,.0938085272983276,1,0,0,1,0,3,1106.248634, , , ,.635141865121387,.694151023484955,-.436481566492832,-.632687335417702
3,.113455876758788,.184735475800383,.299817298338608,.151163560822102,1,0,0,1,0,3,2986.298642, , , ,-.39975846276634,-.688021202572932,-1.03855700485572,-.75010910705043
4,-.173895798805175,-.369195835176634,-.113116041994427,-.0728883623497387,1,0,0,1,1,1,2842.315996,4,469.1164,4,-.976919164034266,-1.05361320758117,.551548809678421,.429081323583089
5,.076494160826734,-.0137798125273938,.263838176417451,.294910269954457,1,0,0,1,0,3,944.3247253, , , ,-1.00995171392836,-.96932858481045,-.211199152128722,-.276523525471249
6,1.1765642162761,1.30675735905559,-.767086307382122,-.81708172483849,1,0,0,1,1,1,1345.771111,2,131.4208601,2,-.0943338405054666,-.03707561940139,-.174972366687832,-.316053171180143
7,-.659735935892133,-.512251750529822,.0671582801137088,-.00828008158695448,1,0,0,1,0,3,2834.67481, , , ,1.96714832470127,1.36556374994614,.671836153841239,.783659463236152
8,-1.50579569541787,-1.43639138362995,.329896975424692,.172401665793607,1,0,0,1,0,3,1374.106424, , , ,.0370207602269932,.120889948346069,2.76960798232883,2.23306415936697
9, , , , ,1,0,0,0,1,2,3097.124371,2,254.1298116, ,.673310612699351,.465549461553419,.215689166496606,.113529836568984
10,-.693720595289752,-.736297355999062,.134639001569363,.32908294192681,1,0,0,1,1,1,1301.183205,2,223.4480032,2,.0840664966843779,.373013321614208,-.49618177585159,-.536055608464745
11, , , , ,1,0,0,0,0,0,826.3017087, , ,0,.316394350412975,.11202723337468,.754019660407642,.890692757952837
12, , , , ,1,0,0,0,0,0,877.2366345, , ,0,-.157494101037229,-.13340187756777,.0551859745412647,-.0216388927590722
13, , , , ,1,0,0,0,0,0,4404.980031, , ,0,-.805381961112013,-1.05791521083353,.615855721380447,.685517484989176
14, , , , ,1,0,0,0,0,0,3241.416848, , ,0,-.76479701474661,-.714512295580452,.539171520142786,.407036577122048
15,1.00798990857574,1.24135903755929,.663262754333582,.714695098189704,1,0,0,1,0,3,741.460628, , , ,1.39362501704305,1.17268741104657,-.990441209653587,-.527769498836052
16,1.22753297982809,1.2656604631724,1.54202307437531,1.49989687957782,1,1,0,1,1,1,1045.367402,4,317.6785942,4,.428881430230788,.284140616703325,.110150583312896,.249907151661923
17, , , , ,1,0,0,0,1,2,1694.85498,2,1187.864726, ,-.424953640758673,-.516791516362697,.417067611793322,.49296462223168
18, , , , ,1,0,0,0,0,0,1310.467194, , ,0,2.189719450144,2.49616651638979,.209044781218476,-.248739609383603
19,-.849850750995562,-.689144144262647,.741160488054653,.622072958199119,1,1,1,1,1,1,953.4380829,4,219.9163927,4,-.230856380535973,-.401877233440623,-.208419071037256,-.209318415712091
20,-1.40587589436438,-1.33171382831217,.556511547229886,.557870496921032,1,0,0,1,1,1,2615.08664,2,167.269064,2,.117892593812393,.00565597921813579,.116922712421482,-.00849291644480702
21,-1.11784666594131,-1.09577072093334,-.256211999984711,-.143745353777472,1,0,0,1,0,3,997.1359495, , , ,.644596614669491,.0196586331346002,-.123995540696911,.0580917728660057
22,-.271544527039489,-.395520674466954,-.616469538266416,-.722894091663001,1,0,0,1,1,1,1465.0219,2,157.1848423,2,-1.04551610815492,-.934782123233086,.151995538151883,-.181549084553609
23, , , , ,1,0,0,0,0,0,824.2945506, , ,0,-.269273791396589,-.172828400348013,-.00152695463446617,-.277482479064282
24, , , , ,1,0,0,0,0,0,3544.089114, , ,0,.744030898731077,.673376788150019,.246681973113248,.118502236084506
25, , , , ,1,0,0,0,0,0,1535.098277, , ,0,-1.23634534424095,-1.29836757856345,.276658161823181,.249399670921473
26, , , , ,1,0,0,0,1,2,2150.486938,2,508.2239107, ,.089578461695888,.139675023456784,-.227458659843941,-.485780609686337
27,1.09529254701667,.975639351771692,.0519163462711818,.0809609871973167,1,0,0,1,1,1,1684.175475,2,196.7551732,2,.0979570920979701,.0262031526319196,.0358783156262649,-.152701216581967
28, , , , ,1,0,0,0,0,0,2981.300953, , ,0,-.44318454074219,-.746145062283101,.130627758826971,.253794503206259
29,-.691190417820804,-.635856180974284,.227748874383113,.104319479301864,1,0,0,1,0,3,1007.42063, , , ,.0800921493983564,.553925904900134,-.0392585154804952,-.402581068248273
30,1.70397296473197,1.86482053497566,.0623693681422457,-.151382603659673,1,0,0,1,1,1,2143.545276,4,256.3226752,4,.448066996753576,.129816078806615,-.44689366358595,-.0684905468815674
31,-.608414570668592,-.371810358467408,-.00480755653885401,-.00318232954457393,1,0,0,1,1,1,1438.819473,2,654.9344068,2,-.927529005987539,-.996558647562354,.296301281581758,.550356692470287
32, , , , ,1,0,0,0,0,0,1912.189988, , ,0,-.99771813777009,-1.08856638629711,.00268408818263555,.037554344736717
33, , , , ,1,0,0,0,0,0,2975.675907, , ,0,-.75462378612539,-.313496489409667,.369905917906464,.0427926629932839
34, , , , ,1,0,0,0,0,0,5984.063763, , ,0,-.846581402242049,-1.54051636089314,-.149161171992555,.624228961492663
35, , , , ,1,0,0,0,1,2,2293.471459,2,222.6355821, ,.551631095372594,.305855332395431,-.0839914618921006,.0427562808073439
36, , , , ,1,0,0,0,0,0,1308.551766, , ,0,-1.16335222095341,-.441698203760284,-.233801066384308,-.219621359263585
37,-.451830364909837,.00783433784250541,1.39612494758002,.889374430577636,1,0,0,1,1,1,1781.358429,2,165.4283672,2,-.277759052708899,-.300816015417932,-.1945549200894,-.163217698455346
38,-.540240161632048,-.27119725011753,.613666742753256,.429181955425274,1,1,0,1,1,1,994.2759576,4,136.5853313,4,-.093912861671886,-.179666862263898,.573180401195438,.679674674211685
39, , , , ,1,0,0,0,0,0,1430.247195, , ,0,.902094908019248,.979335192086414,.278983568713435,.306537626817311
40,-1.11116368527073,-1.31668486638725,.0127282074624544,.217057155225391,1,1,1,1,1,1,1625.034229,4,188.4086924,4,1.56393779098117,1.83685896569822,-.401175092436545,-.776355838011977
41,-1.10307742671912,-1.27062890187102,-.248207996877478,.0707211498915399,1,0,0,1,0,3,2480.144544, , , ,-.282039643969095,-.218170701288156,-.0973448377231177,-.384843123150632
42, , , , ,1,0,0,0,0,0,2292.392186, , ,0,-1.25395607885058,-1.04706737917995,-.198527134757216,-.434744202810985
43, , , , ,1,0,0,0,0,0,3399.170883, , ,0,.402202536438086,.385014614721824,-.21671692852484,-.100401390217658
44, , , , ,1,0,0,0,1,2,2555.564683,2,149.4637943, ,-.623052545780413,-.714157769609969,-.261420178227947,-.183684467772447
45,-.0855106787162764,-.224229044322669,-.405420634231251,-.347040454124711,1,1,0,1,1,1,1761.615601,4,145.5812999,4,.225942761455616,.0900999142920473,-.489263135872351,-.220225137933781
46,-.670942417633665,-.55856632550199,-.659379383409738,-.816783328158566,1,0,0,1,0,3,1555.27121, , , ,-.75408188783961,-.678842794457349,.0381248156429497,.126389630394945
47, , , , ,1,0,0,0,0,0,892.7813656, , ,0,1.18646163160464,1.20349377322435,.862405335773617,1.15388579922077
48, , , , ,1,0,0,0,0,0,1026.084186, , ,0,-.152294138069045,-.280143561202343,-.16633185077023,-.166264826733297
49, , , , ,1,0,0,0,0,0,1739.142357, , ,0,-.705121665622922,-.459929739189644,.362588173663228,.33550946668686
50, , , , ,1,0,0,0,1,2,1474.557345,2,397.9424691, ,-.425233866790753,-.197443273108788,.591918419243494,.777777997057048
51, , , , ,1,0,0,0,0,0,888.4825576, , ,0,.14681537516448,.018000999839065,.0690034211504403,.0574472311886553
52, , , , ,1,0,0,0,0,0,1103.679227, , ,0,-.287545637649633,-.428348131930838,-.327301019803268,-.425495861829915
53,1.73833270895593,1.90547068840091,.139779966842749,.050781999551619,1,1,0,1,1,1,2463.635364,2,769.5140149,2,-.634874501535581,-.565994709833714,.539171520142786,.654785907212569
54,1.06283290355775,.801525741597256,.525671513470691,.44119910019415,1,1,1,1,1,1,902.8553239,4,400.3133405,4,-.960464521753329,-1.20060909905165,.509495071517207,.484546687281686
55,.0369556138249734,.133378630893795,.830596768208578,.502998339808031,1,1,0,1,0,3,2778.208493, , , ,-1.40871160610795,-1.43071418576367,.778441000752375,.651189381441935
56, , , , ,1,0,0,0,1,2,2322.512709,2,169.2271498, ,2.03456507790752,1.77868860006341,-1.08927569424944,-.843625960458734
57,-1.18813229805012,-1.35132957348852,.654028392568387,.819066489040965,1,0,0,1,1,1,2114.399145,2,446.5017125,2,-.248620663656331,-.409486078794478,.345265342511214,.146032164227927
58, , , , ,1,0,0,0,0,0,1128.4175, , ,0,-.0901189338859708,-.133169734111886,-.0927944833168904,-.0971225392029327
59, , , , ,1,0,0,0,0,0,1255.542648, , ,0,1.04856931090134,1.06269815952564,-1.12582215915919,-1.19603206758377
60, , , , ,1,0,0,0,1,2,1486.117588,2,120.0572274, ,-1.18476711991634,-.862402729373076,-.0955101593385794,-.242795689789864
61,-.12517151214534,.0970901843671149,.275620446269603,-.0125929082674736,1,0,0,1,0,3,1267.086534, , , ,-.979978729377567,-.6197092479051,.113275907474922,-.0823034381870423
62,-1.00053998324084,-.996827497241789,.651929732145803,.50362709588228,1,0,0,1,0,3,1614.95995, , , ,-.788909249214667,-.708397844507242,.163822167122595,.0777731348047264
63, , , , ,1,0,0,0,0,0,1379.681435, , ,0,-.615002765105475,-.801589558313813,.959669235056324,1.31071280465293
64, , , , ,1,0,0,0,1,2,1615.621947,2,109.0188197, ,-.485375406253957,-.518556292791717,.30557262596427,.233235081735638
65, , , , ,1,0,0,0,1,2,2108.74844,2,155.7524408, ,-.190714961118789,-.383853626745005,-.2350686946451,-.0108332366170484
66, , , , ,1,0,0,0,0,0,3047.938412, , ,0,-1.199445722294,-1.09867981516714,.354512480602436,.303902776884411
67, , , , ,1,0,0,0,1,2,6079.414359,2,185.868473, ,.766470626776503,.621064821519234,.483698281929366,.327154546110311
68,.428103831718053,.3328724417261,-.0450151144881908,-.144640543817248,1,0,0,1,1,1,1592.199008,2,109.0672506,2,-.551951054840325,-.524712254817167,.281128556103583,.400153986446124
69, , , , ,1,0,0,0,0,0,1476.765924, , ,0,.208472779647487,.0861939580697758,-.356849298074752,-.335273863984957
70,-.673337147804211,-.809284899721461,-.0965157965804674,.172715976963127,1,0,0,1,0,3,2565.487896, , , ,-.641132882918688,-.683957616923911,.522102775216858,.364143529213372
71,-.601749137826141,-.809535552932598,-.887718851883459,-.759758301688282,1,0,0,1,1,1,1184.702602,2,454.4075037,2,.541340999273763,.71611592680813,-.257154728557003,-.306749108290212
72,-1.22814847499888,-1.38104022044039,.813097480464721,1.03570645728909,1,0,0,1,0,3,2657.761363, , , ,-1.20453009281801,-1.42046736992103,.570178679875648,.60136544033638
73, , , , ,1,0,0,0,0,0,1679.623286, , ,0,.0763613471112961,.309375535939903,-.300909518267053,-.301548184145288
74, , , , ,1,0,0,0,1,2,1946.018526,2,610.7211195, ,-.505087196318722,-.650773537319617,.00136487565091947,.252787114213286
75,.139709663306776,.275060216395441,-.0707067799840088,-.109039262216339,1,0,0,1,0,3,1354.108932, , , ,-.750286680482772,-.729451376743848,-.196879900456013,-.182899499405312
76, , , , ,1,0,0,0,0,0,1950.933465, , ,0,.654469031220551,.555479826810224,-.259206746338245,-.282291172007064
77,-.582146842877341,-.429969292321409,.19363342882894,.227717589756206,1,0,1,1,1,1,2883.296276,4,187.3537957,4,.41321137818731,.378837196021737,.0161332567175095,-.0627937296454223
78, , , , ,1,0,0,0,0,0,1270.035049, , ,0,2.84847860241669,2.51472376112759,-1.33054796198979,-1.27698345230512
79, , , , ,1,0,0,0,0,0,813.0967377, , ,0,-.671690133328725,-.381966881842415,.122036334818354,.0302595608956994
80, , , , ,1,0,0,0,0,0,1914.027157, , ,0,1.77109600715822,1.55747155565815,-.912452768533282,-.553892284587048
81, , , , ,1,0,0,0,0,0,1374.22285, , ,0,.632860390166147,.734675810129984,-.75145617493763,-.783582050919814
82, , , , ,1,0,0,0,0,0,1739.014063, , ,0,-.626427394701695,.104257749814982,.223900218626144,-.384369507091519
83, , , , ,1,0,0,0,0,0,1968.846822, , ,0,-.830161336192787,-.881914372816113,-.619941895492012,-.61110080131889
84,-1.39815841438839,-1.20713520375459,-.167711722273688,-.290055782253044,1,0,0,1,0,3,1307.426307, , , ,-.927402328466188,-.980317394005263,.550965325337653,.456230795252041
85,-.77635496307764,-.683221112259788,.250993166223986,.254291945508404,1,1,1,1,1,1,1962.008437,2,529.0120137,2,-.690640761490307,-.760651905981639,.270651002864572,.117079957916873
86,.338091698939434,.329163228900972,.59944971174763,.54699237490753,1,0,0,1,0,3,1750.539988, , , ,.500941896853404,.253341008029697,1.59669985549707,1.53831082226531
