Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;3;1448,225929; ; ; ; ;1;0;0;1;1;1;1567,65418;4;68,36761273;4;-,810190203280614;-1,42410210404517;1,16334622797606;1,5261093202761
2; ; ; ; ; ; ;0;0;0;0;0;0;1078,142343; ; ;0;-,00619841790617179;,0286192236910383;-,261680009926952;,150585744255334
3; ; ; ; ; ; ;1;0;0;0;0;0;911,852281; ; ;0;,506956810474235;,397764836439465;-,904946329594152;-,565849494392212
4;0;1246,680985; ; ; ; ;0;0;0;1;1;1;1549,099163;3;543,7493825;3;,0866469616605192;-,0759486399962534;1,33892330984557;1,46545394392822
5;3;1492,13012; ; ; ; ;1;1;1;1;1;1;1297,689942;4;133,0410313;4;,912779499964012;1,10236977027869;-,371563746685965;-,471207055925506
6; ; ; ; ; ; ;0;0;0;0;0;0;960,3058115; ; ;0;-,596436267595154;-,212799199855463;,756794624809607;,616178418237869
7; ; ; ; ; ; ;1;0;0;0;0;0;1015,981656; ; ;0;-,332715600577508;-,577293227564385;,325423812156314;,550370172748462
8;1;1793,173503; ; ; ; ;0;0;0;1;1;1;1138,61793;3;178,9380892;3;-,00638064632534718;-,309647288371207;-,319810875641911;,0124318457307969
9; ; ; ; ; ; ;1;0;0;0;0;0;1868,739021; ; ;0;-,0580194265330417;-,251648281864991;1,62481672289525;1,38208996185837
10;1;2009,55068; ; ; ; ;0;1;0;1;1;1;973,8335726;4;175,1983432;4;-1,6338626579253;-1,89330402356246;,709597464244769;,623396909307387
11;3;1054,130464; ; ; ; ;1;1;1;1;0;3;3560,273491; ; ; ;,0936627557985325;,0524803469485412;-,204824743146161;-,190086931496746
12; ; ; ; ; ; ;0;0;0;0;0;0;1011,374179; ; ;0;,844443842775561;,921105438977971;-,209380453625391;-,624399477511458
13; ; ; ; ; ; ;0;0;0;0;0;0;1064,395616; ; ;0;,502583328414177;,247780633106591;-,566001469939477;-,285531424526758
14;3;1098,000988; ; ; ; ;1;0;0;1;1;1;1805,611159;4;536,5891329;4;-,627415098853935;-,89113684674732;1,75795755972512;1,66606784156799
15; ; ; ; ; ; ;0;0;0;0;0;0;950,2791497; ; ;0;-2,55448063156797;-3,54313026022408;1,24862912814718;1,61774405413048
16;1;1811,985507; ; ; ; ;1;1;1;1;1;1;1058,041128;4;177,7941594;4;-1,78620561635074;-1,62722242219516;,502464361539392;,206796255311443
17;1;1738,124927; ; ; ; ;0;0;0;1;1;1;1964,683165;4;238,9373065;4;-,000731565331102291;-,218614095439225;,753332284845395;1,24478868220654
18; ; ; ; ; ; ;1;0;0;0;0;0;848,3000163; ; ;0;,222680476570313;-,169889280720119;-1,18922266349808;-,837144450420793
19; ; ; ; ; ; ;0;0;0;0;0;0;980,3116391; ; ;0;,150335794160149;,61311648667944;,0960343769021521;,0393006736006002
20;2;1832,740559; ; ; ; ;1;1;1;1;1;1;1852,370815;4;171,5298121;4;,393428505331845;,517671993649435;-,326917783989516;-,363330717164663
21; ; ; ; ; ; ;0;0;0;0;0;0;1231,72624; ; ;0;-,728797667965186;-1,22599462691565;,834208920351304;1,29812531066448
22; ; ; ; ; ; ;1;0;0;0;0;0;1582,044087; ; ;0;,144504484746733;-,0393549005467219;-1,05150593345334;-1,28795188173029
23; ; ; ; ; ; ;0;0;0;0;0;0;1057,899019; ; ;0;-,211387617890677;-,409216633440931;-,626136848265313;-,446830326163006
24;1;1843,553564; ; ; ; ;0;0;0;1;1;1;1732,515132;4;122,4338567;4;,350240369988741;,449898383052497;-,174939282402415;-,22577835956259
25;3;1031,791009; ; ; ; ;1;0;0;1;1;1;2104,056877;3;598,8257878;3;-,678074599382945;-,632674763731184;,846466406625561;,831914150944774
26;0;2052,295843; ; ; ; ;0;1;1;1;1;1;1363,795999;4;285,2783349;4;-,474889912009304;-,57512734881602;,348785194289806;,187680767806902
27; ; ; ; ; ; ;1;0;0;0;0;0;2033,441182; ; ;0;,303407666262258;,418217227803042;1,15642154804763;1,23576556836966
28;0;2201,892043; ; ; ; ;0;1;1;1;1;1;1093,446174;4;283,8242031;4;3,00129941206197;2,55890085719047;-2,19749250676114;-1,40700421762942
29;1;2074,860815; ; ; ; ;1;1;1;1;1;1;3101,267305;4;340,3053388;4;-,570186697691016;-,830982754501513;,554876858826385;,91273809300968
30; ; ; ; ; ; ;0;0;0;0;0;0;1159,245237; ; ;0;,0399053721436228;,356057999149041;-,437530434425194;-,793898888886685
31; ; ; ; ; ; ;1;0;0;0;0;0;1652,228321; ; ;0;-,185875639206981;-,417924654413663;,0353523133188109;,255454378403857
32;2;1476,59984; ; ; ; ;0;0;0;1;0;3;1409,486211; ; ; ;,484724943335592;,568401944776738;1,19323168871981;,72726297525178
33; ; ; ; ; ; ;1;0;0;0;0;0;1412,131687; ; ;0;,27347548028283;,399769972847658;,388151952957685;,498476911076916
34;1;1778,382332; ; ; ; ;0;1;1;1;1;1;1085,083191;4;66,66615341;4;-,623588302051351;-,121164466001017;-,871051843628703;-1,26546665141603
35; ; ; ; ; ; ;1;0;0;0;0;0;1307,760824; ; ;0;-,963444303801899;-1,20754737196027;,505683863194497;,67443198988809
36; ; ; ; ; ; ;0;0;0;0;0;0;1049,346812; ; ;0;,747133866939213;,524088430155658;-,373568259296811;-,0697787470051318
37; ; ; ; ; ; ;1;0;0;0;0;0;1250,253102; ; ;0;,0498280034841911;-,109133647551857;-1,04078879858063;-,622795368384907
38; ; ; ; ; ; ;0;0;0;0;0;0;1011,977902; ; ;0;-1,02266854003188;-,288593356085175;-,344593940648921;-,987329167394495
39;3;1722,719435; ; ; ; ;1;0;0;1;1;1;1894,360676;2;949,0113957;2;,111156684038774;,53892643957628;,226327696608122;,0437119736986283
40; ; ; ; ; ; ;0;0;0;0;0;0;809,3563582; ; ;0;-,380860047718009;-,258917337243914;,427143414532554;-,0683751515194008
41; ; ; ; ; ; ;1;0;0;0;0;0;1199,11886; ; ;0;-,77866468676435;-1,23822595900563;,664208009598142;1,10862387899894
42; ; ; ; ; ; ;0;0;0;0;0;0;1202,105075; ; ;0;2,16304868388375;1,82461990450997;-,41876090725076;-,360523526193183
43;3;887,8090249; ; ; ; ;1;1;1;1;1;1;1437,313863;4;122,3979285;4;,29702967159134;,404983327508962;-,57930414453882;-,291947861032977
44; ; ; ; ; ; ;0;0;0;0;0;0;1907,024422; ; ;0;,111885597715451;-,222022827333152;-,842044301014871;-,311160612816015
45; ; ; ; ; ; ;1;0;0;0;0;0;1256,614839; ; ;0;,678615981331608;,482381592865226;-1,03323513668925;-,912738093009685
46;0;1163,0657; ; ; ; ;0;1;0;1;1;1;861,9120117;4;542,0594715;4;-,31507558839794;-,408701026935965;,172388084534044;,273901633359232
47; ; ; ; ; ; ;1;0;0;0;0;0;2197,550641; ; ;0;1,29922313963592;,918699275288142;-1,27893010110537;-,885593558883767
48; ; ; ; ; ; ;1;0;0;0;0;0;1787,901418; ; ;0;,814922838870138;,876190383434451;-1,00681201590971;-1,07014130105289
49; ; ; ; ; ; ;0;0;0;0;0;0;1948,925104; ; ;0;,14650899735759;,0145832688336833;-1,60324563185045;-1,55658739368063
50;1;1668,260824; ; ; ; ;1;1;1;1;1;1;899,1647965;4;138,0552679;4;-,942305807178278;-,917203620053838;1,03341736510844;,685556137961357
51; ; ; ; ; ; ;0;0;0;0;0;0;1128,980818; ; ;0;-,566186350013068;-,0836684151678007;-,615385371534339;-,952439793891921
52; ; ; ; ; ; ;1;0;0;0;0;0;884,4618012; ; ;0;,127010556506493;,489800597575546;-,245097223782548;-,0617582013723594
53;3;1153,131672; ; ; ; ;0;1;1;1;1;1;977,8066059;4;127,0108593;4;,116987993452189;,106017489047309;-,172934769791554;-,0830126472992133
