Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1, , , , ,1, , ,0,1,2,5784.237462,1,183.6490238, ,.0747433542620978,-.0987386178011183,-.30969042766307,-.253772810159251
2, , , , ,1, , ,0,0,0,3682.551598, , ,0,1.96313801973615,1.85146384768199,-1.09688154391284,-.840570249176194
3,.206364359277638,.373836013593236,-.716894710363043,-.907253901960715,1, , ,1,1,1,2137.485268,3,3296.829879,3,.71937588744174,.539450499553713,-.754942974953025,-.292507218314369
4,.683398244654994,.833619538024628,.280153210940664,.474701743952187,1, , ,1,0,3,2384.116481, , , ,-.955092852156836,-.999031763650846,.0771274857007072,.458274735672056
5, , , , ,1, , ,0,0,0,1559.716215, , ,0,.903146113626222,.690726628219948,-.506687546020028,-.563799889400129
6, , , , ,1, , ,0,0,0,2046.623247, , ,0,-.0141679704608963,.144516554519282,.35787233187388,.259271471225678
7, , , , ,1, , ,0,1,2,5907.174941,1,277.1487065, ,-1.34293784706134,-1.46432048242245,.0680233837530164,.380148105567922
8, , , , ,1, , ,0,0,0,1302.945439, , ,0,-.362228725001897,-.548428651107412,-.0134983947549376,-.0896511411399893
9,-.282802465738703,-.162448482265729,.833078043083612,.783706036159563,1,1,1,1,1,1,1196.660309,4,441.9262347,4,1.08264497196747,1.11324852856173,-.143187134945039,-.0241503792480338
10,.0225076318365013,.28486781723049,.510705054795495,.383956890715193,1, , ,1,1,1,2513.687833,2,389.4024754,2,-1.17744360355467,-1.19037881946007,.719274305145094,.90887764130328
11,-.305204371555134,-.0920061104702218,1.33373485809467,1.144743128586,1, , ,1,0,3,1927.262876, , , ,.549833078890593,.0961384941835659,-.39915622826276,-.055886890368317
12, , , , ,1, , ,0,1,2,6250.006897,1,180.0535978, ,.0426906614305911,-.224790667653599,-.269764922645766,-.0183134710221095
13,1.49145285608412,1.57083323521435,-.211827590612929,-.371324429566045,1, , ,1,1,1,3080.533365,1,185.2292405,1,1.52979522356937,1.11058682207228,-1.2335168830904,-.807723252399772
14,.291008767137489,.183937007684389,.102589033735334,-.0861200584567932,1,1,1,1,1,1,1886.327372,4,118.1261697,4,1.41747187490537,1.43741595236292,.0931708818935397,.435359742878527
15, , , , ,1, , ,0,0,0,2588.109431, , ,0,1.98202947491839,1.80216591839266,-.670728041719071,-.201363493293065
16, , , , ,1, , ,0,0,0,1769.101342, , ,0,-1.26448681408906,-.837885504372988,-.215942344284493,-.164293430495615
17,-.0702576778080943,-.265056216973301,.093389963053327,.162146865467482,1, , ,1,1,1,1704.680085,1,444.6394854,1,.571671267799522,.481754340082056,-.14426448753556,-.191957166886685
18,1.85170021546204,1.7944373245713,-2.21206150808329,-1.96335320915469,1, , ,1,1,1,2309.844371,3,642.3992116,3,1.45698818116913,1.57365934068372,.0417469284617158,.0573241999447378
19,-.683133537859653,-.53555538672735,1.23987793300194,1.1159234014067,1,1,1,1,1,1,834.7637406,4,188.9831373,4,-.329532720911301,-.43754826860542,1.09075313221197,1.56548299978934
20, , , , ,1, , ,0,1,2,2321.866978,2,226.7752095, ,.567791670614874,.55640172286483,.109971941978717,.348165046643516
21, , , , ,1, , ,0,0,0,1289.47414, , ,0,.206815930827185,.137033231799943,-.262905519461488,-.271365837211103
22, , , , ,1, , ,0,1,2,4163.822854,1,134.9872678, ,-.435847657214066,-.409196889914923,.153060121971784,.0251511284053934
23, , , , ,1, , ,0,0,0,3193.385353, , ,0,2.3934628722703,2.38959314948956,-1.22412734835023,-.741500853749523
24, , , , ,1, , ,0,1,2,3725.292193,2,591.1178092, ,-.10724626188569,-.0950186936270058,-.124697158305953,.0414921097176764
25, , , , ,1, , ,0,0,0,4823.475745, , ,0,-.29035274001127,-.29553969687856,.0814350999680032,.215997941044786
26, , , , ,1, , ,0,1,2,1789.204355,1,2018.978319, ,1.88573853461349,1.475775071918,-.251561289571724,-.143240079491609
27, , , , ,1, , ,0,0,0,3185.671065, , ,0,1.11602304100746,1.26167489628523,-.047187462159642,-.431374176708123
28, , , , ,1, , ,0,0,0,1706.830989, , ,0,-.711269972749766,-.950108171004997,-.443804516338769,-.259821637058544
29, , , , ,1, , ,0,0,0,8753.278966, , ,0,.197335510827763,.158031724556455,.220775131089664,.353389758692243
30,1.13086628074417,1.11671511520075,-.0397390246367235,-.238308945635033,1, , ,1,1,1,1394.718625,3,794.8884513,3,-1.48686275538559,-1.6508898257766,.879972295055194,.9151445496141
31, , , , ,1, , ,0,0,0,2324.33739, , ,0,-.225020315628922,-.289692053560366,.829963564241224,1.01419426403827
32, , , , ,1, , ,0,0,0,2957.343773, , ,0,1.03615168528544,.750286112933338,-.912776325057518,-.628229527640941
33, , , , ,1, , ,0,1,2,3604.570182,2,190.012235, ,.143956476307529,.159911502613736,-.134640492969031,.150980723290238
34,-.382941734449948,-.0419732116193828,.482731176336538,.359509369021264,1,1,1,1,1,1,1490.170321,4,176.9496236,4,-.256971764444502,-.192420189695249,-.0813715447726514,.256991470868299
35, , , , ,1, , ,0,1,2,2286.727186,2,121.3141911, ,-.317576553867634,-.315080849714069,.294310551496043,.352861615213367
36, , , , ,1, , ,0,0,0,3338.654936, , ,0,1.76857027334029,1.05872738048803,-1.45895921013245,-.987602844086378
37, , , , ,1, , ,0,1,2,1939.033662,2,178.7524693, ,-.0729870611413227,-.508621917685826,.276137764296985,.317162269170996
38, , , , ,1, , ,0,0,0,4788.875865, , ,0,-.646493981003819,-.753683785747387,.411378709666614,.541090057296032
39, , , , ,1, , ,0,1,2,4566.354665,2,934.5279823, ,-.434177857582979,-.0654085418724491,.119449046368821,-.152426978776888
40, , , , ,1, , ,0,0,0,3099.986078, , ,0,.162946753400049,-.244298715887983,2.17532698850454,1.92918852236056
41,1.0881366017316,.801849949910907,-.353715595423603,-.0832810650946161,1, , ,1,0,3,2108.11781, , , ,-.153776500211422,-.592120476654675,.553512176754173,.394928538444499
42,-.0709577133959615,-.168206973797214,-.257001074534763,-.388021281557482,1,1, ,1,1,1,894.5128435,4,185.0891728,4,.893032814965881,.807111441212317,.395750786480752,.547772682907078
43, , , , ,1, , ,0,1,2,7449.667243,3,1057.835097, ,-.0851819839475109,.0334437661327213,.110329334197407,.583450475804125
44, , , , ,1, , ,0,0,0,1922.888249, , ,0,-.351369940977972,-.414996821711909,.284693328573019,.273703105356336
45, , , , ,1, , ,0,1,2,3917.953199,2,321.9211919, ,1.55098186606003,1.32567990198729,-.446975859995533,-.118842242603766
46,-1.00478692331165,-1.11304694734764,1.19008298219891,1.09443463524932,1,1, ,1,1,1,2592.669476,2,536.8826296,2,1.03100810173949,.815603185468639,-1.11500664486926,-.434074052414546
47, , , , ,1, , ,0,0,0,1942.29354, , ,0,.39008746091978,.139866699765749,1.3056694725456,.993930286389733
48, , , , ,1, , ,0,0,0,2862.257137, , ,0,-.284741205654866,.0652888209637564,.557019870148055,-.101326746773879
49,-.293897044684755,-.296640541226416,.501791865934471,.245969938521237,1, , ,1,1,1,2362.946158,2,81.84117379,2,-1.19238993306369,-1.02375169918331,.867439612452166,.514381993160831
50,2.34793621105857,2.32199116982733,-.932453366936218,-.917135631232422,1, , ,1,1,1,11269.45742,1,333.7811576,1,-2.76051635110547,-2.91162800811692,-.398321570657777,-.358863399562515
51, , , , ,1, , ,0,1,2,3508.606824,2,280.226055, ,.986163784580013,.332788235774875,-.645926164343942,-.291638462572864
52,-.861471474845568,-.73251863020028,.0614224788080493,.47009928829449,1, , ,1,1,1,2579.908729,2,129.9027297,2,-.73102192133052,-.848125589612499,.685844403044314,.776733724783417
53, , , , ,1, , ,0,1,2,5084.189043,1,233.9708735, ,-.614940570649348,-.674914875802897,.703064605332077,.331686917081795
54,.877329397126464,.729097443587398,-.0264757427539901,-.132660965481459,1, , ,1,1,1,1100.789379,4,139.4202793,4,.793390656992772,.490671623396043,.652154628496122,.984153712409177
55, , , , ,1, , ,0,0,0,2652.773848, , ,0,1.42191415375709,1.34958516329511,-1.17707261757989,-.72067596752977
56,.0352787056400405,-.0764189447343995,.0615111800554387,.0510499592229191,1, , ,1,1,1,5163.440792,4,2538.757332,4,-.565772794915036,-.527939534718167,.25550211134953,.297868990848762
57,-.989893525391044,-1.10394331762159,.121551231713886,.193535766613146,1, , ,1,1,1,5953.544645,1,188.7938526,1,.243670060624505,.172932099607321,-.505302424328457,.0866878699995891
58, , , , ,1, , ,0,1,2,2743.139402,2,997.3037513, ,.678729545629661,.876342910050328,.0388592968075648,.448090826642377
