Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1,.560606545122412,.639903571950906,-.906943777798386,-1.033675269714,1,0,0,1,1,1,889.3614357,4,384.2834351,4,.237831672410056,-.0675997301854365,-.430823541894181,-.375010593331632
2, , , , ,1,0,0,0,0,0,2952.203878, , ,0,.600102887798819,.700613374499845,.786401160887378,.89990285044375
3,.259146231246197,.312940339464911,-.579512240248694,-.483161501511857,1,0,0,1,1,1,1294.143432,2,815.1961666,2,-.774109833751639,-.730782190362417,.0578747524854165,-.117211862823399
4,.796440513562415,1.01009482941203,-.41699883589066,-.601484253565612,1,1,1,1,1,1,10925.52373,4,901.6955327,4,2.29554233869426,2.15571165475365,-.49807832194146,-.411208202630211
5,-1.22913195481581,-1.37831720795687,1.11434380412245,1.19852517642917,1,0,0,1,1,1,1213.746968,2,930.1984069,2,.535925979320836,1.11051353144466,-.0592022563372527,.00883496720015842
6,-.906983562482098,-.980125451341189,2.69348054073434,2.44251499923908,1,0,0,1,1,1,6946.642694,2,1000.746132,2,.77684675942671,.691499812917967,1.14302136145964,1.94046687165537
7,-.357762835210797,-.258129080421439,.270646006175877,.263687056233254,1,0,0,1,0,3,1969.02246, , , ,.372467357551845,.264698404387805,-.0649219152746703,-.13227012246351
8,.980587848772323,.921285777328946,-.717379426393685,-.555899456023729,1,0,0,1,0,3,10527.285, , , ,.364522040131967,.352302140530517,.261899501411784,.0929178860890054
9, , , , ,1,0,0,0,1,2,1899.388823,2,1087.926413, ,.434810688120951,.583370434313342,.0361962068884101,.386453420886202
10, , , , ,1,0,0,0,1,2,1057.052041,2,1525.340718, ,-.494988205078394,-.25904939848935,.148833441569802,-.151906493808427
11, , , , ,1,0,0,0,0,0,5020.554263, , ,0,-.979925278070824,-.924372054830814,.130010259242952,.0728993683500491
12, , , , ,1,0,0,0,1,2,1414.55515,4,380.3486862, ,-.555814822664978,-.738144095827766,.715809122870248,.606896659696358
13, , , , ,1,0,0,0,0,0,8157.74832, , ,0,.423281177136611,.495245057507945,-.327197801698604,-.321753516680455
14, , , , ,1,0,0,0,0,0,2048.414389, , ,0,-1.31163134951328,-1.29112796761664,.520204719255326,.712996017260108
15,-.545435228042897,-.637169797671924,-.479621776400318,-.57439318307429,1,0,0,1,0,3,3944.77186, , , ,-.610115148192154,-.363015366306001,-.29619374258793,-.16761230192656
16,-.0248930905151631,-.00915350328526071,-.450196300797708,-.605080744807619,1,0,0,1,0,3,3275.738827, , , ,.667132184289434,.396184089532009,.119979394097615,.592608142900809
17, , , , ,1,0,0,0,1,2,2714.571732,2,2153.081338, ,-.282074831178037,-.541825280090997,2.0705780837418,2.00288751012258
