Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;1;2263,838332;,246175342636359;-,137411924368773;,12373369199033;,214162735169281;1;0;0;1;1;1;1466,292974;3;321,6653296;3;,250513815771514;-,0744744686638307;-,606939810289421;-,118038278811408
2; ; ; ; ; ; ;0;0;0;0;0;0;955,4478092; ; ;0;-,864979807068688;-1,28318353256056;-,819327613036355;-,25602667884635
3; ; ; ; ; ; ;1;0;0;0;0;0;2047,459878; ; ;0;,454407040861818;,216721124113795;-,876146843911859;-,501447674938632
4; ; ; ; ; ; ;0;0;0;0;1;2;1712,324443;2;222,4296726; ;,785561366078509;,731911706898719;-,299322636251728;-,573280060821876
5; ; ;,250393467753365;1,61458050760679;-,155165740994456;-,400816617136259;1;0;0;1;1;1;2040,195235;2;456,5567496;2;,744005037256963;1,43284803335046;-1,62724048201861;-1,93831339166224
6;0;2069,811239;-,301556066207644;-,0282993046239709;,0999557428877714;-,125359136895254;0;0;0;1;1;1;1726,52305;2;215,988677;2;,851955760440105;,634322283869782;-,74132412822723;-,775156156347864
7; ; ; ; ; ; ;1;0;0;0;0;0;3032,730775; ; ;0;1,70792934930387;1,20158555723692;-1,00181639122043;-,828737241896111
8; ; ; ; ; ; ;0;0;0;0;0;0;4095,946635; ; ;0;-,00960416887320848;-,681609907569533;-,536317014984293;,166681892226169
9; ; ; ; ; ; ;1;0;0;0;0;0;1194,149526; ; ;0;,563412006245645;-,0890312374237083;,97294128883268;1,22985651749472
10; ; ; ; ; ; ;0;0;0;0;0;0;1171,135524; ; ;0;-,394022826229288;-,183190474986171;-1,22483658195174;-1,32344017843287
11; ; ; ; ; ; ;1;0;0;0;0;0;2541,393661; ; ;0;,219428333814484;,38694772603849;-,840997425952331;-1,09015931595333
12;0;1674,096552;2,00772401891577;1,78577702412841;-1,80316678472437;-1,78243841658091;0;0;0;1;0;3;1187,652081; ; ; ;-,521181534138166;-1,04262353596939;-,358885219426232;-,137089938962841
13;0;1013,999664;1,13402933374115;1,83174355388809;-,606282442037482;-,754763495550361;0;0;0;1;1;1;1149,75791;2;457,9535495;2;-1,02994907801676;-1,42787012243854;,0426448674446019;-,245202661185369
14; ; ; ; ; ; ;1;0;0;0;0;0;1355,205205; ; ;0;1,03680651832133;,428262762561639;-,862562478355644;-,475087387277946
15; ; ; ; ; ; ;0;0;0;0;0;0;2853,408289; ; ;0;,127667663126833;,883597091415437;1,13590232646016;-,10581621298168
16;0;2153,730667;-,25172250726708;-,383732886241479;,305339751463656;,234283394921915;1;0;0;1;1;1;3059,617008;1;139,405875;1;,333925200223947;,0641349482552405;-,24289024552367;-,421196851209426
17; ; ; ; ; ; ;0;0;0;0;0;0;1073,842878; ; ;0;,112205214775942;,064878901076804;-,835101902659101;-1,00443838629215
18;2;2039,872615;,44246966458082;,247977440966451;-,562306213470247;-,395101367725837;1;0;0;1;1;1;1488,907662;3;322,6304205;3;,998925374238995;,710170205026081;,277526649820019;,495846331692248
19; ; ; ; ; ; ;0;0;0;0;0;0;1462,625372; ; ;0;,580790811166248;,346062556724121;-1,14861888806806;-1,11312780744399
20;3;1057,079233;-,442581984953327;,453463409164777;-,418652846765655;-,811087155480722;1;0;0;1;1;1;1418,843794;2;223,1606271;2;,632499415337705;,0498992167781165;-,920940953824995;-,511898195829919
21;0;1665,672375;-,024911271966849;-,0596042453321772;-,410660309804075;-,481695637510865;0;1;0;1;1;1;1239,515855;4;490,8734451;4;1,12615778104759;1,50974654809099;-,90116669404637;-,823056987759513
22; ; ; ; ; ; ;1;0;0;0;1;2;3085,357256;3;424,3816002; ;-,336890951155656;-,586110736492056;-,0844358036771441;-,178152417648737
23; ; ; ; ; ; ;0;0;0;0;0;0;3093,943326; ; ;0;1,14784739886499;,750332744907848;-2,01278197442012;-1,62573612476043
24;0;2009,226124;-,436952028168728;-,447670636967378;,802273896533949;,689137662435505;0;0;0;1;1;1;1033,981962;2;356,88778;2;,266622199194339;,417317705213761;,0576000957964264;-,490571936656723
25;3;1128,331445;-,215999021199506;,803477950507112;,0721621151463581;-,790369502341359;1;0;0;1;1;1;2839,941598;1;560,7814359;1;-,802727327020298;-,682101253468338;-,13064799609785;,151413226062534
26; ; ;,707892455717388;,499177298332904;-1,10972827292009;-1,09693934097984;0;0;0;1;1;1;1199,878491;3;269,2813241;3;,678529048541198;,106615733029697;-,490144444517381;-,212054968009459
27;3;1056,553224;,350579246747372;,0825239610340491;-1,23983446133558;-1,02708281162581;1;0;0;1;1;1;1506,83449;3;509,3205051;3;,336276741879507;,223057269610347;-,0442871193215768;-,378707991684968
28;0;1391,644627;-,892318885630714;-1,04697388390714;-,453736201995376;-,171947829256381;0;0;0;1;1;1;2518,765823;2;628,5023363;2;,355188982093498;2,78397167413445;,504680802070941;-1,35590188729163
29;3;2539,298816;-,921412387395047;-1,21233217175656;,896182162049577;1,00641930149399;1;0;0;1;1;1;2404,311302;3;482,2668484;3;,807807815006408;,616927013546835;,821590182813592;,933849429238865
30; ; ; ; ; ; ;0;0;0;0;1;2;2251,869596;1;1543,343087; ;-,00207337039014219;-,532743922087649;-1,48955973113646;-1,31454903426252
31; ; ; ; ; ; ;1;0;0;0;1;2;2117,950964;3;253,2192478; ;1,57031271782006;,908294171012734;-,95047557890017;-,525989432822328
32; ; ; ; ; ; ;0;0;0;0;0;0;1539,696653; ; ;0;,560988889447747;,466588246440757;-1,40285241078929;-1,15667073058413
33; ; ; ; ; ; ;1;0;0;0;0;0;1739,236335; ; ;0;,426616500700328;,25808210466904;,0927300703451481;,354711840172924
34; ; ; ; ; ; ;0;0;0;0;0;0;1260,954408; ; ;0;,943162373762575;1,45758526747379;-,106268210288602;-,43546767882218
35;1;1856,684854;-,281760232345619;-,103843661349934;-,550840066971609;-,394090805359635;1;0;0;1;1;1;1478,835307;3;221,1409603;3;-,140462914001276;-,431674809569352;-,906415673376798;-,638000088876839
36; ; ; ; ; ; ;0;0;0;0;0;0;1651,748551; ; ;0;1,09826570720881;1,46018570640739;-1,30529801340021;-1,06968789136538
37;1;2459,944127;1,9153788560287;2,55996746429989;-1,94083405290487;-2,70358391568332;1;0;0;1;1;1;1324,770363;4;443,85437;4;2,99063741613339;2,89911248987494;-1,39877759817203;-1,26315905587655
38;0;1547,767254;-,921141959411588;-1,0277856502344;-,422078941853283;-,443621615897405;0;0;0;1;1;1;1311,680856;3;864,6028944;3;2,07254617192513;2,6160741626;-,900091338534286;-1,64971953083374
39;3;1790,507035;-1,40550324595612;-1,27723108136255;,092886704852881;-,196592135736153;1;1;1;1;1;1;1414,732295;4;347,1015208;4;,554217085703222;,197839033712401;-,530130238618461;,144145370523283
40; ; ; ; ; ; ;0;0;0;0;0;0;1340,221119; ; ;0;,526055249490855;1,19241992434266;-,179447828733912;,195438557461528
41; ; ; ; ; ; ;1;0;0;0;0;0;1762,408459; ; ;0;-,492647407775722;-,533496826555143;-,837099124419336;-,73833624631
42;0;1684,976618;,629402629041823;,697907440219811;-,45699043630847;-,909611363024475;0;0;0;1;1;1;2127,510464;3;1008,586824;3;-,356004247932673;1,71461163203605;,524180803436423;-,461063475252892
43;1;1470,655485;-,414481231898363;-,206277974074524;-,461708520042303;-,242633774860885;1;0;0;1;1;1;4391,103123;3;1617,360652;3;,848510212615895;2,2268685473154;-,201346839991713;-,79711857915846
44; ; ; ; ; ; ;0;0;0;0;1;2;2603,495288;2;636,7044865; ;-,239454318152191;,182130003404874;-,766890371430649;-1,39600790392338
45; ; ;,444771588013848;,480851416568051;,504930999364824;,130050058149182;1;0;0;1;0;3;6281,538524; ; ; ;1,31898257009571;1,23983406471138;-1,19650823412351;-,933769631709435
46; ; ; ; ; ; ;0;0;0;0;0;0;1581,782828; ; ;0;-,551056700320247;-,995892107796901;-,781239696320598;-,73349778222229
47;1;1302,177398;,733730206750029;,076079416850534;-1,69153512409845;-1,09192990781955;1;1;1;1;1;1;1112,351256;4;329,6163444;4;,277234705194731;-,303624157412508;-,481931835997878;-,076373993757727
48; ; ; ; ; ; ;1;0;0;0;1;2;2112,756344;1;2673,754804; ;,508432852987744;,0730235063945357;-,238861276173318;-,110460582651298
49; ; ; ; ; ; ;0;0;0;0;0;0;1835,017999; ; ;0;,941956034384422;1,30822941382512;-,881195873744278;-,834006095436536
50; ; ; ; ; ; ;1;0;0;0;0;0;1529,106953; ; ;0;,0843978513972356;-,392121095282495;-,307862580980899;-,127267823615814
51;0;1321,417173;-,796784513904272;,0816591992000134;-,853236681857777;-1,62523411386515;0;0;0;1;1;1;2228,31291;2;748,1197254;2;-,481451365545435;-,69477058899739;-1,3795646429503;-1,14712938432214
52; ; ; ; ; ; ;1;0;0;0;0;0;1818,253193; ; ;0;,547590496910941;,621240623214775;-1,0241762439262;-,848982871634375
