Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;2;2669,171613;,773154524208297;,79881270359603;-,628848954381342;-,638711399294203;1;0;0;1;1;1;1594,464037;4;738,3472565;4;,282495489900577;,341681460063351;-1,49291955894788;-1,58320665775694
2; ; ;,864010960386879;1,34374363775591;-1,42926061664469;-1,77783843154647;0;0;0;1;1;1;1028,497075;4;720,6895247;4;-,633116864909085;-,637822897296918;-,865028902659694;-,645936254145658
3;2;2288,768572;,692934846347825;,717139708465464;-,531597787829588;-,732503120027418;1;0;0;1;1;1;1165,748141;4;820,840238;4;,0334771292471043;,125251337809406;,174010807114973;,0182004328467261
4; ; ; ; ; ; ;0;0;0;0;0;0;5199,746026; ; ;0;-,839241353751965;-1,07166402157223;-,216071012882756;-,189655916782536
5;3;2388,734542;-,137909704643346;,0829566143238563;-,411170388919965;-,381904247467196;1;1;1;1;1;1;2113,179392;4;237,090778;4;,749210400268716;1,300863876579;-1,52526006700063;-2,03997859479376
6; ; ; ; ; ; ;0;0;0;0;0;0;1207,121642; ; ;0;-,648172858715375;-,835321011356318;-,244669075988683;-,134478610612685
7; ; ; ; ; ; ;1;0;0;0;0;0;2310,013034; ; ;0;-,274788988919804;,0163833653505087;-,595409213644796;-,944723970394243
8; ; ; ; ; ; ;0;0;0;0;0;0;1902,314887; ; ;0;-,242965784205204;-,274757724466881;-,995456813352863;-,732082912253591
9; ; ; ; ; ; ;1;0;0;0;0;0;1597,277843; ; ;0;1,9560692488583;1,7090683980743;-1,00775745505812;-,798506323188644
10;0;2195,611138;-,285567345684912;-,15293289556985;-1,19754899459521;-,970822062081092;0;0;0;1;1;1;1352,940496;4;343,957998;4;-,276557077420627;-,32388763814769;-,399096160611043;-,651339140800417
11;3;2769,168053;-,146918581719638;,162723340492765;,273867026247985;,295421261011866;1;1;1;1;1;1;3673,596039;4;322,2897987;4;,177046811126508;,46010347980654;-,493447453180496;-,463422424898528
12;0;1108,739443;,581117552963228;,426967407134992;-,728859129148279;-,81841829113885;0;0;0;1;1;1;2325,461224;4;778,3027898;4;-1,11347792561452;-,919729315734546;,0406361817662764;-,322469820787527
13;0;1712,915204;,709129055619031;,710803991091444;-1,34375530436279;-1,47189999817372;0;0;0;1;1;1;1944,982874;3;187,4131325;3;1,44677915548913;1,60915481105546;-1,50338050046315;-1,97056655325941
14;2;2409,211788;,260488124040017;,311492663744097;-,156036068745562;-,323825949605433;1;1;1;1;1;1;1119,284257;4;255,9984131;4;1,16779061254818;1,05107537072328;-1,42589583179833;-1,91931787783925
15; ; ; ; ; ; ;0;0;0;0;0;0;1208,522208; ; ;0;-,426902121774706;-,615330218611492;,189221347401511;-,28224246938465
16;0;1215,027717;,843905755503574;1,50538470098549;-,83189103823637;-1,46043528210646;1;0;0;1;1;1;1188,053961;4;475,3277503;4;,955763141193391;1,34851664644596;-1,37028485843298;-1,40720295657138
17;0;1662,075379;1,54069751177743;1,32271343983373;-1,36354368870554;-1,32858660433333;0;0;0;1;1;1;2307,192493;3;535,8507212;3;,375389919340607;,293426532282414;-1,43659989481176;-1,56352719013445
18; ; ; ; ; ; ;1;0;0;0;0;0;1809,980159; ; ;0;-,0362056630395097;-,376081999333841;-1,4423678694684;-1,35588535122545
19;0;1816,625099;1,61972551443328;1,47698714952339;-,845704647049525;-,607287276531134;0;0;0;1;1;1;2308,155338;2;1755,085442;2;-,183598462412396;-,171921950789899;-,881791784773871;-,926207671268311
