Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1; ; ; ; ; ; ;1;0;0;0;0;0;2768,84869; ; ;0;,38033393425673;-,00904586543152284;-1,46649140971406;-1,00293626978518
2; ; ; ; ; ; ;0;0;0;0;0;0;1059,280817; ; ;0;-,775148981880043;-,771712134657557;,474235432688515;,477918956849572
3; ; ; ; ; ; ;1;0;0;0;0;0;1007,640926; ; ;0;-,521938255678559;-,374754784164485;-,132264225587319;-,174982778495287
4;0;2007,87381;2,18996597902049;1,87719951149778;-1,50759724530771;-1,44602697098834;0;0;0;1;1;1;3242,288334;4;641,8937041;4;-1,21240561192307;-1,2100966612452;,539239378821855;,507772678740279
5;3;873,1362444;-,391040822388396;-,652783642141216;,0477783169548426;-,0690694135202173;1;1;1;1;1;1;1474,652766;4;1172,854513;4;-1,19707440152363;-1,13533331614728;,492192855023589;,524420760110932
6;0;1699,30489;,513015763411375;,753646349116711;-1,19274033539882;-1,00922686575443;0;0;0;1;1;1;1368,503389;4;512,9909082;4;-,00723246654507595;,165338515569948;,631376510662908;,652316975226494
7;3;1541,477777;,0901802092349893;,536417282455069;,48802783742398;,0311416059960695;1;0;0;1;1;1;1441,324147;4;892,096327;4;,525061781046187;,573825970542025;-,168869077559665;-,170841957436293
8;0;2011,8092;,230862251172104;,356340331325501;-,781776638176954;-,717811080400119;0;0;0;1;1;1;1729,041912;2;841,9981988;2;1,2058098131708;1,47854118477632;-,38407746864511;-,436449872177902
9;2;2470,529137;1,91025742726932;2,13543129273749;-,653436351030686;-,901033556346754;1;1;1;1;0;3;8747,04913; ; ; ;-,329748078925931;-,580027207361661;,295427573404769;,203910135034991
10; ; ; ; ; ; ;0;0;0;0;0;0;2700,473288; ; ;0;-,222691790836899;-,0865266140554963;-,338010569907812;-,331241473437085
11; ; ; ; ; ; ;1;0;0;0;0;0;3151,857105; ; ;0;,353678414134589;,437629666617042;-,55257734626614;-,538682358423596
12; ; ; ; ; ; ;0;0;0;0;1;2;1810,800528;4;479,6417628; ;-1,03579257155203;-,983193075651121;,219277144373394;,217738519894277
13;0;1259,766052;,291525476621947;,0907518045626679;-1,96797138277753;-1,55895241320168;0;1;1;1;1;1;953,6747617;4;635,6365297;4;,487734109245128;,109108388415115;-,0570369053539247;-,0948067706101083
14; ; ; ; ; ; ;1;0;0;0;0;0;2247,141982; ; ;0;-,360195397906346;-,819748933229626;-,801666677500447;-,341737179694091
15; ; ; ; ; ; ;0;0;0;0;0;0;1757,259335; ; ;0;-1,01096151506527;-1,00512803643183;,300238866722753;,276822580797142
16; ; ;-,331599193614019;-,220024197042387;,311505568705374;,0535668835549128;1;0;0;1;0;3;3313,10804; ; ; ;,313885789802042;-,0255639882140165;-1,0283256960945;-,870998812803827
17; ; ; ; ; ; ;0;0;0;0;0;0;2088,60188; ; ;0;,399821088562619;,475489194942934;-1,63570114194856;-1,45298339586006
18; ; ; ; ; ; ;1;0;0;0;0;0;2348,632715; ; ;0;,412103124117188;,179764981187278;-1,08108753054772;-,758757382371265
19; ; ; ; ; ; ;0;0;0;0;1;2;1300,764321;4;716,595559; ;-,72792939561054;-,502646157023546;,118712888197679;-,331723393250722
20; ; ; ; ; ; ;1;0;0;0;0;0;4874,266475; ; ;0;-,268286094767836;-,422892578372139;,401432698497154;,330272330386024
21;0;1588,339392;,488406542439992;,364863288465984;-,980254323896033;-,894467759477874;0;0;0;1;1;1;4854,164553;4;533,5780992;4;,142812843554963;-,158231670651874;-,0586817807838621;,0110488764162968
