Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;2;1790,233159;1,75675294626983;1,84484601602132;-,582694622011794;-1,1258575065876;1;0;0;1;1;1;792,9561954;4;186,5209774;4;-,41568149814255;-,568282818879387;,564318902833939;,468947431685449
2; ; ; ; ; ; ;0;0;0;0;0;0;1445,857333; ; ;0;-1,0656925985417;-,763608558830531;,139501789469768;-,358229914667793
3; ; ; ; ; ; ;1;0;0;0;0;0;900,4222646; ; ;0;1,53825338803664;1,81410343059777;-,912450316909252;-1,02327222138038
4;0;1070,348149;,759543690193861;,188227289110049;-1,03147789442787;-,641499892067693;0;0;0;1;1;1;1739,020615;4;201,5796147;4;,0269033417124024;,330838097103883;1,03600712145914;,454353096092431
5;3;2029,011853;2,65884278896515;2,44123611815697;-,476194123115362;-,11295664180982;1;1;1;1;1;1;1554,516546;4;209,7577858;4;,28533231227586;,164069016156417;,399793189524659;,930075493859414
6;0;1498,82157;,878490820926007;,737149881101443;-,848437575397601;-,948361296423832;0;1;1;1;1;1;1797,926348;4;253,425268;4;1,55400869172221;1,85785338538273;-,455889587827694;-1,20419260265879
7; ; ; ; ; ; ;1;0;0;0;0;0;1225,655473; ; ;0;-1,01716848531333;-,916638268890331;,274407187235204;,229693843332459
8;0;914,4373764;-,0547757050172933;,199065097386097;,542794947504471;,523212253470016;0;1;1;1;1;1;758,1465276;4;186,5562586;4;-1,999520591132;-1,76072118244313;,369480526751037;,335456958797215
9; ; ; ; ; ; ;1;0;0;0;0;0;1545,066008; ; ;0;,732320344954117;,771352534382297;,313363408650904;,243753475508147
10;0;937,465491;-,0272971879473021;-,217274768449412;-1,32211212129774;-,957167604770805;0;0;0;1;1;1;1561,486819;4;408,2027209;4;-1,86614690686951;-1,78433439125322;-,365551265485127;-,441168610170642
11; ; ; ; ; ; ;1;0;0;0;0;0;1438,167004; ; ;0;-,855832584052514;-1,03172405883519;-,0864138156194698;,0457999041108923
12;0;1178,505364;-,389059517444185;-,59219326463968;-,450367063528146;-,0599392886073581;0;0;0;1;1;1;849,238614;4;277,8237885;4;,362099110480692;,484693513267482;,552891520051783;,62354826597519
13; ; ; ; ; ; ;0;0;0;0;1;2;755,675564;1;1263,387703; ;,700656341017508;,730929417836573;,489894078023591;,336498096610981
14;2;1753,037549;-1,37954751272137;-1,03134027240638;,70765968132482;,743149066751615;1;1;1;1;1;1;645,0720382;4;182,7795716;4;,994154769319072;1,01698647703511;-,222662246609924;-,319551494800005
15; ; ; ; ; ; ;0;0;0;0;0;0;958,2679589; ; ;0;,76352215728152;,878205508015378;,73903912809984;,582748548015793
16; ; ; ; ; ; ;1;0;0;0;0;0;1977,665536; ; ;0;,225704289619427;,462536604344592;-,0244581189454319;-,282418272148832
17;0;890,6423849;-,988257171196963;-1,05685799342389;-,209149985224567;,0676333333256228;0;0;0;1;1;1;796,9917178;4;168,6943734;4;-,281883193883611;-,0277940491167112;,262969508901696;,155614428775101
18; ; ; ; ; ; ;1;0;0;0;0;0;1260,880817; ; ;0;,574051374046534;,428032202720192;-1,04362064593673;-1,06634378563599
19; ; ; ; ; ; ;0;0;0;0;1;2;950,0035094;3;412,957658; ;-1,04035914324056;-,963080080990194;-,343995426558077;-,375117636429421
20;3;1528,532194;1,67205136771605;1,52565791106669;,075680059188362;,105951512036237;1;1;1;1;1;1;1120,27035;4;209,7327682;4;,778852554983092;,990411024487423;-,25999216414461;-,2316694421647
21; ; ; ; ; ; ;0;0;0;0;0;0;1050,669297; ; ;0;,650573488463884;,942232366382872;-,155735300066645;-,113655582001088
22; ; ; ; ; ; ;1;0;0;0;0;0;1413,454481; ; ;0;,562696775092698;,56271165677299;-1,00319076648821;-,915174454233435
23; ; ; ; ; ; ;0;0;0;0;0;0;1094,664252; ; ;0;1,92248400802702;1,64593438988875;-,632877944505867;-,819178730797973
24; ; ; ; ; ; ;0;0;0;0;0;0;1061,255599; ; ;0;-,370461827917397;-,496601158264386;-,474784391204162;-,382184858666264
25;2;2448,624335;-,782370695227946;-,771826299622939;,418987779205517;,460443536678206;1;0;0;1;0;3;4653,239625; ; ; ;,458453924404075;,948258450805948;,0823581906002994;-,078811985112012
26; ; ; ; ; ; ;0;0;0;0;0;0;1460,43358; ; ;0;-,589068199269056;-,329456168609709;-,958042378656804;-1,04524186865613
27;2;1457,995242;-,300980988954554;-,301003548257678;,174767906192355;,234219606105518;1;1;1;1;1;1;714,4174638;4;203,3542566;4;-,343826378602878;-,243971111238255;,856763484933662;,904469253104426
28; ; ; ; ; ; ;0;0;0;0;0;0;769,3328981; ; ;0;,220859410493362;-,00474147073726881;,311723341619643;,312666916167219
29; ; ; ; ; ; ;1;0;0;0;0;0;2059,699989; ; ;0;-,283329826094127;-,0588328403071331;,298532419936727;-,0697241171317344
30;0;1012,587346;,539371649255741;,560097920669991;-,657871959869534;-,712936396533483;0;0;0;1;1;1;1397,603621;3;297,1652369;3;1,18557541558543;1,27424680496154;-,301577397496597;-,350026653831765
31; ; ; ; ; ; ;1;0;0;0;0;0;1665,122638; ; ;0;-,709834087187936;-,903158662926258;-,0423652286123509;,0766144893094827
32;0;1476,406059;,435690847830504;,600430386681673;-,225266920615035;-,293493749587824;0;0;0;1;1;1;1511,330171;4;295,4836089;4;,134712349749591;,424784333017725;-,189616172149414;-,53734487200169
33; ; ; ; ; ; ;1;0;0;0;0;0;964,9710571; ; ;0;,437120290803824;,161914699056742;-,228168689657205;,0151902340786957
34;0;1568,028114;,0186232014032248;-,241361792220121;,216989333289946;-,0491395940076082;0;0;0;1;1;1;1862,877345;3;463,4279878;3;1,37585697348951;1,05631142293496;-,141352057341167;-,261498536968714
35;1;1942,880135;-,055841649374698;,520676904293625;-,0448317568570611;-,653519224308945;1;0;0;1;1;1;1153,662999;4;248,9840124;4;,01551045617697;,199366566680857;-,169199664833809;-,173295068534615
36;0;1180,235087;-,741083064046139;-,822017503236761;,531937679305468;,966929213972059;0;0;0;1;1;1;886,7597987;4;189,7389392;4;,325603490090074;,099594669413877;,523411102461647;,886930964523041
