Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1,-.152754412628985,-.141967630502629,.0126129591096358,-.127662795173043,1,0,0,1,1,1,3282.625143,2,622.7589085,2,-1.34409441420276,-1.55356023530715,.022986788379908,-.00376032725331066
2,-1.19862357633993,-1.07018263580159,1.25382380809296,1.52475463374375,1,0,0,1,0,3,4224.988785, , , ,-.290846476355189,-.344541570462791,.186748428457983,.253467900459545
3,.00997467802008562,.00623467117389596,-.782256337233111,-.800745214969314,1,0,0,1,1,1,1960.883912,3,777.5634671,3,1.34195073626752,1.53481361974509,1.10315016990961,.433306063526683
4, , , , ,1,0,0,0,1,2,1919.900424,3,1231.072161, ,.185058497322173,.18520129337305,.106349646797697,.312172795336072
5, , , , ,1,0,0,0,1,2,2693.238769,3,1667.660172, ,-.676688542588068,-.743775414958519,1.39606253784751,1.12184967965322
6, , , , ,1,0,0,0,1,2,2389.968975,2,484.3092569, ,-.0530615572373027,.329726870377699,-.10119720285452,.0665206429038789
7, , , , ,1,0,0,0,0,0,2604.995976, , ,0,-.492940524828843,-.457579822751047,-.548258301161699,-.531893846447105
8, , , , ,1,0,0,0,0,0,1870.400786, , ,0,.673875670466055,1.05643068658476,.614477155464353,.567564828613241
9,.784348057766505,.999343677733997,-1.12099259271504,-1.4027772959775,1,0,0,1,1,1,1227.730426,4,509.4574284,4,2.56724391849396,1.82435334841402,.503682234923249,.494701494014389
10, , , , ,1,0,0,0,1,2,4513.531081,2,468.4332068, ,.827771691977963,.646934714934999,-.598948510747355,-.335939489050474
11,-.936348424857556,-.798749757319922,.25558008876101,.23712368268244,1,0,0,1,1,1,1297.913928,3,417.0482901,3,-.290303022971396,-.19492633527087,.507643072844904,.599195982578226
12, , , , ,1,0,0,0,1,2,3193.277097,2,1259.020026, ,-.695953561054276,-.833586397309626,.079245831430415,.0727645244016042
13, , , , ,1,0,0,0,0,0,2051.923192, , ,0,.591469429426803,.651043998842001,-1.21481902997353,-1.20779489259892
14,.0804855825657283,-.253427496747156,-.325186002733363,-.323093554353356,1,1,1,1,1,1,1286.269652,4,964.4084666,4,-.525178516798671,-.758728529209701,-.323591536195182,-.380540400640773
15,.189171139665532,.184293702005776,-.444938892962292,-.699629632864712,1,0,0,1,1,1,2398.067207,3,498.5085057,3,-.695872986752853,-.660534988995474,-.678109105233459,-.77326932205974
16,-.889170428411206,-.854055122868162,-.269077091924811,-.416410534504648,1,1,1,1,1,1,1600.96017,4,646.9958724,4,-.820130727128471,-1.12132488509291,.323326821892182,.425255342220838
17, , , , ,1,0,0,0,1,2,1892.109398,3,825.6416084, ,-.103211730581556,-.226357256360364,1.36661172050407,1.50613553750022
