Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,filter_$
23,.834529904877994,.630292341340863,-.423215861835845,-.292041037561957,1,0,0,1,0,3,884.6775319, , , ,.309800245935252,-.0543448313125863,-.306466689907943,.057551337368512,1
24, , , , ,1,0,0,0,1,2,1215.799481,2,1418.634806, ,5.03383499782641,3.73959610849722,-1.80315739320585,-.306511924956868,1
25,-1.39885380078834,-1.27949111364071,.90220881415821,.728538596137983,1,0,0,1,1,1,816.3100262,4,289.483958,4,-1.21522187104204,-1.45625944002369,1.39890163027561,.952294785519602,1
26,.224432038834749,-.147725456876772,-.343287866190219,.787401784818943,1,0,0,1,1,1,1222.304024,4,483.2179284,4,-1.19968528934691,-.758149727881688,1.08420969123495,.61448042502839,1
27, , , , ,1,0,0,0,0,0,1494.663786, , ,0,.229984865462206,.282570289532243,.0234571919710848,.0992161076509251,1
28,-.271524049254136,-.0598572187008785,-.290673394236433,-.36597547745106,1,0,0,1,1,1,1036.354392,1,581.7924893,1,-1.06320708151514,-1.28120745552778,.614761212956482,.368388508468221,1
29,-.796231214913382,-.586213558065225,.252434461067846,.0142181615171399,1,0,0,1,1,1,778.6278765,4,234.9499645,4,.328687855054828,-.260870203431884,.798891811680516,.673020045577473,1
30,-.304782553824243,-.235024968591982,.670382383529508,.297728302168806,1,0,0,1,0,3,959.1497088, , , ,.807884776749865,.344596193938428,.572111773009064,.452638919873693,1
31,.33656124135919,.120144706106053,.237771411506962,.0375359464052346,1,0,0,1,1,1,1129.746879,3,743.517516,3,.546809276500247,-.0759265828257776,1.81991253032811,1.80027777205878,1
32, , , , ,1,0,0,0,0,0,957.4190361, , ,0,-.250735250516656,-.676318920060831,.524588111353357,.866567272564425,1
33, , , , ,1,0,0,0,0,0,918.9442095, , ,0,-.108773543263073,.0184935800444372,-.413699567490054,-.211021570351212,1
34, , , , ,1,0,0,0,0,0,1559.537226, , ,0,-.807310441830579,-.694903206086086,.966009814809231,.930113540908829,1
35, , , , ,1,0,0,0,1,2,781.6446042,4,372.0737825, ,-1.38521035311822,.0742464381201831,.130233111268032,.563823258282141,1
36,1.47344519713215,1.42202519689885,-.0013564610956287,-.214606348402343,1,0,0,1,1,1,1038.526153,2,378.9746526,2,.411244985238777,.547546238666434,.342718713863266,.250887861340855,1
37,-1.71022797087544,-1.44243124462707,.52585720876206,.410620504614848,1,0,0,1,0,3,1211.532792, , , ,.105460478069919,-.224301124478974,.240287152963879,.144777583067663,1
38, , , , ,1,0,0,0,0,0,1145.732585, , ,0,.48405367200617,.554140662739907,-.0149273039815979,-.185842860252484,1
39, , , , ,1,0,0,0,0,0,1905.779228, , ,0,-.61469921334752,-.917814722872792,.0605317148687519,-.221347454666719,1
40,.035824969973119,-.0632695774649888,-.0948785559822206,.0287206862646124,1,0,0,1,1,1,821.7484125,4,588.3632712,4,-.647779476372068,-1.08407241925608,.00735020027862587,.126531287116409,1
41, , , , ,1,0,0,0,0,0,2569.269092, , ,0,.0161283880115366,.204636186845719,-.0410246993780014,.01478749640719,1
42,.206606370741116,1.06546287150863,1.69865076102206,1.24374667380527,1,0,0,1,1,1,967.1739992,2,1966.276744,2,.788692528773531,.533158404324305,.41705059491447,-.138183158994184,1
43, , , , ,1,0,0,0,0,0,1059.841176, , ,0,.535793238230895,-.52985836978506,.775345376763728,1.74473860089552,1
44, , , , ,1,0,0,0,1,2,1856.936725,2,638.0654961, ,.60804168671048,.427347872599909,1.25297961788406,1.6722859957236,1
