Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;1;1696,397643;,767191881177768;,531506077407767;-,34783266063361;-,276243268950923;1;1;1;1;1;1;1540,093237;4;845,0748231;4;-2,3373016466242;-2,83911915097296;,326689011854289;,608245356926912
2; ; ; ; ; ; ;0;0;0;0;1;2;2164,48821;2;849,1595245; ;1,35625951623836;,805475647265368;-,84847974055556;-,507650150886542
3;2;1631,549772;-,579074069240067;-,353394591416782;-,307107531461537;-,414574496194942;1;1;1;1;1;1;1075,203189;4;1154,267903;4;1,19595397786336;,896112944020928;-,226251134256306;-,0300769504928642
4;0;1433,856602;,382806748049553;,454795124117905;,0298762218106626;,279177567710631;0;0;0;1;1;1;2119,369184;3;495,1990764;3;-,588216399122973;-,904632860864918;-,121262278201143;-,0880053970114997
5;1;1464,92039;,575249674014304;,399672225988853;-,632908564838132;-,582039118267599;1;1;1;1;1;1;1316,688378;4;582,465121;4;-1,37972297094707;-1,21862183184994;,369538454339387;,3682394208993
6; ; ; ; ; ; ;0;0;0;0;0;0;2462,311984; ; ;0;-1,22625510956435;-1,42651859100003;-,305720135744599;-,150994420379796
7;0;836,7514472;,215733574683786;,244363984492165;-,363188037206696;-,584344638721647;1;1;1;1;1;1;1357,83906;4;842,3751815;4;,656689185737334;,72317047868689;,596245433728512;,0201190412080665
8;0;1720,114588;3,07951130556271;2,40526542825842;,0460661297192142;,438468071809811;0;0;0;1;1;1;1777,761489;1;543,2557874;1;-,442353429491615;-,312452086932749;,143591216838293;,137175280964141
9; ; ; ; ; ; ;1;0;0;0;0;0;1616,430055; ; ;0;,376648325808259;,33074756381022;,0806845885091366;,0121933583079224
10; ; ; ; ; ; ;0;0;0;0;0;0;1079,138172; ; ;0;-,0013992376770994;,264496983670499;-,672371570909449;-,603977681519147
11;1;2099,245126;,610133083837927;,505935759644479;,0542445368070772;-,0733574689930391;1;0;0;1;1;1;1429,905682;3;438,5599507;3;-,499334071094112;-,266726993278035;-,586672685939293;-,44952847628544
