Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,filter_$
1, , , , ,1, , ,0,1,2,1095.224992,4,164.4977063, ,.635518200790602,.13268413377889,-.176479333227033,.365795241510429,0
2,-.582550336399501,-.270916523518899,.325975199913346,.204889309157993,1, , ,1,1,1,802.3027201,4,238.8931793,4,-1.2341485626424,-1.35659200580526,3.28631434507731,3.6712421880872,0
3,-.0135274489934134,.381723379225562,.81085724312558,.433629346356198,1,1, ,1,1,1,624.867044,4,339.0236859,4,-.409629415421733,-.518048536286153,.95814813468342,1.2639364238511,0
4, , , , ,1, , ,0,1,2,947.6281381,4,829.9480437, ,-.762283978479902,-1.2200601705389,.26535795463126,.239075750152315,0
5,-.109238030692014,-.207693779451251,-.205846440087481,-.188823298637554,1, , ,1,1,1,730.4580424,4,179.2979645,4,-.0755006969758831,-.217077059298235,-.0352335265008248,.028086721258635,0
6,1.33533463888113,1.35997739126137,.783973112613447,1.06597542388711,1, , ,1,1,1,958.5148033,4,123.6448881,4,-1.05012817081501,-.605491718163989,-.0886204239204891,-.40120144220243,0
7,-.161718902895395,-.691693826389291,-1.3087819448892,-.499323071267762,1, , ,1,1,1,738.6550345,4,202.5380103,4,-.32724724617649,-.344593386870659,1.50450057924669,1.16236321695612,0
8,-.0280493205708305,.279564639915301,.0132094923124751,-.280390832793728,1, , ,1,1,1,719.3240915,4,200.132828,4,-.00247822505714947,.169933309187423,.10269583361402,-.157515332348002,0
9,-1.80044522759044,-1.74661801305703,1.73879951665728,1.69417676399167,1, , ,1,1,1,606.7513611,4,148.7682824,4,.182107962019394,.345923694089696,-.484076828992467,-.538313226698385,0
10, , , , ,1, , ,0,1,2,795.7902216,4,73.63672544, ,.126566155836153,.332779828502151,.60807754149992,.712585545398112,0
11,-1.25205591365399,-1.25198871154906,.490075103201739,.767810956125946,1,1,1,1,1,1,709.2415058,4,119.7761978,4,-.45686992098359,-.983743968036375,.279555288612228,.675076195964932,0
12,-.105346454743366,.00393706109271254,.654485308131968,.853296114969707,1,1, ,1,1,1,624.3747177,4,106.9895059,4,-.0858724902548974,.282484853327455,-.440553810961011,-.834304721076127,0
13, , , , ,1, , ,0,1,2,739.3773269,4,360.7578868, ,-1.69681739798635,-1.95385564760931,1.69514139596941,1.84334842189907,0
14,.0288447377948731,.000421696899430653,-.444127632121613,-.58227471654138,1,1, ,1,1,1,1057.452501,4,119.9413757,4,.0751514134132445,-.0507550600983102,-.985363348627025,-.810724365609062,0
15,-.73472756295441,-.560847687988421,1.48978884000626,1.42104892078513,1, , ,1,1,1,1403.71119,4,92.2598091,4,-.691390851348627,-.666349478689554,1.39869741367769,1.51268021787182,0
16,-.510646809804413,-.455701134119878,.327972987820809,-.0772986764251362,1, ,1,1,1,1,876.0977795,4,134.1104299,4,2.52447981717817,2.16670406047303,-1.48215280810214,-1.35733439027996,0
17,-.0134921220547093,-.254851142371693,.0684193659956067,.38294340240458,1,1,1,1,1,1,802.5602693,4,160.1222567,4,-.453821012634367,-.576982887500276,1.46655194151856,1.25284629665839,0
18,.240124262960063,-.466821844461512,.644408923809128,.453595897488554,1,1,1,1,1,1,758.3333322,4,131.9506089,4,1.14978078445538,1.05881714180277,-.184908307325425,-.438187022396068,0
19,.0926009478815372,-.566501662427656,-.413921448738072,.0772684665099492,1,1,1,1,1,1,794.6294862,4,170.0075911,4,-1.39500098339083,-1.47696708702484,-.143192709234577,-.0770033398478545,0
20,-.113356425396641,-.23162475257868,-.660519988808036,-.626147695245075,1, , ,1,1,1,838.3657006,4,116.6920222,4,-.480915269894898,.469686701206415,-.403920417962498,-1.40046407558846,0
21,-1.75445333822921,-1.67148212500655,.323848473198538,.636903316370758,1,1, ,1,1,1,1263.890846,4,145.2264198,4,-1.42271453183853,-1.53871241532748,.408005342486367,.0824032340652061,0
