Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;0;1324,810826;2,16040596820075;2,25378073118072;-1,14905853913272;-1,21202025228115;1;0;0;1;1;1;7307473747;4;7125626202;4;-,681126753068498;-,423787158119104;,0355390401042331;,119746285595256
2;0;1705,980117;-,478768206588083;-,559259671074862;-,538198994998097;-,511369142115615;0;0;0;1;1;1;1107063012;4;3132511778;4;,365678977791927;,209319586074196;,573818152891644;,390469082985319
3; ; ; ; ; ; ;1;0;0;0;1;2;1864133492;4;1919960196; ;-,346579893673164;-,199360223597026;,423875739891626;,579625284391968
4; ; ; ; ; ; ;0;0;0;0;0;0;4014889052; ; ;0;-,0078236601340549;-,188727980850915;,382541659951928;,48721610749797
5; ; ; ; ; ; ;1;0;0;0;0;0;1093841355; ; ;0;1,75929865861915;1,34406915979702;,243840695936755;-,155060835480773
6;0;1052,970099;1,73891555116157;1,56396385578338;-,692387607281995;-,311672997313524;0;0;0;1;1;1;1366154775;4;2208135723;4;-1,31378145061711;-1,31530083037783;,239327242144503;,230694234429092
7; ; ; ; ; ; ;1;0;0;0;1;2;5347250553;1;1991571083; ;-,285459776804566;-,0544928826397619;-,348644305870663;-,375796472143742
8;0;1262,021482;-,371259787861085;-,2360094922366;,195119583312166;,267332881277235;0;0;0;1;1;1;8829081371;4;145272698;4;-,891618943636042;-,867621674805285;-,224565357981832;-,268836768126622
9;3;2042,601964;1,40475474962902;1,38301308658859;-,40684115404491;-,529107291609166;1;0;0;1;1;1;143068989;3;3692623933;3;-1,57713593112423;-1,463080661442;1,47085562480815;1,47683734526866
10; ; ; ; ; ; ;0;0;0;0;0;0;1808349038; ; ;0;-,289549368512554;-,0290579543258953;,0814737763096328;-,0379615775042884
