Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1, , , , ,1,0,0,0,0,0,1399.870916, , ,0,.141544320440185,-.0881024281243525,.902466231248124,.811376345083748
2, , , , ,1,0,0,0,0,0,948.9975181, , ,0,-1.04177093887213,-.735177788425848,-.649589564485761,-.903006447690143
3,.867876055544161,1.51163183270865,.581249546161873,.56559735312389,1,0,0,1,0,3,1099.879127, , , ,-.569385294834568,-.219769810588733,.13086275949181,.322692372434052
4,1.82693439131177,1.65862824651328,-.0493604655503106,.254214326576399,1,0,0,1,1,1,1272.170554,3,457.4774763,3,-.644101348709037,-.229929400639017,-.257426435969333,-.00455809656334216
5,2.45791934800081,2.54094411653791,.316859049188015,.164726306856985,1,1,1,1,1,1,862.2879497,4,179.1998838,4,-.687920366689912,-.632942015562935,-.481734956316534,-.0796882069008859
6, , , , ,1,0,0,0,0,0,3258.791663, , ,0,.602650592290292,.707824114580013,-.467251617741802,-.575209202563438
7,2.77721774840132,2.82766257723401,-.653559691063631,-.79304322745915,1,1,1,1,1,1,814.5263007,4,245.3316257,4,-.665612883326835,-.305951566020677,.582298948879661,.577936790743784
8,2.38531696614274,2.47722494391102,-.197337124064174,-.118503360676443,1,0,0,1,0,3,1091.622402, , , ,-.522532049113808,-.706657427372164,-.465153701850502,-.48423957182972
9, , , , ,1,0,0,0,0,0,2122.591456, , ,0,.505849209472585,.553574908268522,-.531103023539458,-.668478925614155
10, , , , ,1,0,0,0,1,2,2909.757946,2,365.9308774, ,1.01778691682448,.507764279143302,-.421471490828738,-.579153057618055
11,1.84478997435686,1.67659099148852,-.131330451824869,-.00746508829021586,1,0,0,1,1,1,1968.091937,3,537.8088743,3,.118557912371121,-.288190308006205,.162891127377099,.533203717644415
12,.73937250359284,.170886668884888,.248712576808256,.338145035050521,1,0,0,1,1,1,1563.96784,2,1485.415569,2,.548321703912497,.0919060208755676,.268091017096321,.300894001788907
13, , , , ,1,0,0,0,1,2,4481.877522,1,264.1585504, ,.134739205207462,.163805260983042,.0846015071873812,.125338965895725
14, , , , ,1,0,0,0,0,0,1433.189047, , ,0,2.3092816365561,2.33235619960204,-1.8551563352445,-2.33157184281948
15, , , , ,1,0,0,0,0,0,2427.638056, , ,0,-.487448385575533,-.334263468963179,.523514211822976,.530673616095715
16, , , , ,1,0,0,0,1,2,3292.227504,1,307.7944604, ,.962402481175024,.435509641466573,.321254954472156,.552502158309584
17,.704429766301672,.637117764306532,.403278835216228,.395308137669248,1,0,0,1,0,3,1016.801261, , , ,.642741712922907,.773395692161093,.0652592328347745,.813451999520601
18, , , , ,1,0,0,0,1,2,2320.218518,2,415.0542719, ,1.71103547280225,1.91410772614969,-.201336542524165,-.843847446355228
19, , , , ,1,0,0,0,0,0,1155.819781, , ,0,-1.61714251885596,-1.74750013982658,-.433717129690268,-.356986203320681
20,-.139921613513151,-.459665845459745,.0110530156055899,.689963879950174,1,0,0,1,1,1,1739.376828,2,992.7867402,2,-.0376756349320853,.266307484063256,.232099909232942,.44010130965662
21,.747908661764503,1.1532741286272,.288080500390869,.10239177706044,1,1,0,1,1,1,1284.214859,1,232.8671553,1,.702058419619476,.203158782562806,-.541807017572547,-.490301706111883
22, , , , ,1,0,0,0,0,0,1608.053744, , ,0,.837747075971622,.548597579025476,.144850957283342,-.399330312104668
23,.0362304766918584,.122287975446268,-.127464567185409,.0820096023283702,1,0,0,1,0,3,1054.062849, , , ,-.0341186539952346,-.425659811883134,.248273253041078,.0340300029735021
24,.120527220681552,.473074804816637,-.0609132566333142,-.194389758845258,1,1,0,1,1,1,1306.72352,4,249.9165571,4,1.32492920845821,.830583215430573,-.864788166274937,-.215911664173376
25,-1.44232777947201,-1.66817872931447,1.0879632093475,2.4916824573486,1,0,0,1,1,1,2702.419298,2,372.4569074,2,-.167449795929696,-.392263882059099,.300580787220285,.532055317207845
26,1.43293867174812,1.24132247348613,-.133326760717531,-.111749597667921,1,0,0,1,1,1,1674.777887,3,219.1011353,3,.835157784626272,.382991519959342,-.0401246025300546,.240608072770228
27,-.954970288342621,-1.37294556862615,-.575224059957743,.0617755873704964,1,0,0,1,0,3,1164.465239, , , ,2.09612886360499,1.1420149314752,-1.29684462489864,-.717842746754803
28, , , , ,1,0,0,0,0,0,1619.922285, , ,0,-.419697144703442,-.843054469124455,.42089476791396,.499162351352821
29,-.766588042246999,-.421471505000373,1.22449495705954,1.18808953407852,1,1,0,1,1,1,1094.507429,4,354.4908401,4,-.712135198452317,-.304437110006162,1.11459390827999,1.69982151230611
