Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,hit_rate,filter_$
1,.464118187369816,.522611435291298,.364939814921613,.434438928129138,1,0,0,1,1,1,2138.299701,3,3203.682449,3,.609509508878949,.76658837454636,-.0336882822775124,-.268620821579012,1,1
2, , , , ,1,0,0,0,0,0,4284.90926, , ,0,-.0265070920168483,.040589644459851,.806733034748882,.947084057272092, ,1
3,-.128699131458806,-.0678872908991163,.591131844290017,.709109658846716,1,0,0,1,0,3,3826.210904, , , ,-.385205694615539,-.499632105792757,.552771443539215,.688774011976469,0,1
4,-.954051992919311,-.930050734302648,.578866757843509,.625321483653788,1,0,0,1,1,1,3371.470676,4,1209.746832,4,.896102946855242,.913038775227054,-.150281015331528,-.0328663949160328,1,1
5,.612748672780872,.689205525934113,-.674329316015541,-.754765168358433,1,0,0,1,0,3,1692.431341, , , ,.455002940052069,.42049423704991,.000839039447339429,-.0570563459409306,0,1
6, , , , ,1,0,0,0,1,2,3232.476803,2,543.1657076, ,.113575677832639,.167941018982067,.928354558347326,.986744977076123, ,1
7, , , , ,1,0,0,0,1,2,3692.083935,1,386.2433285, ,.791119502981348,.898975662420695,.246998129441327,-.103667493350233, ,1
8,-2.44366800737977,-2.35103139680225,.246760178061559,.344526502127999,1,0,0,1,0,3,4532.521199, , , ,-.460808051073721,-.546250548635855,.742084762509138,.789123790391569,0,1
9,-.0793854221027527,-.179068825215377,.999821365485885,.948940687568292,1,0,0,1,1,1,2441.512141,2,443.2658558,2,-.552722465677313,-.589324341986174,.937717839725332,1.10080102045739,1,1
10, , , , ,1,0,0,0,1,2,3132.020073,1,386.7642785, ,.43744137304879,.440885284953143,-.93152987666416,-.979892088717759, ,1
11,.167031856194903,.141469709026699,-.1995588293978,-.290820302089004,1,0,0,1,1,1,2169.843798,4,2490.030096,4,.745919976582728,.785048616045638,.538016227802047,.224374326051519,1,1
12, , , , ,1,0,0,0,0,0,3412.32932, , ,0,.0136644197880223,.213465969012855,.129321432840623,.0683651996563843, ,1
13,-.0771736266130935,-.0145563459004612,.602390663113758,.476448188435269,1,0,0,1,0,3,2334.863356, , , ,-.0621807867394118,-.114182517851908,-.600910436226378,-.404329084050391,0,1
14, , , , ,1,0,0,0,0,0,1303.234573, , ,0,-.624425268461367,-.649027999063004,.930228894150308,1.00542812488898, ,1
15,.168688816556738,.276806514396175,.408003793104707,.252283360208707,1,0,0,1,0,3,1802.134291, , , ,.390069017303848,.30035598251871,.198152269588305,.0495959111637568,0,1
16,-.287929084097866,-.374286562592476,.0860605410855717,.271552187784459,1,0,0,1,1,1,1113.470855,4,653.8043782,4,-.264995853076635,-.321089040103704,.521827291624977,.489406052906327,1,1
17,.500367047671177,.52405799560363,-.286256096699714,-.39228622026681,1,0,0,1,1,1,1148.459509,2,754.1863654,2,-.447057420095074,-.44055244113846,.875906242992736,.950044527319865,1,1
18, , , , ,1,0,0,0,0,0,3385.170313, , ,0,-.2585200397781,-.436570479543253,-.250839358875219,.0157419421706992, ,1
19,.609768205208651,.506077770408664,.514103052470332,.624578349979177,1,0,0,1,1,1,2383.236318,2,648.0335102,2,-.0488059323042592,-.00331644923116989,.383965002855016,.415463778686719,1,1
20,-.696899068954316,-.720140660866944,1.40023676800335,1.49016428885098,1,0,0,1,1,1,4263.040269,1,343.0933392,1,-.907506053650264,-1.01600632474288,.265001841951123,.314775305877098,1,1
21, , , , ,1,0,0,0,0,0,2437.366354, , ,0,-.210615349642224,-.33502957927416,.684447654729909,.782235814334372, ,1
22, , , , ,1,0,0,0,1,2,2543.552891,1,804.778176, ,-1.258032589489,-1.22476948163326,1.45082872596463,1.70937397299465, ,1
23,-.00404672481566754,-.106797205100447,.0599411483715955,.110798798239989,1,1,0,1,1,1,1056.418495,4,388.2065143,4,.863346281186563,.891471299818752,.226969409366491,.127576803006987,1,1
24, , , , ,1,0,0,0,0,0,1692.341843, , ,0,-.950971313793463,-.884840737455682,1.77070620998926,1.64380150313555, ,1
25,.416467511197892,.446741175316519,-.277713844030234,-.297134191789029,1,0,1,1,1,1,2297.294332,3,953.1202785,3,-.357681806875398,-.350539361080025,1.09177189289522,1.16218650785714,1,1
26,-2.11413325008279,-2.12896292459148,1.57585353586105,1.70267546919542,1,1,1,1,1,1,1072.582378,4,438.2331071,4,-.762251228252577,-.784425887643328,1.43958830895802,1.43086421078682,1,1
27,-.389943895482162,-.474581162418214,.741743946338999,.856167641596861,1,1,1,1,1,1,1087.469229,4,341.1163598,4,-.386958815690002,-.3524551109504,1.01267404153497,1.07531434488079,1,1
28, , , , ,1,0,0,0,1,2,3373.241072,2,448.8933342, ,-.35316098691386,-.420287743939691,.864869795232706,1.04750011547934, ,1
29, , , , ,1,0,0,0,0,0,1508.490137, , ,0,-.847986103641568,-.817635253069504,1.13275303062972,1.20307881128052, ,1
30,-1.22530380195334,-1.16942185966303,.219480446897848,.256678214265926,1,1,0,1,1,1,2819.097563,4,1213.87241,4,-.184231612809511,-.266392430681388,.258379840955621,.444449778933369,1,1
31, , , , ,1,0,0,0,1,2,1821.59453,3,641.5649414, ,-1.61690504461032,-1.6534049605974,.0541529257685807,.256213461800307, ,1
32, , , , ,1,0,0,0,1,2,2017.25775,2,698.110145, ,.01172444745686,-.00912392497661258,.505094771014947,.690926785834211, ,1
33,-1.13521679566153,-1.16865220231555,.99515154916626,1.01591709442896,1,0,0,1,0,3,3618.331664, , , ,-.0424835343833234,-.119952895540389,.762622185601709,.719128604558811,0,1
34,-.89861080586801,-1.10558440131418,-.588348825769309,-.411069375108938,1,1,1,1,1,1,2213.658448,4,399.0357935,4,.00827175299401358,-.0598318465172427,.597530332816839,.599946362298851,1,1
35,.527968577074869,.637252870255508,-.0427822969657548,-.100358829489167,1,0,0,1,1,1,1785.451061,2,697.3665723,2,.721441896310522,.639265359502269,-.00845940311108018,.0342303305918559,1,1
36,.210699497041244,.181887235071391,.0385933377569111,-.077558201404652,1,0,0,1,1,1,2139.590207,2,448.9119396,2,-2.49544147260284,-2.23259519285924,2.41946207491586,2.38603506305676,1,1
37,-.0655826331268086,-.0839394491051497,.0261600622208574,.0286551403261252,1,0,0,1,1,1,1938.383233,2,1257.513195,2,.572550292594148,.547722877120643,.436313145344962,.411710355609781,1,1
38, , , , ,1,0,0,0,1,2,3508.456455,1,341.1272664, ,.334515932673258,.235523635483438,.0933962148320481,.199699151068204, ,1
39,.552299983685381,.492078921149819,-.413770274842951,-.219826945135316,1,1,1,1,1,1,868.385716,4,288.8798999,4,-1.21821933033698,-1.10227436371215,-.334107204864046,-.330928638076951,1,1
40, , , , ,1,0,0,0,1,2,2507.267637,1,289.3084646, ,-.318912754220459,-.220385860527402,.602273488804513,.529072917996916, ,1
41,1.02989488474486,1.16776289566887,.232103084074539,.0374879942241448,1,1,1,1,1,1,1357.205501,4,388.0612001,4,-2.19453637850732,-2.02201047845773,1.22917110730953,1.21067025342202,1,1
42,-.348568054958588,-.37402718513674,.291805368102549,.389423599250194,1,0,0,1,1,1,2900.147945,2,498.6604144,2,-1.39147663960407,-1.25499138680143,1.57609544106148,1.49769279780796,1,1
43, , , , ,1,0,0,0,1,2,2729.549667,2,492.2037145, ,-.894653100606176,-.961720380980406,.883368069645959,1.03389304489621, ,1
44,-.148900098784403,-.266800555398674,.629935682145626,.714704277421838,1,0,0,1,0,3,4814.861637, , , ,.326376872937689,.328819971193972,-2.22232117227539,-2.08885778614661,0,1
45,-.694720611031385,-.729728452341324,-.792877409503552,-.693085431310002,1,0,0,1,1,1,3114.295264,3,2026.809996,3,.564791346010453,.582753687544093,-.10866805261095,-.0758687861483517,1,1
46,-2.3213553360116,-2.18396851201243,1.11481151549696,1.01508837351805,1,0,0,1,1,1,1771.407867,2,484.3050996,2,-.311063865713509,-.461140684891114,.578309009366564,.608183436635228,1,1
47,.744489535241148,.851579527585033,-1.98767283017929,-2.02910036721525,1,0,0,1,1,1,2917.170241,3,441.3068402,3,-3.95843769575638,-3.47025063500393,2.22011987215232,1.98222011990951,1,1
48, , , , ,1,0,0,0,0,0,1089.336501, , ,0,.3924104087324,.330310723240244,-.769853197252246,-.831900488842204, ,1
49,.250255469144309,.0465432102406614,.0553569036388482,.275373793904161,1,0,0,1,1,1,3994.102423,1,393.8246901,1,-.445486248024362,-.459847466530372,.557830945680764,.547386176684068,1,1
50, , , , ,1,0,0,0,1,2,2078.521657,4,598.5050918, ,.0628449526790272,.080816200743866,.20742638943016,.315367012124536, ,1
51, , , , ,1,0,0,0,0,0,5621.843585, , ,0,-.506662782434027,-.539198968595238,-.0123776230560571,.0478499741566275, ,1
52, , , , ,1,0,0,0,0,0,2912.287297, , ,0,.0955222395595429,.0864821140292705,-.569528663962189,-.461825173905014, ,1
53, , , , ,1,0,0,0,0,0,2866.998013, , ,0,-3.86334586704794,-3.48484088170753,2.25657887008795,1.92561267598001, ,1
54,.483562197560824,.396599008250263,.356706066323207,.396863078203995,1,0,0,1,1,1,3043.201314,2,602.9184104,2,-1.02464765048657,-1.104851980172,-.136860909330676,.019525219611469,1,1
55,-.577659509908122,-.542880182427639,1.1669868145369,1.1796628226581,1,1,0,1,1,1,1787.01359,4,444.2092756,4,.0576470561657155,-.0547928748722888,.91439598132102,.979851000542438,1,1
56, , , , ,1,0,0,0,0,0,1721.666129, , ,0,.770211582694615,.657112474118709,-.550017320121849,-.394291808923345, ,1
57,-.960488816501747,-.984153847765737,1.0797614218231,1.11820807147212,1,0,0,1,1,1,2553.50387,1,339.4543883,1,-.120285914638367,-.305864351353219,-.606240142428496,-.502861075584605,1,1
58, , , , ,1,0,0,0,1,2,2123.137941,4,548.8627958, ,.165748144368092,.153448142616819,.423269570080367,.457586682091653, ,1
59, , , , ,1,0,0,0,0,0,2023.446918, , ,0,-.144852757597138,-.178539109470497,.422517866154826,.546423148378624, ,1
60,.0535164535652994,.162781401700223,.040159573834163,.013846612793296,1,0,0,1,0,3,2114.714847, , , ,.899014885107985,.823626714735794,-.492407315220737,-.321437604370455,0,1
61, , , , ,1,0,0,0,0,0,1107.476081, , ,0,.0732865629159213,.087372933062336,-.191551763086509,-.209627149910309, ,1
62, , , , ,1,0,0,0,0,0,1692.618357, , ,0,.748982187743229,.831365772995171,-.326007551700275,-.502096899789765, ,1
63,-.506222386249578,-.475002755413656,.788025063064804,.948691511525197,1,0,0,1,0,3,2147.274861, , , ,-.108632084574185,-.232262528720721,.244579998899277,.274513824644061,0,1
64, , , , ,1,0,0,0,0,0,2188.494384, , ,0,.249577801114955,.348279221457287,.425569480907027,.522740183435935, ,1
65,-.122936759200907,-.206157708654196,-1.02116420742779,-.867088842370865,1,0,0,1,0,3,3638.493454, , , ,1.10680177867821,1.03060888184014,-.315795027514734,-.320478782885451,0,1
66,.376963375390352,.296617240336372,.933460014505832,1.1075068931297,1,0,0,1,0,3,2019.688957, , , ,.5665054376095,.545535954423858,-.36643680888144,-.433357459901856,0,1
67, , , , ,1,0,0,0,1,2,1357.377761,2,604.3545514, ,.483602495218518,.200266200946331,.5038054784889,.91049388668029, ,1
68, , , , ,1,0,0,0,1,2,5091.222057,1,337.956978, ,-.553248703676756,-.645252068796696,-.909465024681055,-.903182620240942, ,1
69,.470596576580473,.580375347857184,.620427153356877,.700727753357484,1,0,0,1,1,1,2086.306394,2,1103.05378,2,.60788120670654,.494166476737745,.0168324511509501,.0309866565486502,1,1
70,-1.46981182172656,-1.38765173441337,.603576887735303,.503012353059841,1,0,0,1,0,3,1573.417374, , , ,-.134677000308726,-.184726879105296,.841795456238126,.874393751928772,0,1
71, , , , ,1,0,0,0,1,2,3031.644822,1,696.2390236, ,-.660852024656442,-.719830494495166,.594940434873324,.786330260135764, ,1
72, , , , ,1,0,0,0,0,0,1427.624847, , ,0,-.756937690876545,-.659028253744086,-.607864470585199,-.478865134144045, ,1
73,-.17576773681504,-.237348292383351,.161154485231693,.172168456398853,1,0,0,1,0,3,1667.510751, , , ,.0234093444613394,-.0662662639031362,.244802674312154,.113152799060731,0,1
74, , , , ,1,0,0,0,0,0,2640.392162, , ,0,-1.47088880079775,-1.35543491930191,2.08183957204421,2.28426132370705, ,1
75,.358996161251015,.298722601532409,.0463853208356323,-.0192301336605638,1,1,0,1,1,1,1138.601237,4,339.3299249,4,-.0052499804814712,-.0608982216273935,.978988369924706,1.11236714866056,1,1
76, , , , ,1,0,0,0,1,2,2200.95901,3,1873.381575, ,1.61547312031711,1.83438593906555,-.486163212860126,-.895591798987415, ,1
77,.862330811618603,.870637963623627,-1.03809523598512,-1.24420132453234,1,0,0,1,1,1,2917.337689,3,437.9492151,3,-.822971603767637,-.953330476893248,1.16443516016124,1.2933441270819,1,1
78,.482807574018812,.570047062397784,.111492416705832,.126438034651321,1,0,0,1,0,3,4207.471526, , , ,-.481269300697365,-.518457895091802,.831679091629695,.868490038546023,0,1
79, , , , ,1,0,0,0,0,0,1492.143087, , ,0,-.661988027503681,-.668323490120903,.633009634355087,.709733017161804, ,1
80, , , , ,1,0,0,0,0,0,2337.141871, , ,0,.248568314103482,.0542521292954231,-.154899880352081,-.0517421656976808, ,1
81, , , , ,1,0,0,0,0,0,1838.399657, , ,0,-.790178781991739,-.748496284882131,.887023310010651,.890928012023312, ,1
