Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,hit_rate,filter_$
121,-1.33284778001818,-1.35018414301451,1.59929707389824,1.61000373591722,0,0,0,1,1,1,4468.234243,1,393.6829044,1,.232961426190217,.254642949576268,-.143011854097131,-.226149651756494,1,0
122,.731554975828413,.613373874382555,.281736076663354,.354969766719827,0,0,0,1,1,1,1617.625944,3,392.7503912,3,-.0193603614074256,.0259956724283521,.658796427616952,.823263160893972,1,0
123, , , , ,0,0,0,0,0,0,2734.999753, , ,0,.614735499072632,.576982378523638,.0703590198309806,.0471766211394743,1,0
124, , , , ,0,0,0,0,0,0,1953.197266, , ,0,.302116377277219,.301630199881043,-.817313152486454,-.888470027560362, ,0
125, , , , ,0,0,0,0,0,0,4319.111998, , ,0,-.681021707076282,-.688405657183908,-.122603718410208,-.0328008059710811, ,0
126, , , , ,0,0,0,0,1,2,2041.893807,2,848.2175107, ,.540057782940236,.455331330422782,.150210309760125,.162815300460624, ,0
127, , , , ,0,0,0,0,1,2,2187.220559,2,953.9671429, ,.351662316561245,.338324213987938,-.0868982785458379,.170731001351054, ,0
128, , , , ,0,0,0,0,0,0,3288.157178, , ,0,-1.14939792099882,-1.29007807714332,.177753957350619,.271422578600586, ,0
129, , , , ,0,0,0,0,0,0,1661.228236, , ,0,.90149108849268,.847360778759453,-.536928681839743,-.488169916673595, ,0
130,.741332914231614,.658395351643261,-.767119588720604,-.759851881809528,0,0,0,1,1,1,1582.724222,4,388.321675,4,-1.03044003944426,-1.01444308402464,.363340659046667,.253199361088675,1,0
131, , , , ,0,0,0,0,1,2,3303.352942,1,859.2706957, ,-2.32880889828001,-2.17633063431815,-.241166333911843,-.101323641215837,1,0
132, , , , ,0,0,0,0,1,2,2246.91937,1,386.9410294, ,-.573322361070307,-.55784019894145,.340401194857627,.24256867227224, ,0
133,1.01527208073423,1.05722211469627,.551190882372937,.570460012869536,0,0,0,1,1,1,1072.450216,4,387.481547,4,.055736497352258,.0492845597684708,-.0659230465551281,-.0231600530837251,1,0
