Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1; ; ; ; ; ; ;1;0;0;0;0;0;1252,676348; ; ;0;-,323073035636893;-,425147432290707;-,589898926982639;-,503838366009325
2;0;1980,87999;-,240903416412162;-,244363693503156;,32767952316772;,396044598858836;0;0;0;1;1;1;1677,549304;4;313,965162;4;-,748761539005554;-,617754416915243;,608108203308132;,597382895260995
3; ; ; ; ; ; ;1;0;0;0;0;0;2014,928209; ; ;0;3,39313058671517;2,50255145942575;-1,99135193203773;-1,41218387757491
4; ; ; ; ; ; ;0;0;0;0;0;0;1897,489441; ; ;0;,615961584217403;,307581168529418;-,411948282119573;-,457980059120086
5; ; ; ; ; ; ;1;0;0;0;0;0;1495,745526; ; ;0;-,573624669009;-,110684322695127;-,206276824281072;-,443570445790044
6; ; ; ; ; ; ;0;0;0;0;0;0;1630,995503; ; ;0;-,738974653586969;-,584796024825404;-,0301063622983921;-,202554079716786
7;2;1897,198228;-,137370810571561;-,556881809749679;,230632494119298;,316369350139672;1;0;0;1;1;1;1063,273972;4;274,4839489;4;-,904815634869626;-1,05655492317835;,689461333876434;,73300715291395
8; ; ; ; ; ; ;0;0;0;0;0;0;1236,346948; ; ;0;-,434662623014341;-,534714707096555;-,101032614522628;,0400748269403076
9; ; ;1,27937278426829;,786033294374449;-,379197328130093;-,0821036730908195;1;0;0;1;1;1;1590,942093;4;318,5045634;4;3,43899694537729;2,70289740211063;-,916216140747866;-,828386982450256
10; ; ; ; ; ; ;0;0;0;0;0;0;3396,941989; ; ;0;1,71432377121331;2,12400427839985;-1,13804861397137;-,915339394899881
11; ; ; ; ; ; ;1;0;0;0;0;0;2836,409748; ; ;0;-,440007041548755;-,05162080035577;,634489404226049;,33701909304975
12; ; ; ; ; ; ;0;0;0;0;0;0;1370,062515; ; ;0;-,958529369472952;-1,02158335022745;-,00722803950379736;,254451063113358
13;0;1033,259992;-,645785317545764;-,954035354330164;-,924047353388426;-,485319493987452;0;0;0;1;1;1;2649,233934;4;585,0273685;4;,382859205721368;,335016142222755;-1,07753567094482;-,984302955543122
14;3;1057,42694;-,743970305974377;-,66097798480792;,783737636200588;,694003186864599;1;0;0;1;1;1;1344,168074;4;187,2240371;4;-,912009585198008;-,553008581554001;,344863053534508;,230317798698719
15;0;1840,012933;,190017904012476;,655202177022838;-,659848194931834;-,780052550772012;0;0;0;1;1;1;1411,601261;3;825,2179252;3;-,926008236426217;-1,10297245489366;,070932051733689;,0581563880687417
16;0;1797,001039;,291604983421889;,0789270383251014;-,127038899989318;,230227435123159;1;0;0;1;1;1;1597,820635;2;938,444765;2;-,219531866754425;-,881119496312592;,866906954471322;1,13534395513548
17;0;1099,814999;,40836764986378;,58333713415713;-1,51199967931362;-1,15279463852844;0;0;0;1;1;1;1160,467453;4;822,5311051;4;-,30233841409239;-,687662634654816;-,126268753471264;-,12880633028206
18;2;1668,633774;-1,50611163705036;-1,51759448282516;,804122678712578;,418288132309434;1;1;1;1;1;1;865,8900375;4;215,9717615;4;-,1367193493332;-,0253011826773446;-,00190833711408095;,0194465038112002
19; ; ; ; ; ; ;0;0;0;0;0;0;3056,309473; ; ;0;,578572146776246;1,37645728000809;-,772045495612961;-,603568622895436
20;3;1034,008915;-,716723201268464;-,379594919279105;,616288423452039;,635297553820197;1;0;0;1;0;3;1179,121881; ; ; ;-,366893222887674;-,417347349946453;,377786570192972;,625473819841106
21;0;930,3208156;-,300216580323716;-,123951663172393;-,382312129082368;-,33095776337909;0;1;1;1;1;1;1249,404823;4;257,7109684;4;-,848372378199798;-,520782112667894;,582970570733288;,282457062361863
22; ; ; ; ; ; ;1;0;0;0;0;0;3161,039007; ; ;0;,437621167543496;,435674964301884;-,641277388892747;-,725309983904852
23;0;1431,930278;,490312160541806;,0615355890819557;-,783878922945145;-,743277293550644;0;0;0;1;1;1;1461,534676;4;350,3191821;4;1,36690850708512;1,55164097461889;-,896013677499958;-,764055544785245
24; ; ; ; ; ; ;0;0;0;0;0;0;2499,983434; ; ;0;,0125999382486402;-,294373701988798;-,752595604003436;-,801168035876244
25; ; ; ; ; ; ;1;0;0;0;0;0;1750,213724; ; ;0;-,381046824913224;-,0132736926923532;-,561400035769593;-,990127054223057
26; ; ; ; ; ; ;0;0;0;0;0;0;1272,810019; ; ;0;,18020789360247;,0415962274775728;-,188149860478526;-,109353838785905
27;2;1475,051864;1,05948771687445;1,32639449332919;,161573812063087;,0503799044107853;1;0;0;1;0;3;1661,151586; ; ; ;2,07361725346828;1,57155886186328;-,514432424056104;-,174452401623485
28; ; ; ; ; ; ;0;0;0;0;0;0;1319,835946; ; ;0;-,162032800860053;,319465974703617;-,162514919968118;-,450329294669387
29;2;2270,205966;2,50725118718675;2,69489813286183;,143582266696295;-,313995122363433;1;0;0;1;0;3;1275,719895; ; ; ;,206044554041493;,799779734069583;,0631163861193463;-,26377287528709
30; ; ; ; ; ; ;0;0;0;0;0;0;2985,606364; ; ;0;-,0966232040722835;,0909499345614955;-,592403472858003;-,608151411626557
