Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;3;1987,622563;-,493942602495473;-,271225749728906;,856922480953961;,764440921421718;1;0;0;1;1;1;1639,562175;4;329,6489531;4;-,104274424199736;,46451724972569;,202499538918762;,334715716368206
2;0;1582,986545;,853866589828704;1,5046691832747;-1,9769958002531;-2,74494677685612;0;0;0;1;1;1;1801,295607;3;222,3995478;3;-,0917928457042587;-,373926151980914;-1,09750950048222;-,877231328512032
3;2;2353,293331;-,780398475885584;-,465019817019225;,707168384724909;,674411085426059;1;0;0;1;0;3;3721,682903; ; ; ;-,162989295550862;,476464255778056;-,311686370698061;-,772288282451979
4;0;1173,236326;,568904646610247;,391646330294489;-1,23618725027729;-1,73970352302547;0;0;0;1;0;3;1579,930927; ; ; ;-,868246843135545;-,451379350762688;,14035764068765;-,309883301699132
5;3;1323,119638;1,17539481687782;,998122191790827;-1,25242671225577;-1,45724533332358;1;0;0;1;1;1;2568,605115;3;278,2686578;3;,638483834091553;,897152227267053;,105234533433191;-,636110558919965
6; ; ; ; ; ; ;0;0;0;0;0;0;959,5098842; ; ;0;-,0770427034855343;-1,43163993751359;-1,18874284014263;,948138590721498
7; ; ; ; ; ; ;1;0;0;0;0;0;1281,760457; ; ;0;,415858964511111;,306917678485605;-,631389736330452;-1,01678609512552
8; ; ; ; ; ; ;0;0;0;0;0;0;1831,631902; ; ;0;1,23950790908065;,664342453110874;-1,70665468431517;-1,17403472988067
9; ; ; ; ; ; ;1;0;0;0;0;0;1384,117173; ; ;0;-,575541669598786;,412270815601089;,501811131841441;,278565346653416
10; ; ; ; ; ; ;0;0;0;0;0;0;1209,836769; ; ;0;,698400096504635;,257519484120998;-1,98207375319452;-1,25847867341988
11; ; ; ; ; ; ;1;0;0;0;0;0;696,8014669; ; ;0;1,1270339884718;,232940941486239;1,13277635210209;1,7724833386474
12;0;1442,401962;-,765151016617029;-,490480923689776;1,23683719259182;,596146723279258;0;0;0;1;0;3;2078,293615; ; ; ;-,589607570726093;-,331609969886075;-,310247807539569;-,205239043866967
