Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1; ; ; ; ; ; ;1;0;0;0;0;0;1248,681877; ; ;0;,167859806412351;-,0099319309268872;-,585154292971895;-,824062828762963
2;0;1670,012608;2,91674664263072;2,28499148988575;-2,607000023794;-2,1673047565972;0;0;0;1;0;3;1530,4811; ; ; ;-,165229674628315;-,14237217224068;-,279213341031004;-,361979096596305
3;2;1834,099154;,54707393357822;,582206259681894;,245304566063796;,43518716908335;1;0;0;1;1;1;1519,886812;4;422,0682135;4;-,0434177883140016;-,0262254427078794;-,317380479680706;-,0668538689674098
4;0;1052,19088;-1,62399866827802;-1,39482335564476;,403050915051902;,330863434950333;0;0;0;1;1;1;2128,247739;3;1506,655097;3;1,76659085215138;1,77073090994612;-,855033688852684;-,49261649674335
5;3;1815,829611;-,60674728827701;-,588500901849973;,502919560961699;,519163264196196;1;0;0;1;1;1;1667,264524;4;818,4519595;4;2,12716198727358;1,8180415846342;-,714542343102833;-,400851604601419
6; ; ; ; ; ; ;0;0;0;0;0;0;1810,925848; ; ;0;-,120683645426948;-,220492911716482;-1,38281429394383;-1,16844809621256
7; ; ; ; ; ; ;1;0;0;0;0;0;2441,481828; ; ;0;,100604754962764;,0928035874721283;-,581472022373278;-,640105509453151
8;0;2371,165532;-,424033193825267;-,613284588829423;1,02940179661973;1,46952376145352;0;0;0;1;1;1;1826,362956;1;350,5254136;1;-,80982406828455;-,644715576119205;,877154337943999;,530911367437919
9; ; ; ; ; ; ;1;0;0;0;1;2;2291,630265;1;447,5004717; ;,436903414918289;-,170082040938455;,00313173181898058;,949524997757673
10;0;1459,307152;,025585169148095;,160273907982562;-,157420874019565;-,470373501945596;0;0;0;1;1;1;2406,035175;2;1085,344575;2;-,336139317606094;,0875012831277835;-,205359188806645;-,621221427449379
11;3;1721,567673;-,0973661148118418;-,283893203883698;-,0421747038185095;,00126471341298884;1;0;0;1;1;1;1773,263539;2;825,3619335;2;,0304198365744895;,438540469318325;,640675497884527;,12708320974197
12; ; ; ; ; ; ;0;0;0;0;1;2;1879,059206;1;288,7500403; ;,516399470733282;-,121294237842039;-1,10414172734243;-,544479665983913
13; ; ; ; ; ; ;0;0;0;0;0;0;2179,206232; ; ;0;1,68719835662294;,831810832713193;-2,38217836423116;-1,74551123862335
14; ; ; ; ; ; ;1;0;0;0;0;0;2341,996035; ; ;0;1,18453008580788;,930629410330123;-,37412167242772;-,114231386422387
15; ; ; ; ; ; ;0;0;0;0;0;0;1143,921872; ; ;0;-1,40018086909569;-1,77703356752413;,00168145809655273;,1286474963274
16; ; ; ; ; ; ;1;0;0;0;0;0;2534,898584; ; ;0;-,36524706320902;-,0925639246370259;-,23918610361682;-,205539087220917
17; ; ; ; ; ; ;0;0;0;0;0;0;1649,134502; ; ;0;,725074307552449;,566979698141154;-,974629490809783;-,770991099915583
18; ; ; ; ; ; ;1;0;0;0;0;0;1720,570817; ; ;0;-,764386885133174;-,688019001595242;,259021465090173;,210017255649923
19; ; ; ; ; ; ;0;0;0;0;0;0;2140,834772; ; ;0;,842840362145646;1,05647752605195;-,789801412030058;-,725256643085589
20; ; ; ; ; ; ;1;0;0;0;0;0;2790,729954; ; ;0;,499561083793175;,358583584585208;-,741416280433561;-,595229136145284
21; ; ; ; ; ; ;0;0;0;0;0;0;1111,68388; ; ;0;2,43679779042115;2,57859295917466;-1,04698160569578;-,639040714063134
22; ; ; ; ; ; ;1;0;0;0;0;0;1975,017205; ; ;0;-,599175999781414;-1,0394093541621;-,408922616461875;-,0613958414935947
23;0;1887,05039;1,07391707270017;,833240331351775;-,729987406359863;-,562695591299221;0;0;0;1;1;1;2030,374295;1;312,7017732;1;-1,05850282575246;-,704039890706017;-,291823004150285;-,208264970903432
24;0;2916,854304;-,293627910167106;-,581700580011978;,0718595003812625;,136946017744198;0;0;0;1;1;1;1678,626338;4;534,1205117;4;1,32149150298679;1,38738289693328;-,327105017720542;,211664139810159
25; ; ; ; ; ; ;1;0;0;0;0;0;1411,181412; ; ;0;,547658606089901;,240752215341932;-,694294254387246;-,212567123471754
26;1;1767,173374;-,849760681864882;-,848286487888963;,550185456363499;,465927505013592;0;0;0;1;1;1;1972,62386;1;433,9021534;1;-1,47370136746354;-1,62041995122158;1,38472072514119;1,56231617490755
27;3;1541,310493;-,0599006756099476;-,334854627901031;-,0807508847491738;-,141485137060921;1;0;0;1;1;1;2211,139844;3;1360,745722;3;,17873492563227;,327441663868811;-,112823990522504;,0426553132172853
28; ; ; ; ; ; ;0;0;0;0;0;0;1578,971516; ; ;0;-,467910113749139;-,023575226043869;-,346709096600177;-,453474874223628
29;3;1360,319465;-,487774118226843;-,308062840266471;,574582841983936;,354700775644042;1;1;0;1;1;1;2098,083316;4;668,5975103;4;-,609122045332902;-,622567725132075;1,5253020366926;1,72678789322233
30; ; ; ; ; ; ;0;0;0;0;0;0;2667,979769; ; ;0;,199975956854012;,270853203922342;-,52306195153678;-,743145075800726
31;3;2004,353165;-,0583729677432479;-,512444586986306;-,0862240032991391;-,244376219121327;1;0;0;1;1;1;2084,023136;3;865,338045;3;,672348956924376;,416909855124234;-,894296085035457;-,836738078460555
32;0;1568,325913;,0512704389742004;,030688140261406;-,836988470240591;-,942335655856154;0;1;0;1;1;1;1575,748423;4;1343,957667;4;-,324314225150295;-,0810425462982814;-,671061945433751;-1,01218140815087
33;1;1924,731302;-1,29646067119686;-1,1295694162364;,634435586348631;,737063675056756;1;0;0;1;1;1;1655,980329;4;1078,381359;4;-,68210673348185;-,467115588279366;1,09691098484545;1,53996489341827
34;0;975,6368731;-1,24976747158301;-1,20109019341352;,215028386155091;,272594689444862;0;0;0;1;0;3;1524,100664; ; ; ;-,214444378720383;,151309683232726;,0123176581491616;-,568428908808856
35; ; ;3,38504752787593;3,22734667148724;-1,772385677551;-1,50300152647808;1;0;0;1;0;3;2443,936755; ; ; ;-,546687693219272;,0662179657080704;-,105088522076495;-,60197344168018
36; ; ; ; ; ; ;0;0;0;0;0;0;1957,184186; ; ;0;-,0718178540542252;-,315981788994898;-,341221851686763;,0583732769892942
37; ; ; ; ; ; ;1;0;0;0;0;0;1606,833042; ; ;0;-,152185739231764;-,124112690057187;-,606795814596393;-,771217609829313
38;0;1615,012499;,14411879226108;,299541618002208;-,0543282350302223;,770961416971469;0;0;0;1;0;3;2740,359053; ; ; ;-,0893418337253813;,545813942913802;-,78336438432075;-1,58160927312797
39;3;1642,97602;,619242946638898;,238006823730094;-1,30321890430575;-1,028525994339;1;0;0;1;1;1;3067,130199;3;917,6862943;3;-,588198609407143;-,459292635151451;-,299688429399273;-,427717605957538
40;0;1120,601034;-,0278748730832638;-,028390451623998;-,0269949561827765;,353820092578295;0;0;0;1;1;1;3261,759638;4;503,3399515;4;-,403613356255933;-,130092653126401;-,241729905211497;-,236140892299967
41;3;1640,492868;-,545296757703108;-,615000189686376;,988939729627317;1,07481498280508;1;0;1;1;1;1;1295,94932;4;594,4846388;4;-,384188282590039;-,244121898913959;-,539766800007049;-,382377065391997
42;0;1886,538813;,197214427111391;,462068434420701;-,0325264733514992;-,405295679506132;0;0;0;1;1;1;2205,086459;3;751,8918205;3;,983819468641578;1,66508607810172;-,999988869692489;-1,42196691017134
43; ; ; ; ; ; ;1;0;0;0;0;0;1673,08816; ; ;0;1,19815035344591;,714223211538971;-1,65684016400626;-,768941777153282
44;0;1177,496703;,399943560324905;,168393135873222;-,63587631462551;-,469074025651434;0;0;0;1;1;1;1938,65677;3;578,747962;3;,551434216470567;,579541117048258;-,616235192129567;-,617394575394578
45;2;2251,961745;,31110730665377;,468362097716192;,333654668409837;,710405260508002;1;0;0;1;1;1;2891,644314;1;1135,141677;1;,166465923959905;-,0729852200270471;,0180657994547552;,637271122415642
46; ; ; ; ; ; ;0;0;0;0;0;0;2615,88779; ; ;0;-,938304999059028;-1,09544344756356;-,161544923928177;-,400566001755454
47;2;2233,141495;-,250998086446412;-,383690951343991;,720247684723465;,965790955997166;1;0;0;1;1;1;1773,687875;2;315,5242653;2;,498519368292506;,0871013436436397;-,965752257927113;-,568766773428498
48; ; ; ; ; ; ;1;0;0;0;0;0;2333,649797; ; ;0;,326857074571127;,2093889533944;-,0174380912384836;,22103871118381
49; ; ; ; ; ; ;0;0;0;0;0;0;3822,415316; ; ;0;1,24620084194973;,764960510880897;-1,81571863667979;-1,21544358260906
50;1;2843,033304;-,253492356340904;-,286067120750917;,293439692462126;,250584245449674;1;0;0;1;1;1;1164,699905;4;995,2903962;4;,10040897214207;,0632368520112491;,775461144527295;,936320533927696
51;0;2859,708138;-,4101273147267;-,298814673178855;,14340948808311;-,131152531946121;0;0;0;1;1;1;2534,546451;2;1428,38354;2;-1,0903482584326;-1,36536573449187;-1,00771034184606;-,937512371326118
52;3;1545,999358;-1,40994086716669;-1,37097606597833;-,252406687539178;-,0374694954796824;1;0;0;1;1;1;1624,992251;4;580,1165499;4;,556470855967038;,473412354627542;-,409389712028181;-,871021323607548
53; ; ;1,35087869277334;1,10477088571733;-,621114024190878;-,587303785443296;0;0;0;1;1;1;2831,437027;2;1316,626;2;1,16752209594809;,873430889210675;-,959284520549655;-,81723256673348
54;3;1412,137534;-1,07788164902131;-,942123606809374;,465999235430896;,457108307017718;1;0;0;1;0;3;1551,943908; ; ; ;-,278820202988383;-,211173574303898;-,441763259198651;-,464732467609412
55;0;1378,697738;-,344913577160056;-,213559140173386;-,589827748320962;-,397204740747977;0;0;0;1;1;1;2589,753436;3;703,0710449;3;-,433400904237789;-,571259981970394;-,732809776055179;-,521156745873445
56; ; ; ; ; ; ;1;0;0;0;0;0;1826,311317; ; ;0;-,710035782545334;-,463945969687896;,905349807661678;,717193627223805
57; ; ; ; ; ; ;0;0;0;0;0;0;3017,184596; ; ;0;,592009222682897;,243251932130376;-,817449899049784;-,53424162057671
58; ; ; ; ; ; ;1;0;0;0;1;2;1727,692157;2;335,2214119; ;-,654846744028981;,00508410547934993;-1,00337155257929;-1,32605389687996
59; ; ; ; ; ; ;0;0;0;0;0;0;2253,140453; ; ;0;-,586736733494934;-,615952870944082;-,786842462990182;-1,26432690498677
60;2;1970,009209;-,437907537669704;-,525558526916518;-,198054243626998;-,244742341317662;1;0;0;1;1;1;1509,537246;3;749,2592051;3;,163472030122064;,0756016582863002;-,739411636895041;-,620239124389496
61;0;1601,917739;-,724989307620332;-,492614692506818;,228105004867299;,123000343694052;0;0;0;1;1;1;1437,086438;3;1001,39596;3;-,117536444021594;-,57113836590933;,649439534217469;,84800659886516
62; ; ; ; ; ; ;1;0;0;0;1;2;3599,838714;1;379,4386386; ;-,646475119537023;-,57995096973415;-,278765813830368;-,520039398312424
63; ; ;1,51255415940235;1,31911194505175;-1,04844804272846;-1,1580280357318;0;0;0;1;0;3;2694,937777; ; ; ;,983104000271847;1,10092538630261;-,814881088290472;-1,16862494623469
64;2;2396,41946;-1,50419393184476;-1,39149917426517;,617292117774149;,58284382229373;1;0;0;1;1;1;2144,237478;3;445,6401928;3;-,261687636080758;-,768956010433814;-,34603070612794;-,46935822136058
65; ; ;,239312434077266;,300088811502164;,253074696951561;,52160076251418;0;0;0;1;1;1;3921,782757;4;1240,244871;4;-,550940970050265;-1,40320859882615;,573084484291302;,81481786512031
66;1;1258,043894;-,125375260340376;,162142723019502;,619411568362918;,366723512245615;1;0;0;1;1;1;1370,027231;4;716,4756376;4;,24998225422482;1,13865220864529;,421787439610511;-,251132436582794
67;2;1908,391959;-,637930982721209;-,786692795698308;,927228741213755;1,53102154554709;1;0;0;1;0;3;1710,399902; ; ; ;1,39747878650859;2,08652525490685;,0688873572492665;-,945996105052479
68;0;1418,399298;1,30722516739303;,773989257442536;-,925142515445993;-,222228048180361;0;0;0;1;1;1;2096,240999;2;1296,752447;2;-,884698484062328;-,73774682530482;,524427774461708;,448566086343232
69;2;1511,810639;-,387384694046244;-,0836453548214384;-,260448908105568;-,534383103183419;1;0;0;1;1;1;3181,623312;2;1089,341609;2;,11215812299204;-,549189200555294;-1,21763262892189;-,0528989326939527
70; ; ; ; ; ; ;0;0;0;0;0;0;3603,556706; ; ;0;,552951525067277;,189735797926526;,181005762748889;1,29178907840889
71; ; ; ; ; ; ;1;0;0;0;0;0;1895,089999; ; ;0;,338699042939332;,263043932601297;-,853781941488704;-,647982028219243
72;1;2723,797442;-,413487889787934;-,473884286136895;-,290870414471592;-,245505988286063;0;0;0;1;1;1;2205,58627;4;3845,321123;4;1,56923264912645;2,44214477485715;,542000329614192;,236227603839733
73;2;1090,987318;,213719044744672;,190033673160883;-,890850684293127;-,481740402265041;1;0;0;1;1;1;1799,115964;2;1313,066773;2;,885346824946809;,619181404397849;-,960491123495712;-,839892591607261
74;0;2257,179185;,357528368704208;,225190955022767;-,384206848751191;-,585781983531536;0;0;0;1;1;1;2275,544947;4;846,5129843;4;4,23687624556754;3,99085946827541;-1,54611425566785;-1,28206739452762
75; ; ; ; ; ; ;1;0;0;0;0;0;1943,805252; ; ;0;-,245367437313059;,118189069202825;,146322520390847;-,466546573853611
76; ; ;2,61846826902182;2,94255984518664;,19473198513829;-,202895874275785;0;0;0;1;1;1;4811,015334;1;428,8787588;1;,18111939048731;,168746385987716;,922142043669106;,85969633465459
77;0;1503,1164;-,583510823939239;-,355640950291956;-,291581361896785;-,487343929010527;1;0;0;1;1;1;2113,084542;1;321,3883136;1;-,793043004756169;-,223190254604155;-,656749687257828;-1,59954885829546
78; ; ; ; ; ; ;0;0;0;0;0;0;1300,2796; ; ;0;,591335865964958;,674162973158008;-,67479410033997;-,249686894568098
