Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1,.74126751672786,.570019090966963,-.551638273529303,-.0654923764712595,1,0,0,1,0,3,1237.972444, , , ,-.819828519354506,-.840846921787347,.310164311515097,.435017580166413
2, , , , ,1,0,0,0,0,0,1472.410569, , ,0,-.503158488574588,-.547847396254925,-.646513700340886,-.574759113694609
3,.922292628184042,.754291725683362,-.236843488085274,-.360697501843837,1,0,0,1,1,1,2805.249432,2,352.0235799,2,-.23063979091524,-.498511005164623,.504027281647228,.48008740883525
4, , , , ,1,0,0,0,0,0,1054.262201, , ,0,-.649418842321125,-.189728724823358,.70352930236109,.685012295582117
5,-2.48044690853451,-1.39928712787237,1.00650872769999,1.17645098768437,1,0,0,1,1,1,1798.815433,1,1098.582705,1,-.946799520126171,-1.11280996305006,2.08066014952984,1.96385856621095
6,1.70022703844877,.380628512553572,.758024219953759,1.0622676832266,1,0,1,1,1,1,1394.939894,3,2016.77726,3,-1.60671707895978,-1.65763266996764,-.249550117812959,-.126950240594111
7, , , , ,1,0,0,0,0,0,1049.033855, , ,0,.627526584550669,.935227443887165,-.212620380672171,-.00526715418447266
8, , , , ,1,0,0,0,0,0,919.7216964, , ,0,-.152865167891508,.2542476812549,-.323168045389054,-.348434239303931
9, , , , ,1,0,0,0,0,0,2025.38971, , ,0,-.253403909898815,-.180857078888045,.270354010604307,.369494336347405
10, , , , ,1,0,0,0,0,0,1476.478486, , ,0,-.122498898997288,.0969717123089104,-1.26715685587738,-1.44852566607583
11, , , , ,1,0,0,0,1,2,1629.373208,2,213.0010859, ,.271540098290419,.135484499771121,-.60519248195174,-.530353070905389
12,-1.06566837889736,-.633653143394531,.774130756936773,.168901936066986,1,0,0,1,1,1,1314.62203,4,675.13158,4,.157018671157671,.319607398352974,.0860595090721749,.140238944135662
13, , , , ,1,0,0,0,0,0,1341.899493, , ,0,1.27929871239681,1.30006000175066,-.245935196860768,-.0637192352481901
14,-.13112428451441,.306528240134359,.272186160188592,.202670243932086,1,0,0,1,0,3,1348.319059, , , ,-1.38550934204941,-1.3625052038623,-.443016781948777,-.435068220936268
15,.637580996686996,.304875219408071,.374147036019049,.262331886333924,1,0,0,1,0,3,932.2205257, , , ,-.299613674822885,-.501478959368864,-.536065793665898,-.535373190674477
16,-.529572701193885,-.674695177747131,.304837330702113,.991835288594064,1,1,1,1,1,1,1163.471159,4,554.0784184,4,-1.70705222256573,-1.74875546559802,.188725023535791,.126161838354786
