Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;0;2424,652882;,903034491684562;,598470549479541;-,33905391971642;-,514216500188139;1;0;0;1;0;3;3642,650013; ; ; ;1,56750114463939;1,58693174767108;-,57123885625805;-,660333266652334
2; ; ; ; ; ; ;0;0;0;0;1;2;3361,362947;2;378,2320952; ;-,0466850752438911;,0520860570971235;-,595839315596025;-,623805745332097
3; ; ; ; ; ; ;1;0;0;0;0;0;1356,707775; ; ;0;,205238341109246;1,33091885630703;-,298316387587545;-1,34007161794473
4;0;1121,905011;,0191061723960496;-,65782693661952;-,473402942745863;,0636552914474683;0;0;0;1;1;1;1341,517363;3;210,8280962;3;-,31023829610751;-,738708055496793;-,502753978662557;,0511103084242351
5; ; ; ; ; ; ;1;0;0;0;1;2;2943,647953;1;259,2560921; ;-,197321288277857;-,426668533190868;-,448738976888686;-,174824896762499
6;0;1472,872606;-,672776901103848;-,86453768004516;-,886101726582744;-,907106192240645;0;0;0;1;1;1;2300,531701;4;277,8985932;4;,74493573352533;,680351233184576;-1,30455452046862;-1,40416406004603
7; ; ; ; ; ; ;1;0;0;0;0;0;2474,012098; ; ;0;,768007417909147;1,00637777245204;,543876707850755;,0771718045741199
8;0;1192,619533;,756449185588591;1,10888409005868;,86150113782825;,621529259850607;0;0;0;1;1;1;2729,678714;2;341,3974074;2;,688315744990544;,574484334291106;,558014485035965;,385190463687454
9; ; ; ; ; ; ;1;0;0;0;0;0;3317,843465; ; ;0;,762368393839954;1,13404642468178;-1,19434876723302;-1,7409941393436
10; ; ; ; ; ; ;0;0;0;0;0;0;1758,597299; ; ;0;,659561089011416;,212329977607122;-,802469039532389;-,341220419103509
11;2;2509,358216;,904433213255562;,616849756699793;-,624108195436023;-,759504454596421;1;0;0;1;1;1;1820,395567;3;626,3347772;3;,581278109949907;,886767130790676;,076615750229385;,0263632118685103
12;0;1249,343885;,730889022627342;,823146730968989;-,487931128463212;-,590362021691806;0;1;0;1;1;1;1154,973359;4;305,4915732;4;-,477138181841436;-,430490544219338;,662763936845153;1,06160611816771
13; ; ; ; ; ; ;0;0;0;0;0;0;1012,559199; ; ;0;-,359058868167422;-,0738294122911389;-,826938754721101;-,773466213916989
14; ; ; ; ; ; ;1;0;0;0;0;0;2472,35421; ; ;0;1,70357657130077;1,19265449408051;-1,7009224346101;-1,71779128122587
15;0;1814,791286;,048747875165056;,0436573907771681;-2,06928947348434;-2,10302278521953;0;0;0;1;1;1;1124,374755;4;376,378237;4;-,581747635754409;-,699661361151924;,411872017944801;,356347158137903
16;2;1825,600399;,00119550992941744;,203460731556069;-,554547848393585;-,812506895681257;1;0;0;1;1;1;1645,861229;4;382,4962899;4;,795678276703277;,253268315284837;-,635255624831188;-,269259409359662
17; ; ; ; ; ; ;0;0;0;0;1;2;2673,007102;1;130,3420618; ;,79355423206165;,604745467954068;-,292002105395584;-,620759128024468
18; ; ; ; ; ; ;1;0;0;0;0;0;1023,009764; ; ;0;-,245356752964799;-,392869129298745;-1,17830096693675;-,565998629480037
19; ; ; ; ; ; ;0;0;0;0;0;0;4665,664797; ; ;0;1,08653967787327;,879117536882976;-,779932860054766;-,923794190222866
20; ; ; ; ; ; ;1;0;0;0;0;0;1218,181906; ; ;0;,0615922820997553;,282510502440776;,37402720841036;,480486600096578
21;0;2188,605205;-,021396016849532;,0342886597010776;,447931204711516;,37126501976605;0;0;0;1;1;1;1093,119603;4;311,8743166;4;-,700283108376712;-,659651293810738;,196013427511692;,0642573688837814
22; ; ; ; ; ; ;1;0;0;0;0;0;1286,964858; ; ;0;-,1188584155466;-,0258047948175084;,292953307558197;,523488472703069
23;0;1343,508997;-,119438717619369;-,24793718945832;-1,3752407335929;-1,67364166450967;0;0;0;1;1;1;931,7223202;4;176,8716584;4;-,0821793812398626;-,158929960496009;-,0666159108622942;,151666056265769
24; ; ; ; ; ; ;0;0;0;0;0;0;958,278679; ; ;0;1,00029640392543;,631169063715662;-,716040089618276;-,762649580037597
25; ; ; ; ; ; ;1;0;0;0;0;0;5297,277827; ; ;0;1,53921607745855;1,89082383120395;-1,54259046675594;-2,05733596621347
26;0;1449,562819;-1,0907814782819;-1,32119439768346;,433366398569895;,75113403864253;0;0;0;1;1;1;1040,095409;4;163,1069213;4;-1,16548910205991;-1,62044786633482;,284253199955031;,369142356221988
27; ; ;-,0315800675216556;-,00703674062478997;,0968940699011858;,0831901825026307;1;1;1;1;1;1;1428,890536;4;142,4466655;4;,042509097365198;,139274656374111;-,166917553862205;-,0917508306788551
28;0;1357,697382;1,0307837997152;,861416261419153;-1,39193964706124;-1,32272637170436;0;0;0;1;1;1;1810,080995;3;694,6866587;3;1,24968171334165;1,07699373742255;-1,27640212486922;-1,10567611456479
29;0;1301,059308;,526064284857616;,601847310391319;-,514268906781635;-,737664612939423;1;0;0;1;1;1;3627,762697;2;613,4507832;2;1,56344100876093;1,91821477094505;-1,04028814969993;-,72748256537656
30;0;1462,985608;,646749280818979;,810405510753651;-,866221599835106;-1,11625015235432;0;0;0;1;1;1;1424,673489;4;278,4967672;4;,151334487924182;-,138949303672489;-,458844692750692;-,328989223418655
31; ; ; ; ; ; ;1;0;0;0;0;0;1414,826872; ; ;0;,0885650892075254;,0492229615843612;-1,47721871336317;-1,23964374407813
32; ; ; ; ; ; ;0;0;0;0;1;2;4980,581107;1;303,9222084; ;,271578584346388;,0841893313079918;,280050516272896;-,034878982371254
33; ; ; ; ; ; ;1;0;0;0;0;0;1082,595269; ; ;0;,406717966271695;-,0687350691417401;-,189737708347072;,0902085423886292
34; ; ; ; ; ; ;0;0;0;0;1;2;4575,969811;2;1004,856065; ;,974901200053605;1,06466772399648;-1,0818124272581;-1,31462974642337
35; ; ; ; ; ; ;1;0;0;0;1;2;4198,564686;1;217,3351614; ;-,479836586887649;-,649204630821777;,053217366091759;,0971115082945576
36; ; ; ; ; ; ;0;0;0;0;0;0;5534,605358; ; ;0;,994531454287413;,463654992334685;-,862221364416424;-,431252055230525
37; ; ; ; ; ; ;1;0;0;0;0;0;1140,219149; ; ;0;,549323211906218;-,148635966217857;-,837302236292039;-,660196338419919
38;2;2376,191964;1,04958293140785;1,15798218750585;1,00519378730926;,828238289459388;0;0;0;1;1;1;1669,494393;4;175,0623825;4;-,613043673232647;-,354719224333615;-,641696781924237;-,391331973279106
39;3;2014,279263;,488531003114268;,502630098861538;-,655856731147182;-,49015523617789;1;1;1;1;1;1;1775,076431;4;340,4198019;4;-,0319408615759051;-,149182564777363;,037550233650229;,181175970850701
40; ; ;,265391923346005;,192893504827858;,0869860121827271;-,221688057786033;0;0;0;1;1;1;1617,634152;3;733,9066655;3;-,000591177235438053;-,292788103141919;-,0518344335055752;,385217424255645
41; ; ; ; ; ; ;1;0;0;0;0;0;1329,914071; ; ;0;-,163146309606266;,432667980113413;,86093897954208;,327227551698672
42;1;2665,394205;-,0485645012085131;-,269973513833336;-,556628067128489;-,46805783388305;0;0;0;1;1;1;1419,030127;3;242,6592498;3;,321453690195471;,608938214962923;-,0395577919351207;,152798534932634
43; ; ; ; ; ; ;1;0;0;0;0;0;2294,449891; ; ;0;,0388325204897329;-,294436256596576;-,54144364596742;-,540267544080187
44;0;1122,641099;-1,09438248666871;-1,40514625416481;-,317630376062849;-,275697987953898;0;0;0;1;1;1;1110,186966;4;223,4105564;4;-,590042125964119;-,651024174405795;,486863371168192;,542664609995427
45;2;1303,015154;,804207350253033;,857681919716279;-,513859054355739;-,51089310488453;1;0;0;1;1;1;2837,97226;2;142,8729246;2;,948153902510412;1,74247971236099;-,526797410101707;-1,25530593797051
46;0;985,7145427;,248651465506412;,641909814945709;-1,78085345388198;-1,98189201395103;0;0;0;1;1;1;884,3623362;4;170,3988706;4;,201862443653216;,392078997478318;-,952075516745129;-,528351727835646
47; ; ; ; ; ; ;1;0;0;0;0;0;2497,076276; ; ;0;-,374330877012899;-,231625061577419;-1,40915626465289;-1,31361257024316
48; ; ; ; ; ; ;1;0;0;0;0;0;3845,233098; ; ;0;-,881707480510576;-,58000503031433;-,187285372141977;-,437014463285986
49; ; ; ; ; ; ;0;0;0;0;0;0;3172,616444; ; ;0;1,42942375842467;1,73787513489335;-,476099840341196;-,662200254545569
50; ; ; ; ; ; ;1;0;0;0;0;0;2045,105316; ; ;0;1,29650899929302;1,63051169979387;-1,55004673812828;-1,63357414995892
51; ; ; ; ; ; ;0;0;0;0;1;2;3435,242406;1;318,3656244; ;-,709500410280401;-,523171595382489;-,45427006475603;-,628161539663326
52; ; ; ; ; ; ;1;0;0;0;0;0;1006,187764; ; ;0;,831154272093578;,515552324678697;-1,2150269020931;-,849990569432856
53;0;2879,495221;,23244277103842;,164309795176857;-1,30805952322008;-1,42412498461793;0;0;0;1;1;1;1864,573843;4;463,3132833;4;,0106049550354736;,385504770767199;-,954537334673024;-1,17545769488407
54; ; ; ; ; ; ;1;0;0;0;0;0;3092,359136; ; ;0;-,158451406064552;-,184810928681287;-1,23694630327445;-1,36410328886294
55;0;2406,072343;,382963135245056;,238089375705247;-1,6139996475832;-1,76870859784166;0;1;1;1;1;1;1214,694857;3;468,477786;3;,309149100858467;,483880810591622;-,2292526378619;,217823704851073
56; ; ; ; ; ; ;1;0;0;0;0;0;1447,594297; ; ;0;,361150851880585;-,186318327701757;-,0603870447032248;,225011327128302
57;0;689,7515145;,940958364879726;1,06876259566953;-,926658399874195;-1,04639044062808;0;1;1;1;1;1;1084,340077;4;177,4893973;4;,0423131417606516;,014928777344796;-,380961466901736;-,162209669457945
58; ; ; ; ; ; ;1;0;0;0;0;0;1432,265648; ; ;0;,571119899905699;1,0032801020223;-,930805183530277;-1,44951613930288
59; ; ; ; ; ; ;0;0;0;0;0;0;837,967449; ; ;0;,997004992246441;,327280044700714;,0588294061104903;,218015376517199
60;2;2850,606237;,940226849575352;,875669773792976;-1,62996168666069;-1,96283525453491;1;0;0;1;1;1;1429,147446;4;534,2503028;4;,692588924299671;,941817294886944;-,734405948344715;-1,16494667701883
61;0;741,1378624;,692340815857383;,592442845561643;-1,01410112531574;-1,04973899513875;0;0;0;1;1;1;1114,427106;4;194,8999486;4;,904075134841827;1,00712774356427;-,566168745919434;-,566705697341415
