Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;2;2123,155182;-,388733199388599;-,353052817364085;,588372634023858;,544512265966677;1;0;0;1;1;1;1716,69096;3;1097,022966;3;1,92669272889978;,925918293083912;-,352320249898769;-,333559489500714
2; ; ; ; ; ; ;0;0;0;0;0;0;1401,522481; ; ;0;1,7169195817029;,826335192902763;-1,02308464910457;-,620425217098407
3; ; ; ; ; ; ;1;0;0;0;0;0;2179,838918; ; ;0;,58673855999383;,17460033722275;-,377517867121276;-,415412699818939
4; ; ; ; ; ; ;0;0;0;0;1;2;1053,291961;4;432,9039062; ;2,89018163948908;1,76861214965455;-2,59605326036867;-1,71372824854062
5;3;929,8881128;1,85029670604323;1,56546180462282;-,161718661989431;-,280547805376385;1;0;0;1;0;3;1638,102054; ; ; ;1,43238668888088;1,09204904375042;-,710482286635201;-,531207922822288
6; ; ; ; ; ; ;0;0;0;0;0;0;1214,250474; ; ;0;,096263035203872;,0579651810241488;,250326294008168;-,16088623549599
7; ; ; ; ; ; ;1;0;0;0;0;0;1334,210877; ; ;0;,632844379373054;,728384382458477;-,32916390770684;-,661032629167356
8; ; ; ; ; ; ;0;0;0;0;0;0;1173,647243; ; ;0;-,708986540891487;-1,07776074196786;,362204964463416;,738931775483634
9;3;1048,154044;,402957535771841;,609411055710187;,911082303527659;,492520001503728;1;1;1;1;1;1;1457,2514;4;481,7233013;4;,0139622027567437;-,531259590796985;-,282720739465983;-,0888535154899219
10;2;2107,361113;-,0257863219667861;,205209303284625;-,986543611484498;-1,3123165505683;0;0;0;1;1;1;1653,933134;3;587,0443175;3;-1,04327401214416;-,832020486023429;,103409266409597;-,0479352923304933
11;3;1137,822937;1,80475431041844;1,63010960743778;-,472954805651386;-,399923874492922;1;1;1;1;1;1;1037,759847;4;381,0375401;4;-,439064614572466;-,409761652999826;-,209634591617494;-,554467091119497
12; ; ; ; ; ; ;0;0;0;0;0;0;1203,194188; ; ;0;-,452252801394558;-,353153576632277;,0935592856986932;,518282140560148
13; ; ; ; ; ; ;0;0;0;0;0;0;1269,259886; ; ;0;-,738223245281208;-,863140606171548;-,643636162129745;-,184841590214244
14;0;1708,75125;-1,43398534100043;-1,48106780215393;,249311099582542;,144892039988779;1;1;1;1;1;1;1444,320802;4;284,7509408;4;-,557521067548592;-,982777882107096;-,0498427846935011;-,122754356929152
15; ; ; ; ; ; ;0;0;0;0;0;0;1268,343421; ; ;0;-,189792757737972;-,235254005726395;1,13737081548319;,907675766563537
16;0;1989,758302;1,98432571559642;2,0057762069529;-2,0394385489835;-2,13429371377759;1;0;0;1;0;3;2136,687098; ; ; ;,576208499388245;,170728411968135;,149584321910601;-,172426333093933
17;0;1412,405694;,692393131969629;,468239606838081;-,595429815916443;-,361808705889598;0;0;0;1;1;1;1022,644104;4;944,621842;4;-,314005353068892;-,0182901321166295;-1,15257946171468;-1,32262428544687
18;2;1958,834176;-1,42370725362114;-1,30416638681492;1,67212960869144;1,14873643378044;1;0;0;1;1;1;1088,874682;4;385,2885021;4;-,159336262022568;-,319132403773886;-,159185589335702;,00415551130674741
19;0;1763,320893;1,97661529292759;2,0293666790763;-2,09648622352684;-2,18371520002057;0;0;0;1;1;1;1636,335845;4;483,0363961;4;,0888138263886779;,0863600147332916;-,433188848979407;-,420150575415455
20; ; ; ; ; ; ;1;0;0;0;0;0;2469,439073; ; ;0;,0112492904208357;-,0706194420031243;-,17495735025776;,0402249337589543
21;0;1058,994702;,894471651165676;,860043468470252;-,278727295265258;-,118998987882106;0;0;0;1;0;3;1193,612843; ; ; ;-,362880907555732;,0907297358556406;-,00104729110647894;,35870040251975
22; ; ; ; ; ; ;1;0;0;0;1;2;2342,499804;1;896,7499323; ;-,61725240736651;-,500951189180781;-,134550761833321;,03517814453653
23;0;1288,835431;1,7801987593688;1,72752887142419;-1,73471905774066;-1,76692691067762;0;0;0;1;1;1;2078,068603;1;486,431694;1;-,0173283148268408;,425944229883395;-1,05327115346815;-1,49771942849869
24;0;1253,277733;,144120255642007;-,0283817070006875;,254381669017023;,37152255693388;0;0;0;1;1;1;1507,498772;3;536,9248595;3;1,14973455149236;,67127490317665;,388827071075923;-,092453284801886
25; ; ; ; ; ; ;1;0;0;0;0;0;1326,722615; ; ;0;-,59372277479483;-,577931673155063;-,555890302211949;-,296124285551509
26;0;1183,930944;-,863988539996167;-,89698671680106;,450619800891451;,560316148298938;0;0;0;1;0;3;901,8413351; ; ; ;,150290848335843;,416843992276114;-,459907623298461;-,390685289313027
27;2;1632,030003;,779782483491879;,884577522311826;-1,13807617815332;-1,31754914606085;1;0;0;1;1;1;1748,689968;4;1142,753027;4;2,97173291337249;2,56715342779827;-,519190617464103;-,35881819130942
28; ; ; ; ; ; ;0;0;0;0;0;0;929,0440275; ; ;0;-,334576868334742;,339042470122812;,505350899061727;,190156261043115
