Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;3;1797,635733;-,412136042422382;-,545770587149157;,695013847407574;,442063095813484;1;0;1;1;1;1;915,8628014;4;409,8939102;4;1,06984009726599;,776693924492527;,454123107905709;,326177559428952
2;0;931,1731163;-1,08930346187544;-,502615197389511;-,205507808126723;-1,04284295173292;0;0;0;1;1;1;957,8852709;4;501,0954246;4;-,2874602578844;-,252495888771134;-,584641712198389;-,135639247268757
3;2;1655,886309;-1,22750378922975;-,977896835663843;,691296440778854;,864785690530168;1;1;1;1;1;1;1104,672526;4;371,5348838;4;-,558719563430883;-,530618744500812;-,321888639758487;-,233806129560418
4;0;1611,724843;1,4872338832606;,624608073182951;-,4269735990259;1,33901203640452;0;0;0;1;1;1;881,4305421;4;451,068996;4;-,98174893711805;-,888228515194616;,684307877357333;1,00118871088517
5; ; ; ; ; ; ;1;0;0;0;1;2;7831,236689;1;1604,559627; ;-,0278172232860441;,570121725701469;-,114891453137296;-,44837609237668
6;0;1785,724362;-,369447637763473;-,343588441062167;-,153275859107111;-,260351142316415;0;0;0;1;1;1;1576,68096;4;278,9753745;4;-,464326565157345;-,770084087388251;-,463565944790833;,111829422805148
7;2;2977,091135;-,864369965302735;,284165654483825;1,13753492606493;,543435123327105;1;1;1;1;1;1;1118,718504;4;1609,353022;4;-,998562077423621;-,782354203650518;,911515160695961;1,10902592358091
8; ; ; ; ; ; ;0;0;0;0;0;0;6970,212106; ; ;0;-,970743932286543;-,75062306000004;,401212045734828;,56174157014202
9;3;1403,684239;-,792156056861045;-,921886718382561;,550252006471571;,0344396012613221;1;0;0;1;1;1;1021,115105;4;480,292187;4;-,63294576300358;-,531721223011522;-,204576484210075;-,527720154696346
10; ; ; ; ; ; ;0;0;0;0;1;2;1236,677714;2;841,1044437; ;-,11385957339754;,207282622323692;,18175532883977;,0290050390187174
11;3;1534,764809;,534386150597925;-,210358591343709;,837073427221171;,723736757172743;1;0;0;1;1;1;1557,169966;4;1702,196061;4;1,10210044172703;,925765288469454;,0388331162639615;,106213586574687
12;0;1087,071343;-1,02097495258992;-,750033949973036;-,500549750374966;-,621320531860746;0;0;0;1;1;1;1562,462426;4;4505,886254;4;1,9930634403008;1,65425888275956;-,15865677824806;-,279233270498415
13; ; ; ; ; ; ;0;0;0;0;1;2;2353,665416;2;823,5220339; ;-1,24979688081996;-,89757478172932;,255805457194092;-,230017227708075
14; ; ; ; ; ; ;1;0;0;0;0;0;1935,452696; ; ;0;,404884440067131;-,290386230004241;,513136311264353;1,40830882727109
15; ; ;-,053166079973289;-,14143957878;-,93915862951186;-,625144253673676;0;0;0;1;1;1;3134,767155;4;1821,023182;4;1,38627219030408;,379908138765484;-,81107040639463;-,685637139597535
16; ; ; ; ; ; ;1;0;0;0;0;0;4721,518783; ; ;0;1,05143290338274;,724932988295342;,0360779892745482;,0639206062019306
17;0;1437,880118;,122163864283531;-,429517435761426;-,899284263104515;-,256926826161364;0;0;0;1;1;1;927,3358378;4;407,354325;4;-1,11166679527256;-,630435045752107;,149492769646418;,413296509194273
18; ; ; ; ; ; ;1;0;0;0;0;0;2284,465407; ; ;0;,291334561024559;,539313172046454;-,155762676806409;-,67491459365024
19;0;1293,28323;,205077001087959;-,0740594527216488;-,492401785960161;-,271082885189227;0;0;0;1;1;1;2014,345657;1;255,9471934;1;-,567071872642157;-1,0660463284496;-,383504707260466;-,379148774975027
20;3;1814,270535;,352112950984983;,269556674660917;-,0340626093586464;,422015150708283;1;0;0;1;1;1;1423,448842;4;714,0671306;4;-,809505883535136;-,674695556760353;,450643209768958;,361635437577242
21; ; ; ; ; ; ;0;0;0;0;1;2;5850,877581;1;525,6121401; ;-,917647939968062;-,959240167942336;,29900926856755;,118572796781217
22;3;1323,885941;-,0135015408083946;,422395253785634;-,197242183575963;-,484073131113036;1;0;0;1;1;1;4502,891544;2;4270,357527;2;1,23911153377652;,800711025342215;,0556102671695518;,303878658441787
