Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1; ; ; ; ; ; ;1;0;0;0;0;0;1386,538832; ; ;0;,545849776605118;,907488525616797;-1,27904093946903;-,906967300661104
2;0;1713,036686;,345699776633228;,329291979013125;-1,46091665464808;-1,51152384439581;0;0;0;1;1;1;2435,082048;4;431,9379057;4;,725985428934418;,664833244009692;-,762764733146829;-,715647060650928
3;2;2136,068928;,497290542190119;,735292014111375;-,753132568438309;-,733468385302406;1;0;0;1;1;1;1693,83733;4;310,5620651;4;-1,53315138048819;-1,52417963970348;,148268848728917;-,0590330105409018
4;1;2119,499616;1,04521505615641;1,16199207543264;-,490345695693387;-,737873860406854;0;0;0;1;1;1;959,969784;4;313,5897818;4;-1,57619892707795;-1,50125296844713;,553440300033837;,155778344702162
5; ; ;-1,40478301497719;-1,47617568105851;-,615592408832005;-,85537446472145;1;1;0;1;1;1;1858,691696;4;478,5737243;4;,000116166880278584;,0262220749181396;,276636527075197;,033394196497258
6;1;1401,791492;,947163267358642;,939215686512651;-,831981362413188;-,688651475655209;0;0;0;1;1;1;1238,141903;4;387,1257733;4;,253073898720619;,277597839798345;,273425271868928;-,0606776692643641
7; ; ; ; ; ; ;1;0;0;0;0;0;1189,544483; ; ;0;-,942249546371555;-,777049796561231;1,05461357820652;,780728582383388
8;1;1590,701856;,403341379083721;,340000349345207;,351620466610353;,289108853711012;0;0;0;1;1;1;1469,335339;4;410,5556183;4;-1,89275678922933;-2,03964740597648;,723490639639559;,672166930743479
9; ; ; ; ; ; ;1;0;0;0;0;0;1165,500114; ; ;0;-,0291775928579439;,141640156881959;-,249019342993139;-,238748995200869
10;1;1353,878725;-,140942413822512;-,208324837338047;-,549899134350666;-,463628089408272;0;0;0;1;1;1;1567,013844;4;392,9605427;4;-,411534671148493;-,569547127908669;,403342062539384;,0555262160560992
11;3;1712,909353;,0865133154763801;-,0458332298522863;,0846537698671011;,307200341638016;1;1;1;1;1;1;897,9990932;4;388,1091398;4;,838065821806664;,605735863049445;-,234456521498817;-,354485027800951
12; ; ; ; ; ; ;0;0;0;0;0;0;1333,478738; ; ;0;-,148794421709085;,198286729148632;-,586125806288257;-,645374550660617
13;0;1040,847664;-1,54507230232257;-1,68189789105372;-,195121334098345;-,106910397227773;0;1;1;1;1;1;785,169817;4;393,1988471;4;-,847132438335119;-,841698619809379;1,29027986283632;,561433831811861
14;2;1833,079524;1,57495437958119;1,29946458512231;-,719918723507706;-,518756108866799;1;0;0;1;1;1;1063,347709;4;443,9936067;4;-,675510116075723;-,884751499641145;-,787393619243821;-,904175779950986
15;0;1771,078993;,0553113191924966;,319498794600203;,605357464149929;,237751863624698;0;0;0;1;1;1;2952,670228;3;1103,42743;3;-,307227218997545;-,225967515338369;-,779503730367117;-,816527123867012
16;1;2216,895161;-,214720818646427;,108550062082357;,108604266138655;-,301280131357923;1;0;0;1;1;1;1802,339922;4;408,001303;4;-1,01317069622642;-,992814365438776;,154563646479042;-,0501322497464597
17;1;1559,225295;-,478779806335011;-,451394046999383;,000962145253965874;,0226043971253318;0;0;0;1;1;1;1083,334488;4;410,0443704;4;1,41237076822291;1,64039521577186;-1,46207792192401;-1,70844264891119
18;1;2111,318237;,863862524200011;,821782020307402;-,121680811098502;-,25468627851872;1;0;0;1;1;1;1224,320889;4;474,9202581;4;1,07976739539135;,702275256008519;,152699806328198;,793928783436829
19;0;1065,337594;-,430963663573311;-,242554644255722;-,0268892815262954;-,190850322962547;0;0;0;1;1;1;2767,605532;4;992,4654597;4;,837534830971046;,862265456562809;-,820966300584562;-,748933953498292
20; ; ; ; ; ; ;1;0;0;0;1;2;1801,798204;3;530,5282534; ;-,354123993920052;-,184314189425041;-,133229614557864;-,24762430769739
21;0;1396,319706;,154080726658333;,22282504149403;-,333783416508539;-,634592233271711;0;0;0;1;1;1;1245,315731;4;552,4147326;4;-,76266657736169;-,904108156788027;-,375544017110012;,10124628553634
22; ; ; ; ; ; ;1;0;0;0;0;0;1759,21324; ; ;0;,332254140930382;,111112268487167;-,0400541025775065;-,151224984770811
23;1;2258,469829;-,51262189754016;-,484693530745564;-,147543091216417;-,217218644219202;0;0;0;1;1;1;1191,084;4;579,1734624;4;,513724158108188;,360393279506402;-,82952054157057;-1,07659865495208
24; ; ; ; ; ; ;0;0;0;0;0;0;1113,293489; ; ;0;-,571149456712139;-,482851369308918;,223740513662954;,316499160550952
25; ; ; ; ; ; ;1;0;0;0;0;0;1659,195631; ; ;0;1,06104325880805;1,32691139617045;-1,28754732240224;-1,52971107800901
26; ; ; ; ; ; ;0;0;0;0;0;0;928,280751; ; ;0;,82544218169413;,87997543623392;-,46500736670517;-,459979856650134
27;2;1464,982602;1,27056950923;1,55439877476344;-,494257490702638;-,42070610149232;1;0;0;1;1;1;1276,771912;4;419,3026407;4;-1,33554626592218;-1,24947413838789;1,38387093005387;1,33030564203759
28;0;1094,27712;-1,00231628190399;-,96335183048897;-,366779909286244;-,505128411298915;0;0;0;1;0;3;946,628907; ; ; ;-,534473720980156;-,760936365135509;,0937894330232681;,402271628574662
29; ; ; ; ; ; ;1;0;0;0;0;0;3305,287616; ; ;0;,0501911281908974;-,0125692783937272;,514951104322626;1,03725994463823
30;0;998,0557955;-1,40769671556052;-1,34902276145475;-,385127316452871;-,775189813259518;0;0;0;1;1;1;5589,3455;3;542,8745383;3;,459647646060206;,382504334636038;-1,03700372615755;-,720940707379023
31; ; ;-1,03058431411998;-1,05985691135485;,227973155021113;,144778241943585;1;1;1;1;1;1;3374,988927;4;998,7717062;4;-,921451951026847;-,969509034621362;-,192182943052334;-,0867529880279708
32; ; ;,802761992058169;,794459434306687;-1,10720810663959;-,900274180993337;0;0;0;1;1;1;1456,313271;4;288,0543266;4;,210699832844908;-,0215546042282703;-1,34058145518407;-1,18033147782999
33;2;1707,15211;,99697288308244;,970532864218053;-,215550225249535;-,217330011147085;1;0;0;1;1;1;953,2411325;4;295,5184181;4;-,194712422261419;-,298561686117291;,82601532515499;,628449838609183
34;1;1625,235048;,165074373902136;,486646960719704;-,804734601251351;-1,0271884571802;0;0;0;1;1;1;1953,278658;4;420,4162247;4;1,48642827461636;1,65575372808494;-,839344519357817;-1,17177829943394
35; ; ; ; ; ; ;1;0;0;0;0;0;814,7076957; ; ;0;,711546191262133;,47262476823095;-1,1114384363435;-,966212463843133
36; ; ; ; ; ; ;0;0;0;0;0;0;1453,711487; ; ;0;,92206493811461;1,16953666997293;-1,37780753081388;-1,5907074084098
37; ; ; ; ; ; ;1;0;0;0;0;0;1084,643078; ; ;0;-,371522711825178;-,402410483647104;-,686691013303149;-,712405189773832
38; ; ; ; ; ; ;0;0;0;0;0;0;2322,01094; ; ;0;-,0873945983772262;,119854264327759;-1,13442062923183;-1,31343395627149
39; ; ; ; ; ; ;1;0;0;0;0;0;1740,770147; ; ;0;-,0815543721274399;-,0157060133714313;-,264289149452731;-,331834911483757
40; ; ; ; ; ; ;0;0;0;0;0;0;1631,921163; ; ;0;2,04641637963762;2,0286788922889;-,393923749420674;-,577405817517268
41;2;2948,38314;,37196973502206;,406128671859396;-,903995516028914;-,867201910493922;1;0;0;1;1;1;2092,045909;4;319,3681023;4;,37789837283659;,517890108419745;,27382834004153;,288553063005122
