Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
57; ; ; ; ; ; ;0;0;0;0;0;0;1856,257329; ; ;0;1,12939475730868;,93751736853021;-,557490045516149;-,606287497126751
58; ; ; ; ; ; ;1;0;0;0;0;0;2183,104169; ; ;0;1,30652275833751;,868358576481739;-,949569510410371;-,738819935120779
59;0;1548,209245;,539848329110168;-,121499340537115;,0198285404643284;,0404031635047532;0;0;0;1;1;1;2619,212568;2;1500,345875;2;-,0712609558801032;,733051549175064;,0850334924773078;,0397829641858508
60; ; ; ; ; ; ;1;0;0;0;0;0;1223,956536; ; ;0;,106795344539972;,110699645610385;,256887248876346;,240364232517093
61;1;2187,363711;-,357530652478399;,114564091892985;,579669499447665;-,0671165968459667;0;0;0;1;1;1;3311,34378;3;784,5214448;3;-,90726633189094;-,49302424241927;,342504613598894;,130847302639733
62;2;1575,623728;-1,13129602492331;-1,34225537933854;,381888805568911;,939137009867973;1;0;0;1;1;1;1338,89387;3;2148,039514;3;-,565857484628954;-,332927284758418;,0582221679751119;,0993065186649922
63;0;1574,130707;,300549500905493;,238596776183687;-,926428490453269;-1,38518910375433;0;0;0;1;1;1;2552,825307;2;293,1836091;2;-,530568312876045;-,383802540192867;-1,36558132199596;-1,07613362457371
64; ; ; ; ; ; ;1;0;0;0;0;0;2181,454935; ; ;0;-1,11713854314554;-1,659169831539;,23457123210757;,493778387307597
65; ; ; ; ; ; ;0;0;0;0;0;0;1127,40421; ; ;0;-1,92253480123877;-,889305233968373;1,74904843950396;1,18342755136601
66;2;1623,82022;-1,08792602358449;-1,42452733676263;,0357101779049633;,0972005163336238;1;0;0;1;1;1;1692,992514;3;542,7047477;3;-1,18660935552718;-,377258537240341;,717396244248584;,448942077970965
67;2;1657,461448;,0282294035370818;,148388151780384;-,112648848840567;-,0991123291718852;1;0;0;1;1;1;2251,906585;2;282,2887893;2;-,805462003797094;-1,40814918923223;,226924868401153;,467353520569916
68; ; ; ; ; ; ;0;0;0;0;0;0;945,5375676; ; ;0;-1,11156984982086;-,574090293084408;-,13989460330287;-,157952019355315
69;2;2411,819031;-,482307149807573;-,0510948152072975;,214060047724842;-,00535094243450208;1;0;0;1;1;1;2650,635887;2;373,1383979;2;-,306648727072467;-,582827155758233;-,564719789358918;-,515459126150485
70; ; ; ; ; ; ;0;0;0;0;0;0;1589,682564; ; ;0;,136774115712683;,192868612092151;-,740105555657621;-,70434836228201
71;2;1647,154637;,583729525720126;,208824535062675;-,870925977245888;-,0697477744858153;1;0;0;1;1;1;2113,332483;3;387,9802165;3;,936888907454046;,812319636848795;-1,13612642705916;-1,03618410197153
72;0;1337,19207;-,963175896582199;-,852670258920958;,0576934118409059;-,292094854225223;0;0;0;1;0;3;1025,589219; ; ; ;1,94085576836613;1,77957186190803;-1,66663745862929;-1,46561007838459
73;3;1444,340574;-,836161812171903;-,953255732182334;,141261734260151;,0515104157732333;1;1;1;1;1;1;1112,023552;4;1005,723044;4;,597297758880212;,818655879232981;-1,57152561549672;-1,18722941811656
74;0;2054,36655;-,669557004950599;-,569266593054202;1,06657002619643;,875952105751249;0;0;0;1;1;1;2045,518901;2;863,0027643;2;-,84199397608522;-,248244683703686;,340965074689182;,34682942678295
75; ; ; ; ; ; ;1;0;0;0;0;0;1478,643156; ; ;0;-,294924075475482;-,835072143129427;-,210273365962458;,0646324930096301
76; ; ; ; ; ; ;0;0;0;0;0;0;2433,731532; ; ;0;,23309019303337;-,170422124305434;,0836311925494512;-,0687170571174557
77; ; ; ; ; ; ;1;0;0;0;0;0;1393,277521; ; ;0;-,264673114891526;,318503095917227;-,2807524011245;-,121751029347688
78;0;1665,538833;-,523062351052145;-,504386606528064;,253656143412757;,025047570778672;0;0;0;1;0;3;1009,211388; ; ; ;,824746165443214;,572489935761372;,370093754572601;,356791925159924
79;0;1799,085732;,397818566799189;,0419358103256364;-,524395410705296;-,229516066469553;0;0;0;1;0;3;1549,631721; ; ; ;,178774796019238;-,181064924806181;-1,20989831357228;-1,25163808943893
80; ; ; ; ; ; ;0;0;0;0;1;2;2438,51726;2;313,7018443; ;,13534137591801;-,164815925261381;-,803363042325652;-,846630381982977
81;1;2095,233612;,712780934032384;,372820229926663;-,219210367100368;,0597587611190933;1;0;0;1;1;1;2127,56073;2;1271,685199;2;-,593414585868149;-1,17956221624289;,419774922903628;,720031403840649
82;0;1199,04455;-1,08134031235279;-1,36254508443863;-,280022996453323;,0869652214004011;0;0;0;1;1;1;1991,566321;3;405,2590005;3;1,10912573151224;,882311897571419;-1,36124192736489;-1,11148207368326
83;2;1825,160186;-1,11163208285178;-,905754001115819;1,19525862636382;1,0649131450221;1;0;0;1;1;1;1733,71851;3;543,6470752;3;-,196019714185212;-,344340467512568;-,138884165008915;,124457376137889
84;0;1809,305625;,0371369541179395;-,0810117641413951;-,548131561171119;-,884103051607532;0;0;0;1;1;1;2175,139288;3;572,9278657;3;,219940996990471;-,257871428870221;1,07298278528111;1,05455260927504
85; ; ; ; ; ; ;1;0;0;0;0;0;1554,371263; ; ;0;,188256332453164;1,09564530194339;,140736795907612;-,489653747062296
86; ; ; ; ; ; ;0;0;0;0;0;0;899,0193683; ; ;0;,396704546039232;,0361613363462703;-1,20530199385535;-1,26170445431371
87;1;2115,556008;,633762357601406;,680726453482661;,14006372166383;-,141998715853749;1;0;0;1;1;1;1459,479075;4;1171,420655;4;-,292758093006618;-,867672536332708;-,658742133185981;-,472699089505383
88;0;1260,612475;1,32513477848781;1,26525789499939;,137226750021661;,378169287722384;0;0;0;1;1;1;1847,607994;2;368,215715;2;-,089634445716701;-,0174354308833679;-1,28980616321875;-,858630450430172
89; ; ; ; ; ; ;1;0;0;0;0;0;2583,854759; ; ;0;,218925737903129;,891276235320067;-,0217716670952281;-,376033586789102
90;0;1420,926615;3,0303415702777;2,10052008851051;-2,43099086813247;-1,58139051960569;0;0;0;1;1;1;2302,92249;3;696,7621443;3;,275985612592588;1,14809438159552;-,186810564547004;-,362138196018479
91; ; ; ; ; ; ;1;0;0;0;0;0;1467,707923; ; ;0;-,0241244402081197;,326934397526907;-,212851770435982;-,4859321169745
92; ; ; ; ; ; ;1;0;0;0;0;0;1408,722006; ; ;0;,495514419779113;,883612145099111;,500035347848279;,0789095436272229
93; ; ; ; ; ; ;1;0;0;0;0;0;1035,48462; ; ;0;-,282037612672184;-,315186958623075;-,116301158386623;-,335581239283072
94; ; ; ; ; ; ;0;0;0;0;0;0;1560,112468; ; ;0;,367146746675876;-,0619936818256722;-1,70152604999911;-1,47479575588033
95; ; ; ; ; ; ;0;0;0;0;0;0;1440,387802; ; ;0;,0616453289128282;-,534108970633311;-,981072816700451;-,873370835278741
96;3;1208,59539;-,306722922057143;-,233316273606537;,150943102629882;-,08534699845215;1;0;0;1;1;1;2059,529367;2;645,4434631;2;1,71481117683748;,832683812147204;-,80121104015761;-,223634082360182
97;0;1380,340517;-,289130455622395;-,240971873487259;-,0708902473945022;,15649036848147;0;0;0;1;1;1;2370,834859;2;497,5625133;2;-,11542135162412;-,550882982650803;-,785088860832831;-,535638288388038
98;3;1557,078202;-1,01516337490616;-,671216030215326;1,38354892059253;,34967669037157;1;0;0;1;1;1;1786,556526;4;1463,436017;4;-,875887528152538;-,40765496993867;,598302400252762;,549950413495738
99;1;1774,799696;,0866412987104505;,310834267145917;,321983852748435;,473530808931382;0;0;0;1;0;3;1343,407933; ; ; ;,031765665835553;,118545225944885;,876567271989472;,708504786849187
100;3;1725,157652;-,427389863321805;-,678293262650801;-,708587975374406;-,504905967366569;1;0;0;1;1;1;1753,81722;3;1201,344525;3;,101774673642344;-,343646820184405;,0961603656942814;,0941027988533271
