Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1, , , , ,1,0,0,0,0,0,1066.029106, , ,0,.0453585341361045,-.0332307628925478,.323294767224075,.53193597754155
2, , , , ,1,0,0,0,1,2,1476.736679,2,426.2843107, ,-.192186528915866,-.147765368882965,.270737996563759,.168515898122148
3,.305937558900208,.0266914743044271,-.198209542100386,-.374333786978388,1,0,0,1,1,1,3430.459995,2,775.6437332,2,-.587998051061452,-.786012430698878,-.11634623518249,.00863047027796238
4,-.245473660566535,-.291030987186578,.39474357331072,.2627899629485,1,0,0,1,1,1,3291.239285,3,537.5180861,3,1.31253566175218,1.53222481246833,-.340212832856014,-.52188711373228
5,-.618786956058074,-.509252475260829,-.405708725547727,-.324518117547791,1,0,0,1,1,1,2001.850124,3,350.6623681,3,-1.06179057912802,-.981752002325544,-.341197277003906,-.305692173867424
6,-.509674775875444,-.3992238943329,-.05765868789532,.0729158428943492,1,0,0,1,1,1,985.3985228,4,238.2200528,4,-1.43487543600643,-1.35598743119509,.0175753958105225,.00394985064378628
7,-.492369885258805,-.475627464916152,.354090810684008,.428027522153447,1,0,0,1,1,1,977.2886688,1,258.4736794,1,1.2991441535702,1.39401907539014,-.084836266850004,-.0574752023479033
8, , , , ,1,0,0,0,0,0,1167.641391, , ,0,.633198882266759,.913829254636219,.34168484571791,.335374132762415
9, , , , ,1,0,0,0,1,2,2892.854457,3,904.6242491, ,-1.31748426299679,-1.20960400350102,.669726901816936,.505916081588895
10, , , , ,1,0,0,0,1,2,1238.366309,2,346.6287702, ,-.138761217239564,-.212408713336665,-.627187867206753,-.544384810617275
11, , , , ,1,0,0,0,0,0,1408.549758, , ,0,.519045930737295,.66248249308951,.422020796463261,.224903955166222
12,1.27440831643164,1.12789514963905,.18789963758699,.192724106988353,1,0,0,1,1,1,1523.137168,2,326.1095727,2,.182890655404715,-.0612628021812045,.139998919078273,.194367167233812
13, , , , ,1,0,0,0,0,0,927.1942437, , ,0,1.18429268100933,1.31203166224709,-.099703924213826,.0204969323048998
14,-1.07095442824933,-.835113094405567,.366868459164717,.259497841755311,1,0,0,1,1,1,867.6168862,4,197.3102737,4,1.36465510275121,1.45390815437282,-.191807619041123,-.301427510976913
15, , , , ,1,0,0,0,1,2,2300.704898,1,228.3794979, ,.842076835217948,.843601469645217,-.356097335540663,-.381896176283094
16, , , , ,1,0,0,0,1,2,1738.528923,3,1017.162144, ,1.01658610571181,1.27136778155856,.688634709691071,.680335341490259
17, , , , ,1,0,0,0,0,0,3330.820248, , ,0,.956386622212151,.947561102404,.15096430326342,.184052325005245
18, , , , ,1,0,0,0,0,0,1164.764373, , ,0,-1.37030575813385,-1.16496585525499,-.152601251883288,-.284071352359415
19,-.657645725836437,-.483667367271828,.480767397458579,.532577487987756,1,0,0,1,1,1,1036.724581,4,441.8439403,4,.737162181948204,.585757912591151,.561216924778074,.842273054392669
20, , , , ,1,0,0,0,1,2,2358.818729,2,283.2949322, ,-.341590060785146,-.382303021306175,-.0684447202782569,-.00389912035703882
21, , , , ,1,0,0,0,0,0,1121.610071, , ,0,.409923950692627,.630118229547151,-.416155150082064,-.500246853516266
22,.300306905428855,-.285084923022836,-.31477859060945,-.353275742996729,1,0,0,1,1,1,822.0753333,3,830.5730737,3,-.875806640055274,-.828271549750087,.132729853807669,-.0765259263848374
23,-.823269851843016,-.733114208248179,.214454117897356,.199394559722327,1,0,0,1,1,1,2380.188202,2,489.3375031,2,.128610418098928,-.0192728223148217,.754973353728563,.942509937510953
24,-.268291308246717,-.232845258350248,-.321433137660255,-.206729015869329,1,0,0,1,1,1,2268.770323,4,363.1551034,4,.803642150250623,.845914201783062,-.0203987788691323,-.0595469261141338
25,.806724224807353,.646112646799739,.334787553369465,.239240889055042,1,1,0,1,1,1,1066.508609,4,203.7558195,4,.069315754588142,.0484650696304139,.798009177599302,.727274922137369
26, , , , ,1,0,0,0,0,0,1911.65033, , ,0,-.164266196912567,-.222471010399435,.691586146321441,.891127900912305
27, , , , ,1,0,0,0,1,2,2000.953662,1,429.2626814, ,-.329474779654141,-.232990038081199,.0110279460243765,-.0140238425390135
28, , , , ,1,0,0,0,1,2,1507.540653,3,301.4204638, ,.869899446662449,.876445616414072,-.00956230998906793,.111054919219128
