Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;1;2477,681325;,949807086487541;,964602883604727;-,73651613659545;-,900567713838601;1;0;0;1;1;1;1030,28828;4;228,781088;4;,121090726136105;,1578965308379;-,410011955461532;-,563112522566926
2; ; ; ; ; ; ;0;0;0;0;0;0;943,3190822; ; ;0;-1,1220834629166;-1,27449077791251;-,472730158935089;-,446782310192847
3;2;2184,090158;,196646314507865;,279750856932127;-,0541122070249793;-,288666705862135;1;1;0;1;1;1;1060,031523;4;199,525681;4;,249855794952504;,398134355102128;-1,02470647602594;-1,02158757464413
4; ; ; ; ; ; ;0;0;0;0;0;0;1142,783393; ; ;0;-,233651049517204;-,356410074570395;-1,05182310725964;-,988188810897333
5; ; ; ; ; ; ;1;0;0;0;0;0;1055,412957; ; ;0;-,288354653101709;-,176566486847207;-,564854188896464;-,791213164730194
6;0;980,3970027;,522919479106887;,392096040700061;-,996647201087569;-1,20185233625523;0;0;0;1;1;1;1618,420298;4;312,7475764;4;1,65605352924954;1,76598017806762;,733275663241848;,680169502662869
7;2;1764,187739;,521010818788301;,504089101177621;,0348431183534207;-,20365620839314;1;0;0;1;1;1;808,4152655;4;197,7128939;4;,798393194058542;,445275635771435;,829929328839562;1,29182108488346
8; ; ; ; ; ; ;0;0;0;0;1;2;1678,99792;2;737,6877034; ;,728380879358377;,797389923785159;-1,01019700927986;-1,05897742784022
9;2;1786,891729;,769143553294432;1,09676351623528;-,00121499779641576;-,363236830429594;1;0;1;1;1;1;783,9096044;4;218,0426017;4;,0802054110420074;,110110022239915;,082938728938144;-,0311739843303729
10; ; ; ; ; ; ;0;0;0;0;0;0;1354,80026; ; ;0;1,30312450009679;1,32613970821235;-1,53684915991077;-1,66324999054843
11; ; ; ; ; ; ;1;0;0;0;0;0;7321,633184; ; ;0;-1,06260448427064;-,714742658116554;-,0964339500148965;-,595234366706612
12; ; ; ; ; ; ;0;0;0;0;0;0;2015,204172; ; ;0;-,30668844999978;-,0614867661630746;-,84639870332166;-1,07981214364477
13;0;869,0526091;-1,15606743697666;-,981814646094367;-,726030658449131;-,938632737476315;0;0;0;1;0;3;1006,25089; ; ; ;,0831591171426904;-,266169797166687;-,540278387538925;-,546066278521502
14;2;1599,69246;-1,45872269875493;-1,26941506311945;,806216159482124;,650446109564998;1;0;1;1;1;1;914,2070432;4;844,6626679;4;-,304174175064737;-,445824742485048;,703026292494439;,533755618687048
15;0;1053,667382;1,00708317231247;,714325807054602;-1,60326101335779;-1,5203778647847;0;0;0;1;1;1;1087,220443;4;480,2174138;4;-,603631866742653;-,542592946119937;-,968381523334488;-,875480705715688
16;0;1831,234543;-1,10678656039506;-1,06574596007061;-,27114767335625;-,439299098104524;1;0;0;1;1;1;1164,923322;4;224,0124188;4;-,426760227742003;-,30640233176439;-,0374103886091281;-,127204977993204
17; ; ; ; ; ; ;0;0;0;0;0;0;2205,403447; ; ;0;,00389383942932269;,425345763317063;-1,76589875142411;-2,13412972681491
18; ; ; ; ; ; ;1;0;0;0;0;0;803,705932; ; ;0;-,99444023414272;-,970859148509731;,606484157649424;,391762287293526
19; ; ; ; ; ; ;0;0;0;0;0;0;1463,9854; ; ;0;,287915303164325;,361601304838651;-1,10048568480104;-1,27681196168736
20;3;903,1462809;,407370250034641;,616762602717707;-1,27761970434073;-1,57532024940532;1;0;0;1;1;1;1098,547154;4;460,8072496;4;3,11186667486324;3,52398134204673;-1,90284624735744;-2,16556508969181
21; ; ; ; ; ; ;0;0;0;0;0;0;898,9891896; ; ;0;-,262865786648729;-,132031256643084;-,103498536671972;-,19683708553956
22; ; ; ; ; ; ;1;0;0;0;0;0;1168,579686; ; ;0;,772335288411056;,490380570222275;-,0758607599077394;-,0349900308195464
23;0;1283,980722;-,815748694686314;-,716874106727283;-,915532221298405;-1,12484842808172;0;0;0;1;1;1;1031,832292;4;228,0183831;4;,651039135359917;,715137866003854;-1,31436017904045;-1,34220526436314
24;0;1242,112713;-,290645505777714;-,268721640211914;-,248896713141712;-,196336702861601;0;0;0;1;1;1;1164,707789;4;259,7976439;4;-,205860560097664;-,398019218678375;-,370595872149674;-,310899951204761
25;2;1933,358718;-,0633454370090907;,0562226615705916;-,122780443189346;,053168963685468;1;1;0;1;1;1;937,8617977;4;270,2811468;4;-,112188527026356;-,13969457532742;,30941200380165;,328612646534522
26;0;1078,105595;-,293399047839854;-,45460573678067;-,958329602621794;-,683277886780141;0;0;0;1;1;1;1353,785137;4;271,617965;4;-1,04473242468875;-,975320309842786;,232658801024556;,1632788915398
27;2;2019,178242;1,82812097576482;1,33151799723189;-1,31168934544662;-,598315661611986;1;1;1;1;1;1;1720,312274;4;592,2958935;4;-,837978945947754;-,661762741505214;1,83094556830638;1,11639005690908
28;0;918,4062926;1,25527146380408;1,26480336304564;-1,56482537484985;-1,90898731988065;0;0;0;1;1;1;1243,067852;2;253,0160498;2;1,12514930147509;,779299692198369;-,378621625113998;-,388283793270433
29; ; ; ; ; ; ;1;0;0;0;1;2;1245,457639;2;199,3390139; ;,827090800266713;,700222529684505;,721250789254864;,744245599272454
