Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,filter_$
1, , , , ,1, , ,0,1,2,1831.754582,1,380.2526952, ,-.193144838190821,-.0105044371942191,.0118050699992517,.124384035348041,0
2,-.534774227631968,-.206074245506997,.42865554209376,.275540051218261,1,1,1,1,1,1,1273.828062,4,363.5842752,4,-.727041310329013,-1.03085209741936,.134324900747081,.0565417551528358,0
3,.477473974491281,.524289436936967,-.257614453177657,-.341777282686054,1, , ,1,1,1,2112.350076,3,838.1055099,3,.17300764175562,-.520257134264453,.252383403607874,-.0735155971247171,0
4,1.45063204894527,1.61894583653422,-.0369779437278182,-.425058570453728,1, , ,1,1,1,1738.037578,2,793.9415257,2,.798759279574214,.991493966446159,.360291526288471,.184770028928558,0
5, , , , ,1, , ,0,1,2,989.6034194,1,657.1080669, ,-.951415433321718,-.766595983883145,.157808662085613,-.113143665294296,0
6,.999993814777193,.829027585820498,-.3069951482252,-.122777227351897,1, , ,1,1,1,1263.450271,2,1389.934806,2,-1.41478425723664,-1.52844142905177,.167443068561922,.175083452531645,0
7,.655621392570572,.586568308144133,-.158174109359551,-.346700116512721,1, , ,1,1,1,1242.144304,4,835.5133075,4,.504023546905164,-.221383229201328,-.124926888135011,.271162706533377,0
8,.614587597571764,.35106194719629,.00726748339884387,.111284174961695,1, , ,1,1,1,1104.932374,4,888.7682824,4,-.334728353349309,-.602253319947925,.0718161922957224,.122207603683776,0
9, , , , ,1, , ,0,0,0,3768.548718, , ,0,-.977591259567784,-1.37018559943149,-.376668426809044,-.729181116572182,0
10,1.01730139793386,.669476867064931,.545000719819689,.69671159226885,1, , ,1,1,1,1078.054551,4,494.5844766,4,-.415216117225106,-.693496892509549,.21347484473726,.255856998361744,0
11,.142260075656902,.703130966559973,-.0950646382012202,-.86646496785185,1,1, ,1,1,1,1087.859825,4,457.008125,4,.2170417853542,.615799057055684,.374124956374378,.428677977067914,0
12, , , , ,1, , ,0,1,2,1271.907163,1,1072.672892, ,.378502960226957,-.0741493588520869,-.0313305069721518,-.154541742265263,0
13, , , , ,1, , ,0,1,2,981.288614,3,1466.639559, ,-.612483438065061,-.578307236889664,-.233231884476954,-.419802868453939,0
14,.768935725407632,.746974327416253,.080932147971772,.416805288844325,1,1,1,1,1,1,1261.63682,4,679.1129215,4,-.773676767582771,-.921027572496885,.282468721356958,.548986361890402,0
15,.432889878057199,-.0978583020772702,.388600125094167,.889604296157117,1, , ,1,1,1,1424.28229,3,556.8467297,3,.0821857400567571,-.401453402855098,.0601811960826066,.189178574933058,0
16,-1.35237265433634,-1.3191046200323,.9842134731645,1.18985310524438,1, , ,1,1,1,1401.158382,4,404.1008297,4,-1.11921955877497,-1.31397739655513,.271081583130726,.151428770672527,0
17,-.0378171030412398,-.0418243972102187,-.020054987047691,-.351323716233002,1, , ,1,1,1,1051.145616,4,388.3866045,4,-1.58550760896417,-1.51309041534175,-.315962815748492,-.100616770280405,0
18,-1.03884569819558,-.619863545137515,-.13495333828088,-.310505088444288,1, , ,1,1,1,979.1804048,4,1048.325369,4,-.883151481135545,-.459018448935445,.170366620242458,.251825160341034,0
19, , , , ,1, , ,0,0,0,2611.87795, , ,0,-.662913235959155,-.475042762792238,.0257350585055429,-.248843123722545,0
20, , , , ,1, , ,0,1,2,7341.60508,3,1922.411748, ,-.0620948721541319,-.324020848088137,.112595908799673,.359926632756361,0
21, , , , ,1, , ,0,1,2,1313.903922,2,2712.379199, ,.0981319237882329,.334207894212477,.022290535930657,-.0861755826209422,0
22,-.365724252470118,-.22390495055918,.514152363339456,.697360602605999,1,1,1,1,1,1,1083.687347,4,434.8366421,4,.915656117309007,.650935607332274,-.150360318677043,.252495226011135,0
23,-.968708593495735,-.891595097873206,.355650219215955,.138818555725546,1,1, ,1,1,1,2112.423205,4,784.7892741,4,.0398369449128745,.440663654651005,.338784217867397,.241894070106831,0
24,2.16865760905906,2.40442282043098,-.144703414950639,.518898164676313,1, , ,1,1,1,3804.469422,3,798.6692001,3,-.712873108462548,-.360662003250599,.715045177335647,.560782482581176,0
25,-.92373674524591,-.90510358831424,.0065017962690247,.0661216955718609,1, , ,1,0,3,4121.298018, , , ,1.54669016597381,1.49180084015657,-.558588120296646,-.368335034091357,0
26, , , , ,1, , ,0,0,0,2609.779684, , ,0,-.753824084716081,-.492875644862823,-.186919599743125,.0699015589220413,0
27,-.81945877487149,-.881164885563786,.355115219875248,-.0602253462394725,1, , ,1,1,1,1316.060884,4,412.9201556,4,.954168109894693,1.37974732526671,.391751732025532,.474280695756556,0
28,-.789903797021654,-.597523725232097,-.0154727699233561,.321587836968922,1,1,1,1,1,1,1007.802721,4,816.4059976,4,.709100905821394,1.43084864242994,-.155443020045954,-.383066758051997,0
29,.618928127391019,.448613425101512,-.266696353300795,-.00942270580822718,1, , ,1,1,1,1987.436194,4,587.762962,4,1.91327302453772,1.56111180195669,.430671163044852,.909575763597146,0
30,1.84460343653344,1.52195495888926,-.500134398962758,-.254701394231986,1, , ,1,1,1,1030.351867,2,306.2039713,2,-.893768964527115,-1.30821288749904,-.169761412269325,.154501634144568,0
31, , , , ,1, , ,0,1,2,1361.942604,1,562.4150578, ,-1.1978048356172,-1.23924256736801,.258342087541792,.201090741406799,0
32,-.218272217053459,-.559585956579883,-1.04429253572292,-.559227894749638,1, , ,1,1,1,2485.420999,1,1061.574404,1,-.0164794071753459,.709941693005097,.295330427041582,-.274568525008301,0
