Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1, , , , ,1,0,0,0,0,0,1955.908788, , ,0, , , , 
2,.757730049669703,.628982326378348,.583509181543574,.583357233975939,1,1,0,1,1,1,1219.998178,3,445.4893268,3, , , , 
3,.777530100203524,.739927567195859,-.236246756796648,-.23316394965358,1,0,0,1,0,3,1569.705649, , , , , , , 
4,-1.61387600315848,-1.19016173515522,.622601589007768,.430360168009847,1,0,0,1,0,3,1685.380654, , , , , , , 
5, , , , ,1,0,0,0,1,2,1889.451877,3,444.7973146, , , , , 
6,.163220840051794,.0146677913355759,.253169876911014,.53575814678649,1,0,0,1,1,1,1939.624238,4,654.906467,4, , , , 
7,.481713960604283,.43393343526368,-.331523923040557,-.354487938805622,1,1,1,1,1,1,1110.324211,4,299.9162094,4, , , , 
8,.103651457249201,.39546048885116,-.977310186605031,-1.04771674997828,1,0,0,1,0,3,1229.61421, , , , , , , 
9,.359190570976226,-.0436679320620172,-.287693041944334,.0110945240817499,1,0,0,1,1,1,1140.986702,4,295.8113602,4, , , , 
10,.698668360470548,.086961141803762,.240646768026377,.816700127566327,1,0,0,1,1,1,1586.998417,3,909.7986908,3, , , , 
11,.44651387076639,.099845105253537,-.0443385746996565,.0608409385128301,1,0,0,1,1,1,1310.231566,4,350.337986,4, , , , 
12,.0953281423985827,-.223539352931272,.749894438262426,1.15583165218975,1,1,0,1,1,1,3101.17108,4,239.8516149,4, , , , 
13,.270682652778058,-.217422494697186,-.222369798302856,.135281616222644,1,0,0,1,0,3,2624.600695, , , , , , , 
14, , , , ,1,0,0,0,0,0,1244.647357, , ,0, , , , 
15, , , , ,1,0,0,0,0,0,2709.833914, , ,0, , , , 
16, , , , ,1,0,0,0,0,0,3044.861986, , ,0, , , , 
17,.531637164941685,.0941188992758586,.873402229102774,.882193608436016,1,0,1,1,1,1,1354.82505,4,499.9903763,4, , , , 
18,-1.19265954351176,-.976323730676321,1.37026503566077,1.10193676282941,1,0,0,1,1,1,1119.820909,4,289.5476012,4, , , , 
19,.0317281967631156,.0479513635808297,-.607370780904839,-.487821819100773,1,0,0,1,1,1,1544.807452,4,454.5288317,4, , , , 
20,.873991884855441,.646697776121782,.434754955738238,1.14291492435716,1,0,0,1,1,1,1240.148667,4,295.102419,4, , , , 
