Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1; ; ; ; ; ; ;1;0;0;0;0;0;1529,078099; ; ;0;,963922655548217;,29495970596011;-,473810909067216;-,170551379839283
2;0;873,3684523;1,04775239752282;,236882307038892;-1,29212927739438;-,892808187594434;0;0;0;1;1;1;1805,83572;4;336,619068;4;-,950236389689967;-,261218608047467;-,149979011149638;-,215808182815103
3; ; ; ; ; ; ;1;0;0;0;1;2;3179,798377;3;1732,683051; ;-,155468806776864;-,654953549224197;,460090657794246;,724497820469131
4;0;883,593411;,261412855006179;,1218047892281;-,663064521382899;-,894330481738187;0;0;0;1;1;1;1868,934255;4;1534,962976;4;,705619848517966;,223970271519234;-,0078620298385742;,216528380534354
5; ; ; ; ; ; ;1;0;0;0;0;0;4164,519763; ; ;0;1,60673277924392;,278254643546597;-,799620443835382;,757932800407324
6; ; ; ; ; ; ;0;0;0;0;0;0;3545,255738; ; ;0;-,890966060543949;-,759766628178835;-,142721087964064;-,386722100461936
7; ; ;,512915253437907;,355186258808364;,0563195730176471;,00568068963319568;1;0;0;1;1;1;2078,486307;4;522,7627927;4;-1,16036993365974;-,316358814768956;,288313861679453;,899452996150384
8; ; ; ; ; ; ;0;0;0;0;0;0;1446,77; ; ;0;-,422450285544243;-1,15675245091111;-,307256899660986;,194187460198525
9;2;1782,326228;-,696209385311284;-,493540671829268;,0902352468605134;,522113761502372;1;1;0;1;1;1;2203,332755;4;1633,708511;4;,213761999922436;-,39333720385096;-,166555378195538;1,0078024065481
10; ; ; ; ; ; ;0;0;0;0;0;0;1398,149842; ; ;0;-,169791927613252;,307184027658435;-,0446027114162491;-,409639399265236
11; ; ; ; ; ; ;1;0;0;0;0;0;2166,794748; ; ;0;1,04084845048007;1,40726761795737;,189965265184503;,243636949430758
12; ; ; ; ; ; ;0;0;0;0;0;0;3068,334028; ; ;0;-,205036117018196;-,824611802068839;,160262490581336;,294881886669872
13; ; ; ; ; ; ;0;0;0;0;0;0;1565,764285; ; ;0;-,725017329770323;-,12298218674157;,0586277099410562;-,718901143065078
14; ; ;,52263062392329;,0698420168181302;,183163821167356;,0067850458316753;1;0;0;1;1;1;2839,861716;4;354,6107942;4;-,569172837423746;,472403080578337;-,0655598065194273;-,422148841843457
15; ; ; ; ; ; ;0;0;0;0;1;2;3174,407114;3;2799,809718; ;-,393877520481594;-,716152196999927;-,397029658286431;-,362538185193506
