Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1; ; ; ; ; ; ;1;0;0;0;0;0;4074,634183; ; ;0;-1,26381561533301;-1,52846996891805;-,311014404203866;-,0543307678735883
2; ; ; ; ; ; ;0;0;0;0;0;0;2794,246847; ; ;0;1,04498370985993;1,15701624202364;-,294003802973812;-,716488122474183
3; ; ; ; ; ; ;1;0;0;0;0;0;1847,806523; ; ;0;-,187684487971995;,304550043647691;-,301529876501369;-,745140799178711
4; ; ; ; ; ; ;0;0;0;0;0;0;1599,997482; ; ;0;-,151277302056591;,169862731050737;-,576019256423263;-,814504883875214
5; ; ; ; ; ; ;1;0;0;0;0;0;6784,968545; ; ;0;,111630806334542;-,38883914008562;-,023782898759899;,451911190357035
6; ; ; ; ; ; ;0;0;0;0;0;0;2871,284526; ; ;0;1,76023662503742;1,41978404789014;-2,30211305291693;-2,23614045552013
7;2;2491,50439;1,27126347656011;,931622571972982;-,76804881461574;-,716867818027646;1;0;0;1;1;1;1286,015754;4;427,7581041;4;-1,86951553206935;-1,49482306967384;1,42189811099435;1,05218102138619
8;0;1425,184163;1,28468175003903;1,00191239558222;-,822322995506351;-,141142208480832;0;0;0;1;1;1;1764,740898;4;473,7871784;4;,41886074861707;,828320583385512;-,64772828489825;-1,04069077465257
9; ; ; ; ; ; ;1;0;0;0;0;0;1906,783459; ; ;0;2,06769705007549;1,50843809291792;-,0377374934255776;-,199386130780977
10;0;1927,01301;1,58913273158823;1,57160908571808;-,583463379238287;-1,15797720550232;0;0;0;1;1;1;1262,175317;4;848,583991;4;-,47259915478733;-,90596988575394;-,152983415928709;,256334829379464
11;3;1815,95564;-1,09380311790744;-1,0718290577909;1,26208199925334;1,20340058037131;1;0;0;1;1;1;1188,664791;4;387,1167826;4;1,68383126695049;1,01173005592154;-,611887891787329;-,574132467652107
12; ; ; ; ; ; ;0;0;0;0;0;0;4911,10091; ; ;0;,224588781709384;,333230946731457;,414078501517418;,52633228150218
13; ; ; ; ; ; ;0;0;0;0;0;0;1814,39463; ; ;0;,401361588869979;,519495768135516;-1,05508999952131;-1,42061678401296
