Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left;filter_$
1;3;1177,808493;2,44598626405414;2,14560889420846;-1,08287724826208;-,647222934903714;1;0;0;1;1;1;1082,645359;4;132,2073628;4;,894165149643901;,611200634882143;,767381949956532;,540564511870985;0
2;0;876,4534891;,05372737231615;-,155846909418088;-,517603545796728;-,490397610525489;0;0;0;1;1;1;1930,466538;1;855,3845577;1;1,05852615636817;,708148478264547;,262377832850168;,269948836699682;0
3;3;1757,171009;-,407154773834433;-,702185207527364;,351866291725196;,711003402476004;1;0;0;1;1;1;795,7322095;4;148,9898578;4;,310725985902666;,662163927113717;,0372478926069145;-,276633023359366;0
4; ; ; ; ; ; ;0;0;0;0;0;0;814,3242953; ; ;0;-1,03528123497775;-1,06848377585537;-,152077034797794;-,109330518463835;0
5; ; ; ; ; ; ;1;0;0;0;0;0;1232,369912; ; ;0;-,579495490888231;-,332738552479166;-,468364775920593;-,534108684561832;0
6; ; ; ; ; ; ;0;0;0;0;0;0;886,057474; ; ;0;-1,29088986938996;-,80107041291019;,374450598858219;,0489051719523644;0
7;3;1400,12412;-,106814891482864;-,0964201639417409;1,48802149649534;1,19388762550532;1;0;0;1;1;1;1222,925849;4;129,3826435;4;,92783125104838;,811259913642849;,113175923940686;,0249726774603475;0
8; ; ; ; ; ; ;0;0;0;0;0;0;1173,207968; ; ;0;,921689462278646;1,01215940048588;-,555843649540001;-,300794805124174;0
9;3;826,7618906;,615578633955075;,880463550978828;-,123052543959514;,187644986058818;1;1;1;1;1;1;700,5006512;4;124,0959572;4;-,0410566266088575;,0732867052590144;-,531673297169586;-,745174268473726;0
10; ; ; ; ; ; ;0;0;0;0;0;0;1153,792233; ; ;0;-1,20383747256512;-,76017322217278;,347969330958003;-,24938005416329;0
11; ; ; ; ; ; ;1;0;0;0;0;0;1769,647738; ; ;0;-,134613724200555;-,0413427848186352;-,55853579883149;-,121998162557124;0
12;0;1818,167189;,168105522113519;-,180788759798577;,126920467786074;,455368526449343;0;0;0;1;1;1;1503,684723;4;288,9024637;4;,295777825205943;-,0290070705153037;,351964500494043;,384879501583061;0
13;0;729,4916875;,701228823125835;,475350020075501;,140306730566981;,170358904310439;0;0;0;1;1;1;613,3242961;4;123,9506639;4;,541172224182029;,8424258368095;-,599038369735388;-1,03672733007956;0
14; ; ; ; ; ; ;1;0;0;0;0;0;1030,974519; ; ;0;,0402447248309151;-,0579923794564104;-,266912884108027;-,509285771446989;0
15;0;1019,716589;-,367192819384789;-1,17842980461941;-,317198597713518;,280488577569137;0;0;0;1;0;3;919,7340801; ; ; ;-1,32725195489089;-1,07070178806677;,0634782238193514;-,0795857187598812;0
16; ; ; ; ; ; ;1;0;0;0;0;0;1816,369627; ; ;0;-,512929087010118;-,440299211262157;,315724431514715;,40615459243928;0
17; ; ; ; ; ; ;0;0;0;0;1;2;1383,315184;4;723,2234582; ;-,049872223456439;-,08357114741881;,516305551452448;,591234211846894;0
18; ; ; ; ; ; ;1;0;0;0;0;0;966,0627469; ; ;0;-,893383222076072;-,821740591345118;,401979302055031;,724490611181395;0
19;0;788,2664654;-,279667781057082;-,351068313071697;-,810592007454436;-,751121971545339;0;0;0;1;1;1;1146,65426;4;208,0520523;4;,525587518702038;,0582813867322914;-,0904180192124938;-,107500198705851;0
20; ; ; ; ; ; ;1;0;0;0;0;0;1298,545382; ; ;0;-,842332732659064;-,474224482485541;1,08889519387491;,832929810982224;0
21;0;775,5070359;-1,08408470938582;-,955952387340865;,0318538522368204;-,0918838887766089;0;0;0;1;1;1;945,8390787;4;451,7686429;4;-,46327359199565;-,791943122811076;,326695459900331;,26004850087587;0
22;3;951,4865808;-,763928582886666;-,780896311615716;1,23959926766722;1,65611201061845;1;1;1;1;1;1;870,6826879;4;227,1095256;4;-,991207124280207;-1,00508889177398;,646943799211381;1,16117473772793;0
23;0;707,7805794;,226821747573106;,603099211071805;-1,06540006047923;-1,02544465747726;0;0;0;1;1;1;1017,001348;4;858,8776901;4;,966054960050403;,724169665720314;-,687875403446491;-,13791348740706;0
24;0;997,5295123;-,723170983254468;-,589541584074497;,281086070217592;,47203395259722;0;0;0;1;0;3;837,8021479; ; ; ;-,969559650253996;-1,04875010531636;,56327009797294;,334645592025719;0
25;3;2876,687945;-,854707266424018;-,71804174850472;,445303704312521;,37545870066267;1;1;1;1;1;1;989,7603034;4;268,2018615;4;,228274508751205;,0372677701272121;-,00612319577596768;,444526484181467;0
26;0;581,8175363;,485247510607129;,574637386258668;,172900138117089;-,129985711514247;0;0;0;1;0;3;1987,765628; ; ; ;,272062707474855;,45699838281438;1,62012773855101;2,08719903195453;0
27; ; ; ; ; ; ;1;0;0;0;1;2;1118,057146;4;585,8135866; ;,777488967470534;,389662579806514;,644897034314755;,800771149376627;0
28; ; ; ; ; ; ;0;0;0;0;0;0;1255,025398; ; ;0;-,525972072138829;-,544043405588095;-,0549344526671269;-,00549314082312968;0
29;3;1800,681106;,583922716053596;,933090505030158;1,27830096270298;1,25794954863317;1;1;1;1;1;1;847,0245819;4;145,8206684;4;-1,19411380164896;-,887069636925224;,180621231243852;,23361904700228;0
30;0;865,8564464;-,273517544203724;-,302541609005975;-,407125199965288;-,464948562664266;0;0;0;1;1;1;1283,888082;4;196,7624767;4;-1,06670252290019;-,625545459473439;-,189895724617241;-,236288512333927;0
31;3;1133,349024;1,94960026935929;1,64541514615006;-,172529321759163;-,0223406055037136;1;1;0;1;1;1;2018,894971;4;799,9633548;4;,200729569513999;,177525176298074;,464753086881031;,951839511874319;0
32;0;838,8073668;-,835219152957841;-,970983814194965;,22456929472414;,453726668925819;0;1;1;1;1;1;854,6196031;4;154,4231204;4;-,099648088737857;-,210026411374713;,307150760504386;,253851469546717;0
33; ; ; ; ; ; ;1;0;0;0;0;0;991,847972; ; ;0;-,56577001107221;-,292481853416014;,609534912551481;,657322321493096;0
34; ; ; ; ; ; ;0;0;0;0;0;0;975,5549197; ; ;0;-,197640138271328;,190423429971445;,504880544135647;-,170088532892177;0
35; ; ; ; ; ; ;1;0;0;0;0;0;1123,133109; ; ;0;,660814138907977;,588815567010973;,0716390284641082;-,014744587440686;0
36; ; ; ; ; ; ;0;0;0;0;0;0;889,1102363; ; ;0;-,0215810466672473;-,124368194660749;,113697609472959;,172680524962186;0
37;3;1616,042071;-1,06683257354755;-1,08020944937079;,620741043429507;,48348612663342;1;1;0;1;1;1;734,8007674;4;1229,700749;4;-,12317374565023;,310283351354277;,775897831618104;,511005000008514;0
38; ; ; ; ; ; ;0;0;0;0;0;0;1085,897619; ; ;0;-,423512184305855;-,476600189537324;,0849479023426497;,24714552450813;0
39; ; ; ; ; ; ;1;0;0;0;0;0;1313,102934; ; ;0;-,285706724803142;-,613159869856237;,239521918100468;,276120549003125;0
40;0;697,5562294;,769258563636828;,747666380371693;-,818122678312513;-,885957321214463;0;0;0;1;1;1;1250,977393;4;134,0294622;4;-,0931263056579737;-,379410927183068;1,57475568641628;1,66150524981077;0
