Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left;filter_$
248;0;2974,962593;-,284022457240133;,818229701490401;,167798592840296;-,519778038830761;0;0;0;1;1;1;1078,581502;4;313,9391827;4;-,774438872041671;-,761182027637767;,360042534452515;,666579416285877;0
249;0;1512,050277;-,680274502724359;-,470796253558842;-,710904189996506;-1,11651089469886;0;0;0;1;1;1;1213,913267;4;309,0623653;4;-,712107056644159;-,766906345974243;-,236312258937239;-,626498628427695;0
250;0;2228,730505;-1,41087235641051;-1,04597887548183;,783605371736788;,590194038250399;0;0;0;1;1;1;1158,341924;4;311,7180738;4;-,389704131984544;,468438725307232;,228024480416961;-,884930786819855;0
251;0;1243,153306;,592456532987849;,375989553894482;-,72744364752461;-1,07335694700472;0;0;0;1;1;1;899,2865353;4;358,4078678;4;-,00864512933143044;-,378914647963455;-,887797706381455;-,65258186877299;0
252;0;1483,934347;,0323555702721241;,239603139722306;-,107004745998608;,274357395432595;0;0;0;1;1;1;1249,315017;4;334,863472;4;-,736055179337215;-1,28442365759767;-,0852677007515256;,0450419749395354;0
253;0;1235,907266;-,208808323368102;,12100016572017;-,34031281732876;-,507947379421318;0;0;0;1;1;1;1606,978019;4;363,6939467;4;,321946205658124;-,0322789997968504;-1,17582722276453;-,157912062044492;0
254; ; ;-1,20053665567285;-,192585843572672;,771818764175746;,0750789599508326;0;0;0;1;1;1;1246,217973;4;366,7993295;4;-,868808011559792;-1,29011073321769;-,15825371026921;,312995106112455;0
255;0;887,6970785;-1,06375686862386;-1,10418520668272;,02329189294426;-,0433636182606472;0;1;1;1;1;1;842,9544024;4;342,2507038;4;-,485594571054369;-1,10547659689609;-,121338194149854;,252495450257324;0
256;0;1083,524897;1,28038738745855;1,73641336413859;,55895241048919;,288182000713468;0;0;0;1;1;1;904,405189;4;307,0413967;4;,0235746600916872;-,131891966938197;-,570131808593644;-,669378192055898;0
257;0;1569,625695;-,11496839906711;,563786582165581;,475922623088412;,237157649056349;0;0;0;1;1;1;1221,719382;4;278,3481978;4;,984536765331795;1,6089153130403;-,587354560375352;-1,21003761900338;0
258; ; ;,0251752096936776;-,0428608757511297;,430087370766751;,0380829617297389;1;1;1;1;1;1;1525,293491;4;1415,39174;4;-,919437680074299;-1,09507195570751;1,03403317011973;,977036662034974;0
259; ; ; ; ; ; ;1;0;0;0;0;0;1961,746363; ; ;0;-,499331911790734;-,213103716972645;,318095390157672;,254353929367323;0
260; ; ; ; ; ; ;1;0;0;0;1;2;1925,29099;2;876,6822218; ;,125997528162259;1,10803268846808;,0488933791266317;-,130290945349683;0
261; ; ; ; ; ; ;1;0;0;0;0;0;1566,204553; ; ;0;,648814477739236;,660316797824829;-1,06828346778586;-1,19992015731164;0
262; ; ; ; ; ; ;1;0;0;0;1;2;3802,859939;3;379,7597005; ;-,29276836466164;-,346772180573911;-,267734873741758;-,0406964736084585;0
263;3;1086,388096;-,626426189460016;-,647296622820651;,223161253887363;,380127571426692;1;0;0;1;1;1;2466,567051;3;293,1512071;3;-1,0512850402173;-,164793569099873;,296477790531784;-,108028157588353;0
264; ; ; ; ; ; ;1;0;0;0;0;0;1190,569974; ; ;0;-,473275762181115;-,235647109453715;-,269155263237378;,0827087408184929;0
265;3;885,8005738;-,580776075000579;-,608935979806652;-,321802085766464;-,244296250778093;1;0;0;1;1;1;2334,881754;4;272,7346457;4;-,636881033790781;-1,89550473794552;-,0178544652328101;1,42593204746068;0
266;0;1810,060663;-,0870953886174725;,382777234917955;1,58748932966564;,686969237876112;1;1;0;1;1;1;1214,415499;4;323,8839774;4;-,154229370221097;-,23316464897186;1,43490053671272;1,42786687912092;0
267; ; ; ; ; ; ;1;0;0;0;0;0;1877,015468; ; ;0;-,484851519313207;-1,41837516102034;,39709560451506;1,25748065932319;0
268; ; ; ; ; ; ;1;0;0;0;1;2;1204,931648;4;283,3369527; ;-1,25268952606367;-1,26400149441086;,427881950076856;,32373110917981;0
269; ; ; ; ; ; ;1;0;0;0;1;2;2275,644058;4;333,3529942; ;1,60637135516548;-,577431356516738;-,381062482970824;,836648249832946;0
270;0;2105,837773;,750776515299063;,726069755767685;-1,13284287290872;-1,10406552140677;1;1;1;1;1;1;1167,909531;4;349,7578915;4;,239430947885887;-,215684032056812;-,214087465962415;-,0469626392253244;0
271;2;1807,114393;1,49322083528764;,604854247764315;-,631540300274086;-,604291512076312;1;0;0;1;1;1;881,6379407;4;347,1281627;4;-,286511148456776;-1,15383692047596;,235498266022115;,851974092202834;0
