Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1, , , , ,1, , ,0,0,0,821.6124247, , ,0,-.580558669574087,-.9287808957783,-.0133109341371971,.0138932944656817
2, , , , ,1, , ,0,0,0,1722.711164, , ,0,-1.24322064835362,-.27177238371167,.738377436505098,.785371945546119
3, , , , ,1, , ,0,0,0,1195.099622, , ,0,1.3358166566282,.093373799739562,-1.66921942827035,-1.71719735407912
4,.020233881360361,.283342815779219,.162231139694043,-.0186558716369786,1, , ,1,0,3,962.7416122, , , ,-.0148247807418815,-.359314240555507,.349845531461961,-.0121466035937449
5, , , , ,1, , ,0,0,0,977.3509395, , ,0,.925337681420346,-.186702088602632,-.413162620192919,-.0130648850842281
6,-.473577965915413,-.0479378365077028,1.17020397041763,1.24633179212961,1, , ,1,1,1,1551.618468,3,322.7509943,3,-.320856192528083,.114319209001332,.807182642154356,.674816901056138
7,.368710415077947,.756564896744228,-.473708264925704,-.419673008171384,1, , ,1,1,1,1329.179327,3,540.2041193,3,-.118659957734362,1.38580355453226,-.481550390260377,.0480102992870686
8, , , , ,1, , ,0,0,0,962.7274979, , ,0,-.623476689805032,-.476116082755465,-.0135332775756011,.191753493918654
9, , , , ,1, , ,0,0,0,1775.801696, , ,0,.228780347866784,1.04419966811499,-.209345644536425,-.063448719143623
10, , , , ,1, , ,0,0,0,1283.774065, , ,0,.850435985230973,.1850254665114,-.841033441579138,-.606399986486593
11,-1.18689841617367,-1.51945286243825,1.66407445383997,1.28099740475874,1, , ,1,1,1,1351.752683,3,376.362036,3,.857313795737977,-.0226738253732,.30438421088621,.329517752467847
12, , , , ,1, , ,0,1,2,1160.101136,3,384.6375432, ,1.19242867877677,.404551770471117,-.765275058118577,-1.20999616563683
13, , , , ,1, , ,0,0,0,1607.189279, , ,0,.661290128243489,.883392774462656,-1.17018107483295,-.818437266722691
14, , , , ,1, , ,0,0,0,2540.171989, , ,0,-.452780427548199,-.512359603402194,-.267813462815471,-.38491786746832
15,.569153654501474,-.165330459419876,.263434017368821,.451133455134331,1, , ,1,0,3,2074.18605, , , ,-.813624640076623,.111004716621902,1.05612757394477,.843775701160675
16,-.57962083865996,-.499710999935609,-.013029669761575,-.190612252576188,1,1,1,1,1,1,1283.211601,4,426.6268086,4,-.353058604166192,1.11268342998666,.809833355743871,-.248864710885817
17, , , , ,1, , ,0,1,2,2082.612966,1,272.0594651, ,-1.39691189058315,-.299074050188022,.892623152629511,.859274685145367
18,.826962909761325,1.18831476474194,-.299196562158925,-.371762547607437,1, , ,1,0,3,1110.121217, , , ,1.13258605009123,-.219784788053103,-.582049822233455,-.259936561035546
19, , , , ,1, , ,0,1,2,1262.623372,3,487.1908955, ,-1.11084777016776,-.815007102512402,1.78224288851055,1.77096313521605
20,-.324530864613713,-.619842965425925,.669606125999578,.608412032097971,1, ,1,1,1,1,1032.523661,4,577.9853801,4,1.05638594697056,.939460338909641,-.25236514357867,-.449896043436115
21,.376631081489162,.380533526485438,-.935070390026998,-1.13345994798294,1,1, ,1,1,1,1190.246206,3,433.52392,3,.0627631885387847,.233777936198711,.329367977725173,.0933145819907079
22,-.107226262748643,.00490150075310986,-.566271046570531,-.674572158995617,1,1, ,1,1,1,1118.619987,3,548.437925,3,-.145713259317616,-.70008922042646,.135673412233702,.157290379120038
23, , , , ,1, , ,0,0,0,1746.982734, , ,0,-.195634108786054,.180782198188704,.215079494096549,-.128786169834132
24,1.03012399441119,1.10504906518948,.353555381335425,.474858257946652,1, , ,1,1,1,1086.718,2,498.7884103,2,-1.95483616395586,-1.13591478074118,1.59480974370929,1.25766892147961
25,.235619142649774,.647247644724387,.769425382080265,.721801510026576,1, , ,1,0,3,1377.372175, , , ,.534815518127479,-.379488425642617,.175278040477754,.179381782625539
26, , , , ,1, , ,0,0,0,1198.441839, , ,0,-1.28711270692149,.892946190900457,.0256506389026141,-.321325532919432
27, , , , ,1, , ,0,0,0,847.8324189, , ,0,-.0695386742606127,-1.23375442904551,.56890584348951,.431584606845597
