Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;2;1414,639279;,363517800240229;,640936824127763;-,759202967536649;-,293481292576553;1;1;0;1;1;1;1474,497065;4;358,8157325;4;,48067158199771;,932587271662608;-,172421645357745;,19128344928428
2; ; ; ; ; ; ;0;0;0;0;0;0;1615,623248; ; ;0;-,319806736622414;-,712785156027576;-1,07382439762543;-,883730654441442
3; ; ; ; ; ; ;1;0;0;0;0;0;1263,85547; ; ;0;-,173638584773995;-1,57794028964;-2,11303827315741;-,804140335058944
4;0;788,8709992;,08138098035083;,355055826217796;,251361023375449;,700362261867278;0;0;0;1;0;3;2721,193416; ; ; ;,480555557421782;,514820925290398;,160335534757404;-,049997520557352
5;2;1451,353146;,783813779957071;1,11280299843429;-,85526815921149;-,646264354272028;1;0;0;1;1;1;1814,210988;4;810,7335821;4;-,530347669760255;-,41884127225815;1,07999260302998;,969641900415976
6;0;906,5424905;1,28735027571067;,912000412628751;-1,67915963281798;-,890572488491792;0;0;0;1;0;3;4647,833999; ; ; ;2,78071018402528;-,0471051936741587;-2,38310698380448;-1,18460551716895
7; ; ; ; ; ; ;1;0;0;0;0;0;1369,637965; ; ;0;-1,25906935093301;-,830132744654416;1,29802363954979;,989172181883691
8;0;836,8885216;,545420980745228;,883954903283601;,489555876725781;-,494328958373173;0;0;0;1;1;1;1949,58768;2;1588,255592;2;,948840523219892;,982089005148186;-,60403306781064;,297600373185952
9;2;1315,547953;-,376987594087837;,573918703343939;,411061024574895;,248916843946285;1;0;0;1;1;1;2986,544343;3;1790,626399;3;,254838870481918;,536840660261233;-,100887279710329;,529582347322638
10; ; ; ; ; ; ;0;0;0;0;0;0;998,532126; ; ;0;,742995978113302;-1,38975252144516;-,694759071598808;,591888009033107
