Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;2;1616,208203;,595574571803533;,961652338294907;-,246110923584248;-,407209970365912;1;0;0;1;1;1;1242,948356;4;515,93277;4;-,972496644515022;-1,08850729515373;,0778141951359463;,0142184756639088
2; ; ; ; ; ; ;0;0;0;0;1;2;2391,567544;2;921,6359473; ;-,674383490116417;-,80330330673652;-,373463942641836;-,584281454382083
3;2;1972,583122;,3446639276176;,170028211592743;,0298861815030572;,16010048526795;1;1;0;1;1;1;1791,552983;4;1007,904298;4;,274714456813203;,4961750039559;,415262357364854;,254873925598731
4; ; ; ; ; ; ;0;0;0;0;0;0;2179,361405; ; ;0;,946517200522032;,747405434220382;-,398760921729468;-,256098055970583
5; ; ; ; ; ; ;1;0;0;0;0;0;2943,176815; ; ;0;,261595772614102;,371729630151838;-,526363917843977;-,723954029306687
6; ; ; ; ; ; ;0;0;0;0;0;0;2672,845839; ; ;0;-,106207049761174;-,287428849397586;-,624818430735541;-,687398063934598
7;2;1741,401126;-,560940103122285;-,576407241258481;-,0813578121345553;-,0480879480932481;1;1;1;1;1;1;3146,601877;4;828,9006218;4;,0691632026026018;,233130577284382;-,00979283157729845;-,461757212220257
8; ; ; ; ; ; ;0;0;0;0;0;0;1180,217447; ; ;0;1,72430255999621;1,95781381246987;-2,13294793143596;-2,24813644302117
9; ; ; ; ; ; ;1;0;0;0;0;0;2414,118726; ; ;0;,203703567186845;,173312223700934;-,926147615249642;-1,20435077173126
10;0;1109,492275;,400087074648438;,416267748079846;-,810197121050961;-,921347104310832;0;0;0;1;1;1;1720,224137;4;499,3616877;4;-,461586600571323;-,624893080745284;-,183644041481587;-,0760928912623449
11;2;1133,485062;,368782172838282;,181509703536244;,336045432949268;,596898688693044;1;0;0;1;1;1;1164,811273;4;478,4571579;4;-,719307052738923;-,749271698206089;,171726467873111;,0771307209835601
12; ; ; ; ; ; ;0;0;0;0;0;0;1795,586223; ; ;0;-,278510378080827;-,287652835484224;-,135998299275849;-,119390363334315
13;0;1389,107274;-,867413600008721;-,811045660937332;-,350698649822329;-,457266392044692;0;0;0;1;1;1;1920,390855;4;477,2457427;4;1,38511937364353;1,35850129802825;-1,3442181239681;-1,12774893110864
14;0;2076,091287;-,16515763362258;-,0799952409522342;-,103411983016373;-,236904915812718;1;1;1;1;1;1;1212,454498;4;960,9766321;4;,165731402878739;,196126756489648;-,779695366938371;-1,12278527800809
15; ; ; ; ; ; ;0;0;0;0;0;0;1197,469128; ; ;0;2,53688445242084;1,88368043943103;-,786054334076914;-1,07474645694332
16;1;2050,7421;-,333657688059294;-,443038546885283;,726446587759918;,759163233507318;1;1;1;1;1;1;2299,56606;4;460,2605918;4;1,17813629584111;1,31759070922511;-,558564749661306;-,811356470854444
17;0;786,7630662;,833270033158853;,82166478364729;-1,45207597847894;-1,48464147613077;0;0;0;1;0;3;2235,298511; ; ; ;-,314943546372586;-,125081667316186;,0433416976363459;,257317808193752
18; ; ; ; ; ; ;1;0;0;0;0;0;1828,042015; ; ;0;,5611504226944;1,19141689538935;-,268074406673762;-,789925486118124
19; ; ; ; ; ; ;0;0;0;0;1;2;1614,20494;4;512,3427858; ;2,31051623631634;1,76267885002512;-,0474594570459979;-,186832241281716
